1.3333333333333333,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],80 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E",,,,,Accessibility Ratio
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E,,,,,R=A_E/A_P
Atlanta,66.68239716375706,79.77374908056166,106364.99877408221,1.1933849385737794,55.87668740268295,74.50224987024393,17437.677799687877,659.0477708935927,6851.428985,4515419,11492262.683444982,4515419,.,292.35463206074525,2003047,5097985.877121575,2003047,,,,,0.4436015793883138
Austin,67.1321892285672,79.51902759368085,106025.3701249078,1.2630063192455665,53.152694650544085,70.87025953405877,15778.943427238783,1005.7320851324054,1354.651025,1362416,15869389.674263123,1362416,.,472.8620051795259,640563,7461262.828618431,640563,,,,,0.4701669680919778
Baltimore2,64.33133072826236,77.15231995448468,102869.7599393129,1.2268115098360695,52.43782782642667,69.9171037685689,15357.365924105447,1186.6066340855928,1857.113332,2203663,18223152.287623543,2203663,.,570.5683017518718,1059610,8762426.19469891,1059610,,,,,0.48084030997480104
Boston,59.08384417630565,71.20194964854586,94935.93286472782,1.1822577092208564,49.975435740862025,66.63391432114936,13948.918115583105,861.6700182833223,4852.227548,4181019,12019364.52768706,4181019,.,598.2297761770178,2902747,8344658.16219683,2902747,,,,,0.6942678327938715
Buffalo,61.52546201403905,70.65055677780813,94200.74237041084,1.1659230811658463,52.769743568776114,70.35965809170148,15552.396270603884,951.109255078426,984.015238,935906,14792028.03161855,935906,.,463.10664957405874,455704,7202418.129727451,455704,,,,,0.486912147160078
Charlotte,64.0526815140792,75.74245959811465,100989.94613081953,1.2188102793904707,52.553447076367014,70.07126276848935,15425.162959392597,650.5968834128471,1920.454942,1249442,10035562.947516114,1249442,.,378.7560874729442,727384,5842374.371132121,727384,,,,,0.5821670793842371
Chicago,62.25587188398059,73.23267635618011,97643.5684749068,1.1765397413486474,52.91438078633685,70.5525077151158,15637.768605205676,1360.6187423043561,6326.686332,8608208,21277041.052061494,8608208,.,600.2782184397379,3797772,9387011.878705729,3797772,,,,,0.4411803246389957
Cincinnati,63.81626979604995,74.14207195492925,98856.09593990566,1.2721393245922437,50.16452880780559,66.88603841040745,14054.675422978795,796.3910638802463,2040.237609,1624827,11193017.912597632,1624827,.,428.64958284375984,874547,6024530.757064304,874547,,,,,0.5382400710967999
Cleveland,60.599390167439914,69.65395403984837,92871.93871979782,1.1513174285753958,52.63482395330687,70.17976527107582,15472.97042059043,890.6045978114746,1999.397942,1780673,13780298.598378783,1780673,.,435.21001083435146,870158,6733991.624384761,870158,,,,,0.4886680485411976
