Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
Atlanta,48864.67600063824,293394.9300925579,703365.2106963692,1304762.7269290292,2106490.23194701,2218090,2218090,2218090,2218090,,48864.67600063824,244530.2540919197,409970.28060381126,601397.51623266,801727.5050179807,111599.76805299008,0,0,0,,2218090.0000000005,,148634.6634203003,34,Atlanta,51,50,35,14,9,9,Atlanta
Austin,80615.27845595684,584101.7072709512,656057,656057,656057,656057,656057,656057,656057,,80615.27845595684,503486.4288149944,71955.29272904876,0,0,0,0,0,0,,656057,,144402.57328066762,36,Austin,39,14,39,39,39,39,Austin
Baltimore,98704.91538997566,462207.1253400275,1102378.8147905807,1121920,1121920,1121920,1121920,1121920,1121920,,98704.91538997566,363502.20995005185,640171.6894505532,19541.185209419345,0,0,0,0,0,,1121920,,176612.41505599834,22,Baltimore,21,28,8,19,19,19,Baltimore
Boston,85838.17942566778,409297.4414385837,969775.4684916751,1775900.715095411,2831461.3795554163,2902747,2902747,2902747,2902747,,85838.17942566778,323459.2620129159,560478.0270530914,806125.246603736,1055560.6644600052,71285.6204445837,0,0,0,,2902747,,207499.67074858196,12,Boston,34,40,15,9,3,4,Boston
Buffalo,103413.74120798356,463140.8773171511,469333,469333,469333,469333,469333,469333,469333,,103413.74120798356,359727.13610916754,6192.122682848887,0,0,0,0,0,0,,469333,,119656.18211740507,46,Buffalo,18,27,48,48,48,48,Buffalo
Charlotte,75743.93634834568,586173.5677217265,815291,815291,815291,815291,815291,815291,815291,,75743.93634834568,510429.6313733808,229117.4322782735,0,0,0,0,0,0,,815291,,157872.97423235455,29,Charlotte,47,12,28,30,30,30,Charlotte
Chicago,79976.54188753599,404803.2704525224,948279.7835127792,1744895.0512088125,2790709.3701175195,4095776.2392470324,4185146,4185146,4185146,,79976.54188753599,324826.7285649864,543476.5130602568,796615.2676960333,1045814.318908707,1305066.869129513,89369.76075296756,0,0,,4185146,,213517.63794910055,9,Chicago,40,41,17,10,4,3,Chicago
Cincinnati,91187.25132376279,477452.8574837259,947302,947302,947302,947302,947302,947302,947302,,91187.25132376279,386265.60615996306,469849.1425162741,0,0,0,0,0,0,,947302,,161582.5066466564,27,Cincinnati,29,25,19,25,25,25,Cincinnati
Cleveland,111627.24087113833,584102.4578082821,950139,950139,950139,950139,950139,950139,950139,,111627.24087113833,472475.21693714376,366036.5421917179,0,0,0,0,0,0,,950138.9999999999,,178754.53958303726,18,Cleveland,14,13,16,23,23,23,Cleveland
Columbus,159644.46697877586,792970,792970,792970,792970,792970,792970,792970,792970,,159644.46697877586,633325.5330212242,0,0,0,0,0,0,0,,792970,,199599.10284871364,16,Columbus,6,4,31,33,33,33,Columbus
Dallas-Fort Worth,76544.69828773965,422019.58995380497,1005500.8360887761,1856635.985454558,2659456,2659456,2659456,2659456,2659456,,76544.69828773965,345474.8916660653,583481.2461349712,851135.1493657818,802820.0145454421,0,0,0,0,,2659456,,206474.45815504304,13,Dallas-Fort Worth,46,36,14,8,5,5,Dallas-Fort Worth
Denver,88888.27326503868,485337.936426873,1112974.8200139883,1143871,1143871,1143871,1143871,1143871,1143871,,88888.27326503868,396449.66316183435,627636.8835871152,30896.179986011703,0,0,0,0,0,,1143871,,178179.2121795872,19,Denver,33,22,7,18,18,18,Denver
Detroit,83883.04176571395,388665.41287287563,910327.8776672818,1659880.2954001473,1705065,1705065,1705065,1705065,1705065,,83883.04176571395,304782.3711071617,521662.46479440614,749552.4177328655,45184.704599852674,0,0,0,0,,1705065,,177930.7261271891,20,Detroit,36,43,23,12,12,12,Detroit
Grand Rapids,193570.36220813787,532973,532973,532973,532973,532973,532973,532973,532973,,193570.36220813787,339402.63779186213,0,0,0,0,0,0,0,,532973,,155500.98110315617,32,Grand Rapids,3,17,46,46,46,46,Grand Rapids
Hampton Roads,84854.2601923125,365049.6666577695,636795,636795,636795,636795,636795,636795,636795,,84854.2601923125,280195.40646545705,271745.3333422305,0,0,0,0,0,0,,636795,,119350.1342133742,47,Hampton Roads,35,47,40,40,40,40,Hampton Roads
Hartford,91130.5713417305,437752.9566629304,566576,566576,566576,566576,566576,566576,566576,,91130.5713417305,346622.3853211999,128823.04333706963,0,0,0,0,0,0,,566576,,122616.02070379458,43,Hartford,30,35,42,42,42,42,Hartford
Honolulu,134274.1075866459,357184,357184,357184,357184,357184,357184,357184,357184,,134274.1075866459,222909.8924133541,0,0,0,0,0,0,0,,357184,,105337.9767744914,51,Honolulu,9,48,51,51,51,51,Honolulu
Houston,78768.89365275686,447998.9430308777,1059593.9631096402,1952967.8521847825,2266048,2266048,2266048,2266048,2266048,,78768.89365275686,369230.0493781208,611595.0200787624,893373.8890751423,313080.1478152175,0,0,0,0,,2266048,,207572.20678767486,11,Houston,43,33,12,7,8,8,Houston
Indianapolis,63797.31424410517,356604.6836862218,795562,795562,795562,795562,795562,795562,795562,,63797.31424410517,292807.3694421166,438957.3163137782,0,0,0,0,0,0,,795561.9999999999,,127604.07877370184,40,Indianapolis,50,49,29,31,31,31,Indianapolis
Inland Empire,130299.06966992219,654247.1668618107,1097906,1097906,1097906,1097906,1097906,1097906,1097906,,130299.06966992219,523948.09719188855,443658.8331381893,0,0,0,0,0,0,,1097906,,204578.2637342569,14,Inland Empire,11,8,10,20,20,20,Inland Empire
Jacksonville,77905.7336516805,419002.60741582874,540292,540292,540292,540292,540292,540292,540292,,77905.7336516805,341096.8737641482,121289.39258417126,0,0,0,0,0,0,,540292,,114874.69916329789,50,Jacksonville,45,38,45,45,45,45,Jacksonville
Kansas City,102266.49854183996,510912.17119081225,928617,928617,928617,928617,928617,928617,928617,,102266.49854183996,408645.6726489723,417704.82880918775,0,0,0,0,0,0,,928617.0000000001,,166348.76540378554,25,Kansas City,19,19,22,28,28,28,Kansas City
Las Vegas,136644.68342248775,804545.0514500808,842097,842097,842097,842097,842097,842097,842097,,136644.68342248775,667900.368027593,37551.94854991918,0,0,0,0,0,0,,842097,,199651.80864094995,15,Las Vegas,8,3,27,29,29,29,Las Vegas
Los Angeles,160034.31842525097,739229.9460219443,1726114.9911554197,3136783.6384625924,4951565.215617805,5357989,5357989,5357989,5357989,,160034.31842525097,579195.6275966933,986885.0451334754,1410668.6473071727,1814781.5771552124,406423.7843821952,0,0,0,,5357989,,372459.43851385766,1,Los Angeles,5,5,2,1,1,2,Los Angeles
Louisville,79057.93271713893,421998.85877485515,556059,556059,556059,556059,556059,556059,556059,,79057.93271713893,342940.92605771625,134060.14122514485,0,0,0,0,0,0,,556059,,116923.25949159126,49,Louisville,41,37,43,43,43,43,Louisville
Memphis,89298.16477308777,484667.2538212809,555166,555166,555166,555166,555166,555166,555166,,89298.16477308777,395369.0890481931,70498.7461787191,0,0,0,0,0,0,,555166,,126343.39623941272,41,Memphis,32,23,44,44,44,44,Memphis
Milwaukee,133597.1172921501,649406.3792671935,795077,795077,795077,795077,795077,795077,795077,,133597.1172921501,515809.2619750434,145670.6207328065,0,0,0,0,0,0,,795077,,177384.0888313615,21,Milwaukee,10,9,30,32,32,32,Milwaukee
Minneapolis-St.Paul,92057.10893587943,463630.2820210642,1098192.2862190132,1681079,1681079,1681079,1681079,1681079,1681079,,92057.10893587943,371573.17308518477,634562.004197949,582886.7137809868,0,0,0,0,0,,1681079,,197709.1686033948,17,Minneapolis-St.Paul,28,26,9,11,13,13,Minneapolis-St.Paul
Nashville,97082.438476505,561507.1930187478,726697,726697,726697,726697,726697,726697,726697,,97082.438476505,464424.75454224285,165189.80698125216,0,0,0,0,0,0,,726697,,152373.37352083556,33,Nashville,22,15,33,35,35,35,Nashville
New Orleans,96985.58162776391,460421,460421,460421,460421,460421,460421,460421,460421,,96985.58162776391,363435.4183722361,0,0,0,0,0,0,0,,460421,,116954.77641239467,48,New Orleans,23,29,49,49,49,49,New Orleans
New York,140180.44955866208,626329.6996482337,1470313.6050755326,2673561.4934570636,4238638.938946962,6157272.60666737,8172682,8172682,8172682,,140180.44955866208,486149.25008957164,843983.9054272989,1203247.888381531,1565077.4454898988,1918633.6677204072,2015409.3933326304,0,0,,8172682,,338658.4777398251,2,New York,7,11,4,2,2,1,New York
Oklahoma City,105809.28015960671,480876,480876,480876,480876,480876,480876,480876,480876,,105809.28015960671,375066.7198403933,0,0,0,0,0,0,0,,480876,,123267.83899955731,42,Oklahoma City,17,24,47,47,47,47,Oklahoma City
Orlando,90419.65062986908,504804.2640046079,939126,939126,939126,939126,939126,939126,939126,,90419.65062986908,414384.61337473884,434321.7359953921,0,0,0,0,0,0,,939126,,163691.75746288797,26,Orlando,31,21,20,26,26,26,Orlando
Philadelphia,93561.60128759213,460309.3054872665,1070554.612266724,1954046.3865092034,2565967,2565967,2565967,2565967,2565967,,93561.60128759213,366747.70419967436,610245.3067794575,883491.7742424794,611920.6134907966,0,0,0,0,,2565967,,218666.01598380317,8,Philadelphia,26,30,11,6,6,6,Philadelphia
Phoenix,108670.26030188083,634502.1825723546,1488959.8196290752,1644351,1644351,1644351,1644351,1644351,1644351,,108670.26030188083,525831.9222704738,854457.6370567207,155391.18037092476,0,0,0,0,0,,1644351,,238841.06464564998,5,Phoenix,16,10,3,13,14,14,Phoenix
