1.5,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],90 min Distance [m],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,52.31679,68.53499,78475.185,1.197270048016269,43.69673331984088,65.54509997976132,13496.78510731622,757.4179384746532,5083.058909,3850000,10222707.152018853,3850000,.,418.87926898310906,2129188,5653523.479374731,2129188
Austin,53.19888,67.56258,79798.32,1.2676232456597074,41.967422246437096,62.95113336965564,12449.64534414757,1165.1270412957495,823.944485,960000,14505418.44500806,960000,.,704.5195526735032,580485,8771018.568802608,580485
Baltimore2,57.5626,71.37762,86343.90000000001,1.2115601906349527,47.511135183331405,71.2667027749971,15955.969779359039,1249.8156960132164,1768.260718,2210000,19942021.475355465,2210000,.,601.542515293268,1063684,9598194.195019007,1063684
Boston,60.28802,74.15427,90432.03,1.1843400560567672,50.90431560740044,76.35647341110067,18316.462305583962,876.2031495148894,4496.67409,3940000,16048941.960123422,3940000,.,683.9123624367448,3075331,12526855.006895514,3075331
Buffalo,60.07548,64.28076,90113.22,1.1744390850186677,51.152486975554886,76.72873046333233,18495.492392955093,1174.0141455753533,949.73302,1115000,21713969.69871062,1115000,.,500.80074082293146,475627,9262556.292276803,475627
Charlotte,54.73937,66.78204,82109.055,1.220600737841936,44.84625340861344,67.26938011292016,14216.239259888165,767.9222461130181,1126.416124,865000,10916966.38373339,865000,.,720.4326915334532,811507,10241843.513484778,811507
Chicago,47.50277,64.12874,71254.155,1.1800793381164683,40.253878248406124,60.38081737260919,11453.753919786488,1482.3418622036777,5498.056965,8150000,16978378.914678976,8150000,.,762.0490341718386,4189789,8728322.112215204,4189789
Cincinnati,59.70134,70.44758,89552.01,1.2610486496962503,47.34261442996692,71.01392164495039,15842.979707150413,885.1262145409509,1739.864863,1540000,14023036.655239146,1540000,.,537.3710452361724,934953,8513558.564886887,934953
Cleveland,62.77554,69.05309,94163.31,1.1569339520395503,54.260262558060006,81.39039383709002,20811.154464526193,1065.2097286959158,1675.72634,1785000,22168244.201006744,1785000,.,643.1097812784873,1077676,13383856.995834254,1077676
Columbus,60.79675,71.13219,91195.125,1.1759384342154522,51.70062329033544,77.55093493550316,18894.00163304417,1106.7339674828359,1030.05784,1140000,20910633.38896615,1140000,.,750.9364716839591,773508,14188194.922309149,773508
