,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in 30 mins [km2],Urbanized area density [people/km2],Urbanized Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,,C2,S_a,R_a,A_30,D_UA,,,,0,,,,,0
Atlanta,52.31679,68.53499,1.2545032030514984,41.703193640911216,20.851596820455608,1365.9302108882323,540.543,5083.058909,3850000,738344.0139841577,738344.0139841577,.,418.87926898310906,2129188,572159.8482188068,572159.8482188068
Austin,53.19888,67.56258,1.3588386571923918,39.15025504935117,19.575127524675587,1203.8131212363983,741.3162,823.944485,960000,892406.1685451061,892406.1685451061,.,704.5195526735032,580485,848109.881675961,580485
Baltimore,57.5626,71.37762,1.2525850225273614,45.9550441405207,22.97752207026035,1658.6557421105542,1130.18,1768.260718,2210000,1874579.5466185063,1874579.5466185063,.,601.542515293268,1063684,997751.9471148049,997751.9471148049
Boston,60.28802,74.15427,1.2192840999182406,49.445424576636924,24.722712288318462,1920.18070886451,780.1243,4496.67409,3940000,1497979.6313764297,1497979.6313764297,.,683.9123624367448,3075331,1313235.3249049904,1313235.3249049904
Buffalo,60.07548,64.28076,1.219772096591283,49.25139718139484,24.62569859069742,1905.1404225935032,742.2481,949.73302,1115000,1414086.8589032248,1115000,.,500.80074082293146,475627,954095.7350065392,475627
Charlotte,54.73937,66.78204,1.2324990260921265,44.41331704217376,22.20665852108688,1549.2314379058469,612.8043,1126.416124,865000,949375.6868438859,865000,.,720.4326915334532,811507,1116116.974618751,811507
Chicago,47.50277,64.12874,1.2285083022797185,38.66703213307557,19.333516066537786,1174.2797183473374,1111.92,5498.056965,8150000,1305705.1044247714,1305705.1044247714,.,762.0490341718386,4189789,894858.725214167,894858.725214167
Cincinnati,59.70134,70.44758,1.32925920589698,44.913241702707424,22.456620851353712,1584.3046099117196,725.1187,1739.864863,1540000,1148808.8991431931,1148808.8991431931,.,537.3710452361724,934953,851359.4242007472,851359.4242007472
Cleveland,62.77554,69.05309,1.1958825048225283,52.49306662389549,26.246533311947744,2164.181952229489,820.467,1675.72634,1785000,1775639.8737998721,1775639.8737998721,.,643.1097812784873,1077676,1391806.5819451562,1077676
Columbus,60.79675,71.13219,1.2517998202968643,48.56746982563239,24.283734912816193,1852.5965008056273,793.0747,1030.05784,1140000,1469247.4140974726,1140000,.,750.9364716839591,773508,1391182.2797690267,773508
Dallas-Fort Worth,56.96404,70.06577,1.2688044572054789,44.89583850096363,22.447919250481814,1583.0770596462,831.1357,3644.217906,4090000,1315751.8601229864,1315751.8601229864,.,713.7561658202335,2601083,1129931.0122910407,1129931.0122910407
Denver,50.87279,67.15208,1.3463143949767653,37.78670880279637,18.893354401398184,1121.4192710644425,919.8315,1291.905997,2025000,1031516.7702321127,1031516.7702321127,.,836.3681277965303,1080509,937919.3362151175,937919.3362151175
Detroit,50.51411,65.16321,1.2231188399031905,41.2994292557853,20.64971462789265,1339.6087671848056,1127.53,3267.140877,4030000,1510449.0732638838,1510449.0732638838,.,597.8523955763907,1953268,800888.3105965714,800888.3105965714
Grand Rapids,56.83914564234036,63.091451662997805,1.2876333382733918,44.14233769262054,22.07116884631027,1530.3844316072127,1048.9459499999998,666.544152,555000,1605290.5514774374,555000,.,796.5938916526567,530965,1219094.8900986286,530965
Hampton Roads,54.51603,64.32891,1.314972166684313,41.457934533672706,20.728967266836353,1349.91121105636,595.8125,1364.40988,1520000,804293.9734375174,804293.9734375174,.,420.4264483924728,573634,567538.3761096072,567538.3761096072
Hartford,68.56857,75.42543,1.3186049657057692,52.00084315115513,26.000421575577565,2123.785504159388,616.3466,1215.591516,870000,1308987.9746179245,870000,.,467.1972389777686,567921,992226.7237242744,567921
Honolulu,58.40320294694695,68.9157794773974,1.5656730917026238,37.30229717586522,18.65114858793261,1092.851208046629,1930.5093842061167,399.179856,700000,2109759.5126750083,700000,.,802.7985259857402,320461,877339.3389415692,320461
Houston,53.7673,68.82214,1.3120577300131484,40.97937062530106,20.48968531265053,1318.9260605278232,778.6393,3354.721332,3630000,1026967.6645211419,1026967.6645211419,.,557.6558571810459,1870780,735506.8428420633,735506.8428420633
Indianapolis,53.33619,65.07016,1.2553195423470496,42.488138040357626,21.244069020178813,1417.8336524349627,795.3705,1432.0576,1030000,1127703.0610540225,1030000,.,568.0393023297387,813465,805385.2387487814,805385.2387487814
Inland Empire1,57.81975,71.69648,1.3322187706081068,43.40109242989235,21.700546214946176,1479.419039329213,1048.911,1136.422783,1630000,1551778.9039618443,1551778.9039618443,.,772.155410052176,877495,1142341.4149522448,877495
Jacksonville,54.3979,63.64554,1.367147891752108,39.789331006673166,19.894665503336583,1243.4351952899096,464.3661,1063.231603,890000,577409.1522395137,577409.1522395137,.,467.6516373262844,497222,581494.5049864545,497222
Kansas City,63.34106,69.04175,1.3058059031530165,48.507255057628264,24.253627528814132,1848.0055877586046,534.1705,1513.627048,1425000,987150.0688158076,987150.0688158076,.,588.9244653614303,891412,1088335.702755672,891412
Las Vegas,50.76474,64.47121,1.339599290264874,37.895466479354795,18.947733239677397,1127.8838971237014,1701.467,740.498114,1300000,1919057.2307873731,1300000,.,934.3372885349443,691875,1053823.9822207852,691875
Los Angeles,47.96656,70.9905,1.3322187706081068,36.00501738772612,18.00250869386306,1018.1597661264179,2155.593,4319.930311,12450000,2194738.0647437433,2194738.0647437433,.,1226.6024260871461,5298837,1248877.2392749856,1248877.2392749856
Louisville,57.96375,68.97688,1.3589321966589822,42.65389409604645,21.326947048023225,1428.917825463218,763.3284,1013.455139,860000,1090733.5574423175,860000,.,509.17497987051996,516026,727569.2050168611,516026
Memphis,57.32139,64.77317,1.3251323609388206,43.2571052444824,21.6285526222412,1469.619100246715,772.2043,1035.522536,980000,1134846.1885726445,980000,.,519.0287814267327,537466,762774.6107625039,537466
Milwaukee,57.25628,65.84471,1.214710869220379,47.13572706956018,23.56786353478009,1744.979391790886,931.9707,1261.441179,1400000,1626269.6652529263,1400000,.,619.6594918675951,781664,1081293.0432365655,781664
Minneapolis-St.Paul,55.30265,69.68134,1.2298334736957186,44.967592103191365,22.483796051595682,1588.1413265243796,756.6357,2316.01556,2430000,1201644.4242937025,1201644.4242937025,.,709.1480853436063,1642398,1126227.3809598188,1126227.3809598188
Nashville,60.80458,70.53332,1.3726075001048517,44.298592274452254,22.149296137226127,1541.2380848619794,455.8151,1115.688349,850000,702519.5917751716,702519.5917751716,.,568.9509983401288,634772,876888.9470620513,634772
New Orleans,56.71207,65.21888,1.3418186143651714,42.265079193905116,21.132539596952558,1402.9857356014136,1342.165,512.392656,1095000,1883038.3498234712,1095000,.,1056.4398097071867,541312,1482169.9835406546,541312
New York,51.8687,66.91063,1.2505759301052708,41.47585024736067,20.737925123680334,1351.0781697400892,1475.768,8683.203275,17200000,1993877.928400992,1993877.928400992,.,908.0231972342027,7884550,1226810.3194007305,1226810.3194007305
Oklahoma City,59.51772,65.46949,1.282372101919743,46.41220743253888,23.20610371626944,1691.8206850142046,584.5659,834.888045,810000,988980.6813739451,810000,.,528.7128048407975,441416,894487.2596615396,441416
Orlando,45.74069,60.83512,1.3238129951233164,34.55222918078331,17.276114590391654,937.6527349452525,708.8145,1173.760455,1230000,664621.8544938517,664621.8544938517,.,697.0127478012538,818126,653555.9092675511,653555.9092675511
Philadelphia,52.86588,66.61101,1.2151792961844514,43.504592421870484,21.752296210935242,1486.4834897872631,942.2731,4660.716538,5125000,1400673.4060206627,1400673.4060206627,.,547.2707853403464,2550674,813508.9868513342,813508.9868513342
Phoenix,52.44265,67.12659,1.3591592167670952,38.584625960702695,19.292312980351348,1169.279863073214,990.8817,2069.418674,2900000,1158618.0184977537,1158618.0184977537,.,677.8860254935537,1402830,792638.4790683477,792638.4790683477
Pittsburgh,58.55113,64.40624,1.3100772449532365,44.69288374067592,22.34644187033796,1568.7965908041676,603.0711,2207.696575,1765000,946095.8856925193,946095.8856925193,.,470.4636550881092,1038641,738061.7781994935,738061.7781994935
Portland,53.08795,67.95258,1.39177069888646,38.14417852199006,19.07208926099503,1142.7373278922837,1192.044,1227.510314,1590000,1362193.1752900295,1362193.1752900295,.,714.7467438713512,877359,816767.7842112584,816767.7842112584
Providence,62.4824,71.22993,1.2391400975948115,50.42399977313237,25.211999886566186,1996.937468392656,595.1384,1304.401262,1210000,1188454.169839256,1188454.169839256,.,482.44740198664414,629305,963417.2935558232,629305
Raleigh,61.62895,70.25701,1.241360386279098,49.64629988292845,24.823149941464226,1935.8141225328793,484.1599,827.79291,790000,937243.5719841066,790000,.,742.4501860012307,614595,1437245.5553383455,614595
Rochester,62.089397559255026,65.81476141281033,1.2673100528512509,48.99306007994139,24.496530039970693,1885.206869298125,723.2612622518691,764.443652,665000,1363497.0998944563,665000,.,595.4448033012118,455184,1122536.6334713153,455184
Sacramento,53.29741,67.68771,1.408746139914572,37.83322522767091,18.916612613835454,1124.1819632812299,1367.639,955.784543,1470000,1537475.0960799777,1470000,.,612.258279636146,585187,688289.7148365508,585187
Salt Lake City,52.23418,63.7257,1.4286295458510965,36.56243856337287,18.281219281686436,1049.9296218281347,899.2759,597.565978,920000,944176.4056061555,920000,.,1022.958171156123,611285,1074034.0857879485,611285
San Antonio,59.60624,71.52749,1.3773596768934178,43.275726014020975,21.637863007010488,1470.8846185186283,935.5552,1055.573512,1260000,1376093.753455119,1260000,.,601.997864455697,635453,885469.3992089469,635453
San Diego,53.16983,70.71587,1.4004144662812563,37.96720990835686,18.98360495417843,1132.158543288937,1412.321,2026.112024,2780000,1598971.2860163746,1598971.2860163746,.,533.9102612225552,1081762,604471.0635927438,604471.0635927438
San Francisco,53.32521,72.52228,1.4605972713753022,36.50918089816014,18.25459044908007,1046.8731476069825,1233.717,1107.747057,4090000,1291545.1990462437,1291545.1990462437,.,1849.2479732221034,2048499,1935928.0464328562,1935928.0464328562
San Jose1,50.66389,67.88962,1.4605972713753022,34.68710437360652,17.34355218680326,944.9873080055338,1658.259,673.683711,1675000,1567033.7083859486,1567033.7083859486,.,1548.2013042170763,1042998,1463030.5827227514,1042998
Seattle,58.18665,73.89704,1.4023948619686526,41.4909178420112,20.7454589210056,1352.0600035483496,856.6154,2469.881137,2740000,1158195.420763571,1158195.420763571,.,599.9134848245129,1481715,811119.0284205338,811119.0284205338
South Florida,59.82909,81.36757,1.2685017433180505,47.165161825874684,23.582580912937342,1747.1594400750878,1147.902,2890.668454,4965000,2005567.8155810735,2005567.8155810735,.,514.0451157391708,1485934,898118.7765881834,898118.7765881834
St. Louis,56.50248,66.67293,1.3553298397239786,41.68909909893748,20.84454954946874,1365.0070726027716,699.066,2146.974101,2055000,954230.0342161292,954230.0342161292,.,568.5308450770176,1220621,776048.6245229597,776048.6245229597
Tampa Bay,47.58084,59.95186,1.29,36.88437209302326,18.44218604651163,1068.5003543300816,576.2719,2077.87444,2000000,615746.7293404692,615746.7293404692,.,501.91290672982143,1042912,536294.1186836554,536294.1186836554
Washington,49.55658,67.39695,1.3045455771997856,37.987618728027485,18.993809364013742,1133.376026995882,1265.034,2996.00934,4030000,1433759.2089347087,1433759.2089347087,.,760.5570415211055,2278636,861997.1180229327,861997.1180229327
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,
1 Los Angeles-Inland Empire and San Francisco-San Jose were combined for the circuity analysis,,,,,,,,,,,,,,,,
2 Circuity is from a sample of OD points with network distance matched to average commute distance,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data Sources:,,,,,,,,,,,,,,,,
"Network Speed (congested), Network Speed (freeflow), Population: TTI complete data 1982-2007 (calculated from 2001 values only), FHWA data on highway usage in 2001",,,,,,,,,,,,,,,,
"Circuity: Networks are Census Tiger 2008 county-level shapefiles merged together, commute distances are from 2001 NHTS",,,,,,,,,,,,,,,,
Urbanized Area: Census 2000 Urbanized Area (census.gov),,,,,,,,,,,,,,,,
Employment: 2001 MSA Business Patterns (NAICS - from Censtats),,,,,,,,,,,,,,,,
