0.5,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],30 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,57.43675000000001,68.14325000000001,34071.62500000001,1.2678601947095567,45.302116305621304,22.651058152810652,1611.8583107587344,873.4897783967428,5083.058909,4440000,1407941.7586715952,1407941.7586715952,.,436.3691312081152,2218090,703365.2106963692,703365.2106963692
Austin,62.91075,76.75675000000001,38378.37500000001,1.3315156958904781,47.24747158006813,23.623735790034065,1753.2628325439537,1256.15259139698,823.944485,1035000,2202365.650500097,1035000,.,796.2393243035058,656057,1396016.8131112482,656057
Baltimore2,59.8115,68.62625,34313.125,1.2716628995034032,47.03408428708345,23.517042143541726,1737.4618106010955,1312.0237170817477,1768.260718,2320000,2279591.103032433,2279591.103032433,.,634.4765727018769,1121920,1102378.8147905807,1102378.8147905807
Boston,53.613,62.8705,31435.25,1.225852846145757,43.73526575279108,21.86763287639554,1502.2887707003495,934.0236619194253,4496.67409,4200000,1403173.2588699723,1403173.2588699723,.,645.5319958489586,2902747,969775.4684916751,969775.4684916751
Buffalo,63.43400000000001,70.23625,35118.125,1.2021720891550782,52.76615600399048,26.38307800199524,2186.758360553902,1184.5434204235628,949.73302,1125000,2590310.228050342,1125000,.,494.17361523346847,469333,1080638.2846769344,469333
Charlotte,61.2605,70.79974999999999,35399.87499999999,1.240603054702388,49.37961402545149,24.689807012725744,1915.0726910620326,949.9153795848895,1126.416124,1070000,1819157.0022628466,1070000,.,723.7920184459291,815291,1386114.3285344657,815291
Chicago,49.266,60.49575000000001,30247.875000000004,1.237014203266307,39.82654351899459,19.913271759497295,1245.762099700017,1535.0877689569375,5498.056965,8440000,1912354.162279609,1912354.162279609,.,761.2045540164752,4185146,948279.7835127792,948279.7835127792
Cincinnati,66.8955,72.53050000000002,36265.25000000001,1.3006549921101749,51.432163337542065,25.716081668771032,2077.5881777453187,959.8446612229791,1739.864863,1670000,1994161.920628822,1670000,.,544.468722913683,947302,1131181.7818775596,947302
Cleveland,66.33200000000001,73.01350000000001,36506.75000000001,1.1941029193577641,55.54965064123282,27.77482532061641,2423.553131948054,1068.1935094485655,1675.72634,1790000,2588823.725350654,1790000,.,567.0012921083522,950139,1374157.7573077907,950139
Columbus,73.17450000000001,79.77550000000001,39887.75000000001,1.2132024431612698,60.31516043548966,30.15758021774483,2857.2145700325027,1189.2536054091877,1030.05784,1225000,3397952.728838816,1225000,.,769.8305563112845,792970,2199571.081948829,792970
Dallas-Fort Worth,53.894749999999995,63.393750000000004,31696.875000000004,1.2867507208792124,41.8843752138524,20.9421876069262,1377.8246947393334,1219.7404531385341,3644.217906,4445000,1680588.517506817,1680588.517506817,.,729.7741432040481,2659456,1005500.8360887761,1005500.8360887761
Denver,54.78025,64.11825,32059.125,1.3693023353302707,40.00595674642387,20.002978373211935,1257.0113627201556,1687.4292750883483,1291.905997,2180000,2121117.7725726888,2121117.7725726888,.,885.413491892011,1143871,1112974.8200139883,1112974.8200139883
Detroit,57.557500000000005,65.1245,32562.25,1.2213340937624941,47.12674467531313,23.563372337656563,1744.3143930579959,1239.6159677445094,3267.140877,4050000,2162279.974401264,2162279.974401264,.,521.8829135906893,1705065,910327.8776672818,910327.8776672818
Grand Rapids,72.65,79.78,39890,1.2534629398347654,57.95943197935865,28.979715989679324,2638.3847165763646,900.1654252005198,666.544152,600000,2374982.7002395163,600000,.,799.6064452756611,532973,2109669.4244912597,532973
Hampton Roads,63.393750000000004,72.08775000000001,36043.87500000001,1.3109661328414999,48.356512355200955,24.178256177600478,1836.5375917106676,1132.3576753929692,1364.40988,1545000,2079617.4381212934,1545000,.,466.71825624716234,636795,857145.6223355657,636795
Hartford,65.96974999999999,73.8185,36909.25,1.2482031115877554,52.851774993642096,26.425887496821048,2193.8606380306765,736.2670668721581,1215.591516,895000,1615267.3370891276,895000,.,466.09078176554175,566576,1022538.2198643682,566576
Honolulu,61.743500000000004,74.74425,37372.125,1.4345819636227921,43.039367262137695,21.519683631068848,1454.8614532000508,1766.1211842313005,399.179856,705000,2569461.6326181446,705000,.,894.7946511609545,357184,1301802.2465036588,357184
Houston,58.40275000000001,69.59225,34796.125,1.3068171566560105,44.690835058705304,22.345417529352652,1568.6527696246199,1137.2032495246315,3354.721332,3815000,1783877.0269929308,1783877.0269929308,.,675.4802488017804,2266048,1059593.9631096402,1059593.9631096402
Indianapolis,54.53875,64.44025,32220.125000000004,1.2377454480083434,44.062977640320405,22.031488820160202,1524.8866613982075,747.1766498777703,1432.0576,1070000,1139359.7071068105,1070000,.,555.537710215008,795562,847132.0442105684,795562
Inland Empire2,60.173750000000005,67.82125,33910.625,1.3623371102112816,44.16950074175679,22.084750370878396,1532.2684594923223,1786.307024434233,1136.422783,2030000,2737101.912510156,2030000,.,966.10699505837,1097906,1480335.2770228453,1097906
Jacksonville,66.33200000000001,74.18075,37090.375,1.3385303871253407,49.55584171865995,24.777920859329974,1928.7662393141322,978.150007077997,1063.231603,1040000,1886622.71063692,1040000,.,508.1602150232549,540292,980122.2668994642,540292
Kansas City,63.43400000000001,69.552,34776,1.2759958465633252,49.71332796329122,24.85666398164561,1941.0447840746367,1007.5137082249074,1513.627048,1525000,1955629.228233652,1525000,.,613.5044965184845,928617,1190839.7029735404,928617
Las Vegas,59.52975000000001,69.83375000000001,34916.87500000001,1.3201192530937347,45.094221495891716,22.547110747945858,1597.0983784858126,1897.3714766274206,740.498114,1405000,3030288.9087068853,1405000,.,1137.2034365505488,842097,1816225.764523375,842097
Los Angeles2,52.92875,66.0905,33045.25,1.2573733592111536,42.094696545190246,21.047348272595123,1391.6968606250955,2963.010761402072,4319.930311,12800000,4123612.7746416377,4123612.7746416377,.,1240.2952395682755,5357989,1726114.9911554197,1726114.9911554197
Louisville,63.47425000000001,71.28275000000001,35641.375,1.3257298869873992,47.878719958738714,23.939359979369357,1800.4246210905617,902.8520008323723,1013.455139,915000,1625516.9714994794,915000,.,548.676481673058,556059,987850.6466175179,556059
Memphis,67.41875,75.14675000000001,37573.37500000001,1.2910194406980002,52.22132825788394,26.11066412894197,2141.8335114504357,999.4953890602725,1035.522536,1035000,2140752.718829483,1035000,.,536.1216011237055,555166,1148283.211499216,555166
Milwaukee,65.688,72.49025,36245.125,1.1867090038683803,55.35308132480097,27.676540662400484,2406.431393699245,1161.3700459353722,1261.441179,1465000,2794757.338240814,1465000,.,630.2925679263876,795077,1516755.822673373,795077
Minneapolis-St.Paul,55.74625,65.688,32844,1.2701199260392533,43.89054045773403,21.945270228867017,1512.9749540355974,1090.234471481703,2316.01556,2525000,1649497.4493780534,1649497.4493780534,.,725.8496138946493,1681079,1098192.2862190132,1098192.2862190132
Nashville,67.57975,75.87125,37935.625,1.3223570330949683,51.105524687103625,25.552762343551812,2051.2830161015886,891.8261097660705,1115.688349,995000,1829387.7522790916,995000,.,651.3440788830895,726697,1336091.046651215,726697
New Orleans,56.14875000000001,67.137,33568.5,1.3489148947289156,41.62512417900459,20.812562089502293,1360.8208840842658,2146.791112478396,512.392656,1100000,2921398.1796270953,1100000,.,898.5706461803777,460421,1222793.7011473516,460421
New York,55.142500000000005,67.66025,33830.125,1.2364276854478877,44.59824108518324,22.29912054259162,1562.1593879302927,2098.879805390713,8683.203275,18225000,3278784.7921284083,3278784.7921284083,.,941.2058823418481,8172682,1470313.6050755326,1470313.6050755326
Oklahoma City,69.02875,75.95175000000002,37975.87500000001,1.2782037611934325,54.00449607154127,27.002248035770634,2290.602430627265,1048.044711192385,834.888045,875000,2400653.7628633273,875000,.,575.9766269021136,480876,1319333.461566475,480876
Orlando,58.16125,69.069,34534.5,1.3529409382116724,42.98875757051005,21.494378785255027,1451.4419420113766,1197.00744220421,1173.760455,1405000,1737386.8065149493,1405000,.,800.1002214715096,939126,1161299.0192563403,939126
Philadelphia,59.77125,68.06275000000001,34031.37500000001,1.20124627478735,49.75769852903891,24.878849264519456,1944.5112061938823,1139.3097942572194,4660.716538,5310000,2215400.66225961,2215400.66225961,.,550.5520404596638,2565967,1070554.612266724,1070554.612266724
Phoenix,63.75600000000001,70.47775000000001,35238.87500000001,1.3052617006945595,48.84537711178838,24.42268855589419,1873.8585956259217,1655.0541671588298,2069.418674,3425000,3101337.477357074,3101337.477357074,.,794.5956130866538,1644351,1488959.8196290752,1488959.8196290752
Pittsburgh,68.46525000000001,76.83725000000001,38418.62500000001,1.3051406812780726,52.45813802459571,26.229069012297856,2161.302840762716,822.1238464348299,2207.696575,1815000,1776858.604758369,1776858.604758369,.,483.8373226175794,1068166,1045718.9798404011,1045718.9798404011
Portland,60.938500000000005,71.44375000000001,35721.87500000001,1.4731281162210448,41.366734725234245,20.683367362617123,1343.9786322249647,1466.3827908170226,1227.510314,1800000,1970787.1375204886,1800000,.,771.7393403506668,947318,1037201.1830786857,947318
Providence,61.542249999999996,68.06275000000001,34031.37500000001,1.249214553394799,49.26475586820219,24.632377934101093,1906.174043045755,954.460898091342,1304.401262,1245000,1819368.5890438557,1245000,.,487.5056614288985,635903,929270.6376536185,635903
Raleigh,67.57974999999999,75.46875,37734.375,1.2442193027437145,54.31498277753382,27.15749138876691,2317.0167517357686,1238.2323980039887,827.79291,1025000,2869005.2087171935,1025000,.,839.8888074554782,695254,1946036.4364697204,695254
Rochester,63.595000000000006,70.84,35420,1.235017216450139,51.49320928723062,25.74660464361531,2082.5229735148255,974.5649637496106,764.443652,745000,2029553.926191207,745000,.,596.126344705391,455705,1241446.8079663948,455705
Sacramento,56.873250000000006,65.68800000000002,32844.00000000001,1.4014419587257636,40.581951786081106,20.290975893040553,1293.4681596858272,1946.0452814625608,955.784543,1860000,2517147.608878666,1860000,.,727.9443940536712,695758,941572.8957302168,695758
Salt Lake City,78.085,86.65825,43329.125,1.37473562290319,56.800012088941706,28.400006044470853,2533.884049269763,1631.618994212552,597.565978,975000,4134333.3439207594,975000,.,1202.6186671557798,718644,3047296.258060093,718644
San Antonio,64.078,74.42224999999999,37211.12499999999,1.3398515854253352,47.824699912310415,23.912349956155207,1796.364188624292,1373.6608426756356,1055.573512,1450000,2467595.1450979793,1450000,.,697.1252988394427,735867,1252290.9218191826,735867
San Diego,60.49575000000001,69.67275000000001,34836.37500000001,1.4062579681100151,43.018956245492554,21.509478122746277,1453.481871580213,1455.9905696507528,2026.112024,2950000,2116255.8981791167,2116255.8981791167,.,586.5731933487602,1188463,852573.5028873382,852573.5028873382
San Francisco1,53.25075000000001,64.11825,32059.125,1.424503733426794,37.381965908857055,18.690982954428527,1097.5243276013834,4044.244551759617,1107.747057,4480000,4438656.782325532,4438656.782325532,.,1773.25047950906,1964313,1946185.5401920117,1946185.5401920117
San Jose1,63.71575,74.382,37191,1.3973659459287573,45.59703933363813,22.798519666819065,1632.9134643911793,2530.861251594073,673.683711,1705000,4132677.414233874,1705000,.,1384.3499327238446,932614,2260523.644573789,932614
Seattle,52.92875,63.23275000000001,31616.375000000004,1.4529281790243918,36.429020211818354,18.214510105909177,1042.281100269396,1255.1211285274092,2469.881137,3100000,1308189.0308129138,1308189.0308129138,.,637.5553772246167,1574686,664511.9200563432,664511.9200563432
South Florida,60.37500000000001,66.815,33407.5,1.2629261489074812,47.805645684214056,23.902822842107028,1794.9330656078382,1874.9988406660766,2890.668454,5420000,3365497.4170879032,3365497.4170879032,.,693.0583814369187,2003402,1243993.4052377748,1243993.4052377748
St. Louis,59.77125,67.5395,33769.75,1.3725412244961106,43.547872321243624,21.773936160621812,1489.4425731191034,1031.684545690754,2146.974101,2215000,1536634.8843808498,1536634.8843808498,.,587.9684339983569,1262353,875745.2172473224,875745.2172473224
Tampa Bay,61.099500000000006,68.38475,34192.375,1.288975134924683,47.401612602534925,23.700806301267463,1764.7212471618304,1116.5255971867098,2077.87444,2320000,1970356.444355438,1970356.444355438,.,483.813160529565,1005303,853795.3640430408,853795.3640430408
Washington2,57.07450000000001,69.18974999999999,34594.87499999999,1.3128038200118335,43.47526959472554,21.73763479736277,1484.480335338008,1445.2558415588917,2996.00934,4330000,2145453.8763265586,2145453.8763265586,.,824.5034376294701,2470220,1223959.1395795362,1223959.1395795362
