,2000 Rank,,,,,,,,1990 Rank,,,,,,,,Difference in Rank,,,,,,,,"Rank of Change in  Rank (Positive Change in Rank, Bad) Low Numbers for Rank Bad.",,,,,
Area,10,20,30,40,50,60,,,10,20,30,40,50,60,,,10,20,30,40,50,60,,,10,20,30,40,50,60
Atlanta,50,49,41,22,12,8,,Atlanta,44,42,22,11,11,11,,Atlanta,6,7,19,11,1,-3,,Atlanta,17,18,2,2,17,40
Austin,29,30,38,40,40,40,,Austin,39,38,48,48,48,48,,Austin,-10,-8,-10,-8,-8,-8,,Austin,38,38,41,47,48,48
Baltimore,24,21,9,19,20,20,,Baltimore,20,11,10,17,17,17,,Baltimore,4,10,-1,2,3,3,,Baltimore,21,13,25,17,11,11
Boston,9,7,3,2,3,4,,Boston,13,5,3,6,6,6,,Boston,-4,2,0,-4,-3,-2,,Boston,34,29,24,41,39,36
Buffalo,23,22,48,48,48,48,,Buffalo,4,19,38,38,38,38,,Buffalo,19,3,10,10,10,10,,Buffalo,3,26,10,3,2,2
Charlotte,22,20,19,30,30,30,,Charlotte,7,10,33,33,33,33,,Charlotte,15,10,-14,-3,-3,-3,,Charlotte,8,13,47,34,39,40
Chicago,32,29,15,7,5,3,,Chicago,14,6,4,2,3,3,,Chicago,18,23,11,5,2,0,,Chicago,4,4,8,10,12,24
Cincinnati,34,28,13,24,24,24,,Cincinnati,24,16,24,24,24,24,,Cincinnati,10,12,-11,0,0,0,,Cincinnati,11,10,42,22,25,24
Cleveland,6,5,6,18,19,19,,Cleveland,8,2,9,15,15,15,,Cleveland,-2,3,-3,3,4,4,,Cleveland,30,26,28,15,8,8
Columbus,5,3,25,32,32,32,,Columbus,11,7,31,31,31,31,,Columbus,-6,-4,-6,1,1,1,,Columbus,35,34,35,19,17,16
Dallas-Fort Worth,17,16,5,5,4,5,,Dallas-Fort Worth,33,29,12,8,8,8,,Dallas-Fort Worth,-16,-13,-7,-3,-4,-3,,Dallas-Fort Worth,44,41,39,34,43,40
Denver,20,23,11,17,18,18,,Denver,16,8,16,20,20,20,,Denver,4,15,-5,-3,-2,-2,,Denver,21,8,34,34,37,36
Detroit,37,37,23,12,9,10,,Detroit,21,13,7,7,7,7,,Detroit,16,24,16,5,2,3,,Detroit,6,2,5,10,12,11
Grand Rapids,8,9,45,45,45,45,,Grand Rapids,18,47,51,51,51,51,,Grand Rapids,-10,-38,-6,-6,-6,-6,,Grand Rapids,38,51,35,45,47,47
Virginia Beach,51,50,40,41,41,41,,Virginia Beach,47,46,29,29,29,29,,Virginia Beach,4,4,11,12,12,12,,Virginia Beach,21,23,8,1,1,1
Hartford,18,13,39,42,42,42,,Hartford,2,15,35,35,35,35,,Hartford,16,-2,4,7,7,7,,Hartford,6,31,18,6,5,5
Honolulu,10,41,51,51,51,51,,Honolulu,5,32,47,47,47,47,,Honolulu,5,9,4,4,4,4,,Honolulu,19,16,18,12,8,8
Houston,43,44,28,14,10,11,,Houston,37,34,14,10,10,10,,Houston,6,10,14,4,0,1,,Houston,17,13,6,12,25,16
Indianapolis,38,36,21,29,29,29,,Indianapolis,30,22,32,32,32,32,,Indianapolis,8,14,-11,-3,-3,-3,,Indianapolis,15,9,42,34,39,40
Riverside,13,14,14,26,26,26,,Riverside,26,20,26,27,27,27,,Riverside,-13,-6,-12,-1,-1,-1,,Riverside,40,35,45,28,29,29
Jacksonville,48,48,47,47,47,47,,Jacksonville,51,51,46,46,46,46,,Jacksonville,-3,-3,1,1,1,1,,Jacksonville,32,32,22,19,17,16
Kansas City,16,11,12,25,25,25,,Kansas City,48,48,27,26,26,26,,Kansas City,-32,-37,-15,-1,-1,-1,,Kansas City,51,50,49,28,29,29
Las Vegas,14,15,29,33,33,33,,Las Vegas,34,43,50,50,50,50,,Las Vegas,-20,-28,-21,-17,-17,-17,,Las Vegas,46,47,51,51,51,51
Los Angeles,4,4,2,1,1,1,,Los Angeles,19,12,6,4,2,2,,Los Angeles,-15,-8,-4,-3,-1,-1,,Los Angeles,43,38,31,34,29,29
Louisville,42,40,46,46,46,46,,Louisville,38,31,45,45,45,45,,Louisville,4,9,1,1,1,1,,Louisville,21,16,22,19,17,16
Memphis,40,39,43,44,44,44,,Memphis,36,33,44,44,44,44,,Memphis,4,6,-1,0,0,0,,Memphis,21,21,25,22,25,24
Milwaukee,19,17,22,31,31,31,,Milwaukee,22,14,25,25,25,25,,Milwaukee,-3,3,-3,6,6,6,,Milwaukee,32,26,28,9,7,7
Minneapolis,21,19,7,6,11,12,,Minneapolis,42,41,20,14,14,14,,Minneapolis,-21,-22,-13,-8,-3,-2,,Minneapolis,49,45,46,47,39,36
Nashville,33,31,32,35,35,35,,Nashville,49,49,40,40,40,40,,Nashville,-16,-18,-8,-5,-5,-5,,Nashville,44,44,40,43,46,46
New Orleans,3,8,42,43,43,43,,New Orleans,23,21,39,39,39,39,,New Orleans,-20,-13,3,4,4,4,,New Orleans,46,41,20,12,8,8
New York,15,10,4,3,2,2,,New York,10,4,2,1,1,1,,New York,5,6,2,2,1,1,,New York,19,21,21,17,17,16
Oklahoma City,30,27,50,50,50,50,,Oklahoma City,50,50,43,43,43,43,,Oklahoma City,-20,-23,7,7,7,7,,Oklahoma City,46,46,14,6,5,5
Orlando,46,45,30,28,28,28,,Orlando,46,45,36,36,36,36,,Orlando,0,0,-6,-8,-8,-8,,Orlando,29,30,35,47,48,48
Philadelphia,39,35,20,10,6,6,,Philadelphia,9,3,1,3,4,4,,Philadelphia,30,32,19,7,2,2,,Philadelphia,1,1,2,6,12,13
Phoenix,31,33,17,13,15,15,,Phoenix,40,36,21,19,19,19,,Phoenix,-9,-3,-4,-6,-4,-4,,Phoenix,37,32,31,45,43,44
Pittsburgh,44,43,26,21,23,23,,Pittsburgh,43,39,18,21,21,21,,Pittsburgh,1,4,8,0,2,2,,Pittsburgh,27,23,11,22,12,13
Portland,36,42,27,27,27,27,,Portland,29,23,28,28,28,28,,Portland,7,19,-1,-1,-1,-1,,Portland,16,6,25,28,29,29
Providence,25,24,33,36,36,36,,Providence,12,17,37,37,37,37,,Providence,13,7,-4,-1,-1,-1,,Providence,9,18,31,28,29,29
Raleigh,7,6,34,37,37,37,,Raleigh,6,40,49,49,49,49,,Raleigh,1,-34,-15,-12,-12,-12,,Raleigh,27,49,49,50,50,50
Rochester,12,18,49,49,49,49,,Rochester,3,25,41,41,41,41,,Rochester,9,-7,8,8,8,8,,Rochester,13,36,11,5,4,4
Sacramento,45,46,37,39,39,39,,Sacramento,27,24,30,30,30,30,,Sacramento,18,22,7,9,9,9,,Sacramento,4,5,14,4,3,3
Salt Lake City,11,12,36,38,38,38,,Salt Lake City,17,26,42,42,42,42,,Salt Lake City,-6,-14,-6,-4,-4,-4,,Salt Lake City,35,43,35,41,43,44
San Antonio,28,26,31,34,34,34,,San Antonio,41,37,34,34,34,34,,San Antonio,-13,-11,-3,0,0,0,,San Antonio,40,40,28,22,25,24
San Diego,47,47,35,16,17,17,,San Diego,35,35,17,16,16,16,,San Diego,12,12,18,0,1,1,,San Diego,10,10,4,22,17,16
