1.5,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],90 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,57.43675000000001,68.14325000000001,102214.875,1.1877771935320718,48.35650180249831,72.53475270374746,16528.831111315074,873.4897783967428,5083.058909,4440000,14437765.024579793,4440000,.,436.3691312081152,2218090,7212671.671930225,2218090
Austin,62.91075,76.75675000000001,115135.12500000001,1.2582890434326388,49.997057773290436,74.99558665993565,17669.379000124587,1256.15259139698,823.944485,1035000,22195436.219381876,1035000,.,796.2393243035058,656057,14069054.395921756,656057
Baltimore2,59.8115,68.62625,102939.375,1.233741596511127,48.479762836188506,72.71964425428276,16613.202699636186,1312.0237170817477,1768.260718,2320000,21796915.958609194,2320000,.,634.4765727018769,1121920,10540687.910466736,1121920
Boston,53.613,62.8705,94305.75,1.1792959449191527,45.46187089931482,68.19280634897223,14609.219001961468,934.0236619194253,4496.67409,4200000,13645356.229994902,4200000,.,645.5319958489586,2902747,9430718.300130717,2902747
Buffalo,63.43400000000001,70.23625,105354.375,1.1646573299473928,54.46580583738335,81.69870875607502,20969.122550457134,1184.5434204235628,949.73302,1125000,24838836.149199355,1125000,.,494.17361523346847,469333,10362387.09903305,469333
Charlotte,61.2605,70.79974999999999,106199.62499999999,1.2184606076717244,50.276963911913924,75.41544586787089,17867.775153442242,949.9153795848895,1126.416124,1070000,16972874.417219546,1070000,.,723.7920184459291,815291,12932553.04344798,815291
Chicago,49.266,60.49575000000001,90743.62500000001,1.1715001469840343,42.053771932366146,63.08065789854922,12500.929357300092,1535.0877689569375,5498.056965,8440000,19190023.75698608,8440000,.,761.2045540164752,4185146,9515764.356215078,4185146
Cincinnati,66.8955,72.53050000000002,108795.75000000003,1.2779855759070877,52.34448749745783,78.51673124618674,19367.53256236077,959.8446612229791,1739.864863,1670000,18589822.731044192,1670000,.,544.468722913683,947302,10545015.72021774,947302
Cleveland,66.33200000000001,73.01350000000001,109520.25,1.1498564950576229,57.68719860705392,86.53079791058089,23522.92313886379,1068.1935094485655,1675.72634,1790000,25127033.820191775,1790000,.,567.0012921083522,950139,13337527.813901225,950139
Columbus,73.17450000000001,79.77550000000001,119663.25,1.1666680790044779,62.72092407160062,94.08138610740093,27807.201711539514,1189.2536054091877,1030.05784,1225000,33069814.8917889,1225000,.,769.8305563112845,792970,21406833.563054565,792970
Dallas-Fort Worth,53.894749999999995,63.393750000000004,95090.625,1.2015060407013247,44.85599587043389,67.28399380565082,14222.416641577105,1219.7404531385341,3644.217906,4445000,17347656.919122286,4445000,.,729.7741432040481,2659456,10379151.918897927,2659456
Denver,54.78025,64.11825,96177.37500000001,1.3276510683394664,41.26102957798643,61.891544366979645,12034.06940970115,1687.4292750883483,1291.905997,2180000,20306641.02037488,2180000,.,885.413491892011,1143871,10655127.417714328,1143871
Detroit,57.557500000000005,65.1245,97686.74999999999,1.1793589097336392,48.804057462879975,73.20608619431997,16836.206754809577,1239.6159677445094,3267.140877,4050000,20870430.72950992,4050000,.,521.8829135906893,1705065,8786528.635015266,1705065
Grand Rapids,72.65,79.78,119670,1.2368611790095092,58.73739206381985,88.10608809572977,24387.187129495433,900.1654252005198,666.544152,600000,21952502.6718669,600000,.,799.6064452756611,532973,19500152.010888197,532973
Hampton Roads,63.393750000000004,72.08775000000001,108131.62500000001,1.3441760531206133,47.16179093715164,70.74268640572747,15722.18739385778,1132.3576753929692,1364.40988,1545000,17803139.56940144,1545000,.,466.71825624716234,636795,7337831.884852421,636795
Hartford,65.96974999999999,73.8185,110727.75,1.2211596606105135,54.022215217147526,81.03332282572129,20628.952141266996,736.2670668721581,1215.591516,895000,15188418.085696777,895000,.,466.09078176554175,566576,9614964.430527082,566576
Honolulu,61.743500000000004,74.74425,112116.37499999999,1.4625638767711695,42.21593393671673,63.32390090507509,12597.523984914696,1766.1211842313005,399.179856,705000,22248753.978619754,705000,.,894.7946511609545,357184,11272197.079573503,357184
Houston,58.40275000000001,69.59225,104388.37500000001,1.232150114435076,47.39905415402804,71.09858123104206,15880.776791671331,1137.2032495246315,3354.721332,3815000,18059670.972463988,3815000,.,675.4802488017804,2266048,10727151.05840369,2266048
Indianapolis,54.53875,64.44025,96660.37500000001,1.1802346118410132,46.210092004441904,69.31513800666286,15094.059485505804,747.1766498777703,1432.0576,1070000,11277928.799436009,1070000,.,555.537710215008,795562,8385319.244427017,795562
Inland Empire2,60.173750000000005,67.82125,101731.875,1.330115441516819,45.23949434898664,67.85924152347997,14466.64668618917,1786.307024434233,1136.422783,2030000,25841872.595547933,2030000,.,966.10699505837,1097906,13976328.558565345,1097906
Jacksonville,66.33200000000001,74.18075,111271.12500000001,1.2812723689433594,51.77041322970442,77.65561984455663,18945.045552120784,978.150007077997,1063.231603,1040000,18531096.44089992,1040000,.,508.1602150232549,540292,9627118.421391057,540292
