1.3333333333333333,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],80 min Distance [m],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,52.31679,68.53499,69755.72,1.2039045707227536,43.45592771409786,57.94123695213048,10546.913825995673,757.4179384746532,5083.058909,3850000,7988421.727355459,3850000,.,418.87926898310906,2129188,4417883.553460913,2129188
Austin,53.19888,67.56258,70931.84,1.275232209735718,41.71701404172112,55.62268538896149,9719.720511894488,1165.1270412957495,823.944485,960000,11324709.202245232,960000,.,704.5195526735032,580485,6847733.147151378,580485
Baltimore2,57.5626,71.37762,76750.13333333333,1.2113349779208948,47.51996850516033,63.35995800688043,12611.874317707201,1249.8156960132164,1768.260718,2210000,15762518.478416435,2210000,.,601.542515293268,1063684,7586578.599636158,1063684
Boston,60.28802,74.15427,80384.02666666667,1.1867711870318272,50.80003682157408,67.73338242876544,14413.033632868097,876.2031495148894,4496.67409,3940000,12628745.463183055,3940000,.,683.9123624367448,3075331,9857251.881735079,3075331
Buffalo,60.07548,64.28076,80100.64,1.177150456163321,51.034665692441415,68.04622092325522,14546.47933637521,1174.0141455753533,949.73302,1115000,17077772.509224076,1115000,.,500.80074082293146,475627,7284887.62802217,475627
Charlotte,54.73937,66.78204,72985.82666666668,1.2142402320640244,45.08116973438721,60.10822631251628,11350.570708792076,767.9222461130181,1126.416124,865000,8716355.753360244,865000,.,720.4326915334532,811507,8177322.206175851,811507
Chicago,47.50277,64.12874,63337.02666666666,1.184717774513276,40.09627526650034,53.46170035533379,8979.153739614647,1482.3418622036777,5498.056965,8150000,13310175.475393493,8150000,.,762.0490341718386,4189789,6842555.434953794,4189789
Cincinnati,59.70134,70.44758,79601.78666666667,1.264435337754819,47.21581105603079,62.95441474137438,12450.943270862183,885.1262145409509,1739.864863,1540000,11020656.284802368,1540000,.,537.3710452361724,934953,6690776.399639498,934953
Cleveland,62.77554,69.05309,83700.71999999999,1.15916441938689,54.15585481238589,72.20780641651452,16380.161389251713,1065.2097286959158,1675.72634,1785000,17448307.269440133,1785000,.,643.1097812784873,1077676,10534242.008347992,1077676
