,Time Threshold Circuities,,,,,,,,,ln(Time Threshold Circuities),,,,,,,,,ln(C)-ln(t),,,,C-ln(t),,,ln(C)-t,C-t,
,10,20,30,40,50,60,70,80,90,2.302585092994046,2.995732273553991,3.4011973816621555,3.6888794541139363,3.912023005428146,4.0943445622221,4.248495242049359,4.382026634673881,4.499809670330265,Zeta,,Y-Intercept,r2,Zeta,Y-Intercept,r2,r2,r2,
Atlanta,1.3794149811619634,1.3157020332333682,1.277382171194746,1.2522182557617958,1.2343851268810277,1.2220844387618242,1.2119364714264287,1.2039045707227536,1.197270048016269,0.3216594825925596,0.27437038875090586,0.24481280494347726,0.22491658317328495,0.21057297312921272,0.20055795718528657,0.19221946995851186,0.18557008354832538,0.1800440051546918,-0.06512467369492009,0.4686705012554937,1.5978684163682075,0.9962963072558093,-0.08341784273919607,1.5656543399218759,0.9938051208804062,0.8761944056634164,0.8630543145282624,
Austin,1.3965836559136842,1.3828756291035995,1.3559568799763722,1.334054325329762,1.3146605064293353,1.2986850640774117,1.2859272567065165,1.275232209735718,1.2676232456597074,0.33402900859294254,0.32416512029724875,0.3045073895851372,0.28822267029975107,0.27357846228239785,0.26135226339588064,0.25148005866850454,0.24312828731050964,0.23714368699064534,-0.047778753193356886,0.45771045631128343,1.5804513270989389,0.9508889492843356,-0.06370149237109222,1.5607996943452125,0.9548137109584449,0.9780255573874237,0.9746563384430458,
Baltimore,1.3553895308629194,1.2950188214707048,1.2629159984496836,1.241973035714903,1.2277641503228947,1.219096781650074,1.2137406790089036,1.2113349779208948,1.2115601906349527,0.3040888896697702,0.2585252290000964,0.23342333161547002,0.21670127290113922,0.20519475128142473,0.19811024164624003,0.19370706109558145,0.19172303897217005,0.1919089427765354,-0.05240626379389417,0.4167008492272788,1.5169486486911155,0.9711166214726354,-0.06677749777566003,1.4975017789380616,0.9668746008649266,0.7948863295643657,0.7840443442916465,
Boston,1.3218966779948818,1.2591049144229887,1.224823473981425,1.2083036736912636,1.1981600358493794,1.1922530135207596,1.188835199103437,1.1867711870318272,1.1843400560567672,0.2790675825467887,0.23040108314155142,0.2027967307405677,0.18921745342659418,0.18078707662236335,0.17584480578432934,0.17297400347929107,0.17123633127651053,0.1691857047324636,-0.04943331573006407,0.3809741438412178,1.4637097590085093,0.9478763606659579,-0.061542425764180966,1.4475226442614617,0.9420555702758729,0.7437810253501699,0.7326607736467019,
Buffalo,1.2781328461764727,1.2378136642204387,1.2153632188052614,1.2012191507795758,1.1921182294652177,1.1856225230260624,1.1808396571201218,1.177150456163321,1.1744390850186677,0.2454002990479652,0.2133466493803375,0.1950429776359373,0.1833370000398891,0.1757317495175404,0.17026797253347792,0.16622575925956165,0.16309665032377993,0.1607906591644654,-0.038642556430378734,0.32985944747110196,1.3907726381143615,0.9858096910346998,-0.04720440673513639,1.3805812190606142,0.9830637211883927,0.8334018457887087,0.8249280870948131,
Charlotte,1.3850358656052615,1.3093507911063191,1.2727722820087417,1.2496185258545462,1.2362160989566715,1.2291117906328803,1.2247359431640967,1.2142402320640244,1.220600737841936,0.32572603504788394,0.2695314350648952,0.24119742062702107,0.22283832542116278,0.21205518109681729,0.2062917870923718,0.20272526416028977,0.19411855779219195,0.19934314561925612,-0.05849111285159391,0.4483052409431538,1.5656565251976475,0.9595293814410873,-0.07550988355102224,1.541462017737823,0.9534615157974943,0.7692114020391952,0.7561470852317962,
Chicago,1.3268247325815479,1.2746829975191114,1.2443638582661067,1.2250744060553518,1.2102128047420824,1.1997053834772908,1.1909479168044974,1.184717774513276,1.1800793381164683,0.2827886686929863,0.24269751830020153,0.21862444211757065,0.2030015817891351,0.1907962158327089,0.1820760128815911,0.17474955877421125,0.1695045812536151,0.16558167190927783,-0.05395435072206576,0.4042938771520226,1.498244182000701,0.9963439472541018,-0.06730312753816806,1.4769947603689606,0.9942675980925036,0.8756831895421475,0.8647260248451238,
Cincinnati,1.4218194575187977,1.3361363092522838,1.3079533981931,1.2926910343618965,1.278311142456642,1.2714840664035174,1.2667491733231422,1.264435337754819,1.2610486496962503,0.35193735955028294,0.2897820977934094,0.26846362410756724,0.25672611869300926,0.24553978677486332,0.24018477446334985,0.23645391277697855,0.23462564920890971,0.23194363648937702,-0.05215980198659542,0.4560354654284506,1.5778063013506993,0.9397582890551031,-0.06946238789345104,1.5588179561235538,0.9316801983430715,0.7331756685672985,0.7193213033450858,
Cleveland,1.2874615484699874,1.2240351976160513,1.1963456562532266,1.1805955763627878,1.1707432163655211,1.1653581060286888,1.1621016171922494,1.15916441938689,1.1569339520395503,0.252672487843749,0.20215293989894623,0.17927162401819682,0.1660190368775607,0.15763877480081195,0.15302842693300242,0.15023010485767463,0.14769941744257328,0.14577336105016275,-0.04741922240721592,0.34935778110505455,1.4181564891814447,0.9477113426768987,-0.05759139810458205,1.4037218094921298,0.9414671035806851,0.7438888144082312,0.7323875672403027,
Columbus,1.3211732291308345,1.2660300919887804,1.2318007117105125,1.2124553551766681,1.1995705003285038,1.1898957814338935,1.183542306862122,1.178899688874309,1.1759384342154522,0.27852015178821227,0.2358860927829265,0.20847709205153886,0.19264752267875992,0.18196357633368132,0.1738657246612259,0.16851189657601073,0.1645815364040506,0.16206649624842018,-0.05376311646580296,0.39654817622834543,1.4866840590802661,0.9847688351642744,-0.06673475483157676,1.4662883314376292,0.9811032169827749,0.8313822858755365,0.8199916556391144,
Dallas-Fort Worth,1.3489383096006093,1.3124304425407802,1.28073828241255,1.257963380365598,1.2440120064290328,1.2309440205397102,1.2193729675148768,1.2091550470584023,1.200252247682951,0.29931784571338826,0.27188071791989016,0.24743669479087166,0.22949404844724702,0.21834164574069612,0.2077813713833438,0.19833676556853055,0.189921807461705,0.18253174110614354,-0.054326703448374085,0.42959449342722866,1.5366342818912748,0.9942405913766719,-0.06912157532235151,1.5134571074495908,0.996010127691647,0.9411745045937889,0.9331817918516999,
Denver,1.359087374496782,1.3645121928036035,1.3624170687198283,1.3442031119981503,1.3352477307392645,1.3276568365990167,1.3202083793328145,1.3134913106716788,1.3104707921217478,0.3068134263302341,0.31079699685634626,0.3092603787081699,0.29580135568134935,0.28911684073378174,0.2834156114861744,0.27778958727012676,0.27268871472125494,0.27038645594939453,-0.01959269264473321,0.3636573574425954,1.438581210555843,0.7970269311819139,-0.02622592812196842,1.4351690538997273,0.7974963877191514,0.9403551923841077,0.9392087514993306,
Detroit,1.3076805956202735,1.2666607420839804,1.2404706690512513,1.2233122234408498,1.2124781174465198,1.2042531320189953,1.1988194858743704,1.1948231585674078,1.1919255954887613,0.26825503026419245,0.23638410075117103,0.21549087941331285,0.2015621172065799,0.19266629619985592,0.18585956732945733,0.1813373108113935,0.17799818997027284,0.17557014680297672,-0.04311540721357766,0.36450796544289565,1.439805399821403,0.990062779161688,-0.05366414451575775,1.4266132413624066,0.9879101277303985,0.8510107998971748,0.8423991860745105,
Grand Rapids,1.333044375428845,1.2972507514545506,1.2691423531186306,1.2540828830470812,1.2450835724358407,1.239950479766127,1.2359442356366064,1.2341094254813656,1.2333929873842566,0.2874653305365827,0.2602472185328794,0.23834135983928478,0.22640453496043156,0.2192026541182818,0.215071443147017,0.2118352412188435,0.2103495969823667,0.20976889796176512,-0.036725862527839596,0.3677693606324014,1.4445088399456139,0.9697916662849507,-0.04692918145554334,1.435034027926903,0.9673337565818991,0.7975284877550936,0.7905936123892732,
Hampton Roads,1.4488158168802765,1.377269846196501,1.33286134896737,1.3104065938842495,1.3018592631885946,1.3027672864567084,1.3090934331770356,1.3145741534748603,1.3216948690468169,0.3707465447557157,0.3201031672842923,0.28732802150866943,0.2703374660669575,0.2637934451548331,0.26449068392407094,0.2693348619030722,0.273512775521286,0.2789149046880002,-0.043442420956194196,0.4505525652534351,1.5691790197796083,0.7838420888256635,-0.059567665184181,1.5573726828055061,0.7831896176316377,0.5039881380652463,0.5023108339958778,
Hartford,1.3193656310596753,1.266832084369867,1.248188427496807,1.2353693886062498,1.2275720367568776,1.2235905996964451,1.220435517139151,1.219127930649105,1.2189440766417452,0.2771510385509344,0.23651936246129612,0.22169324212152308,0.21137002544445926,0.20503826471358122,0.20178965076791638,0.1992077763041138,0.1981357922026556,0.19798497302491314,-0.03513354458192535,0.3474161651398222,1.4154056453062391,0.9357522270585645,-0.04436119431443704,1.4074043190513592,0.9307160672598495,0.7221515796728786,0.7135366968489727,
Honolulu,1.3897112960764897,1.3789645464267373,1.4345760151247269,1.4385434202611773,1.4430980214790774,1.4504032271365455,1.4583947115917961,1.4620608998697906,1.4625638767711695,0.3290960249054343,0.3213328888553855,0.36086934571132956,0.3636310879551612,0.3667922064375966,0.37184160545364714,0.3773363182044554,0.37984701563772927,0.3801909755948185,0.027822190884242225,0.2575773247863527,1.2937918492908769,0.8567468728417352,0.03959708497540276,1.287868893983872,0.8600924088222739,0.7902346612257521,0.795774902642682,
Houston,1.3702791459157309,1.3591508074014103,1.3256758820161785,1.302189441127474,1.2854059986592492,1.2697550623600664,1.2582598860553782,1.2496789685528904,1.2429210709119736,0.31501447522743925,0.3068600984026538,0.2819224290164445,0.26404703330017115,0.2510746207087846,0.23882401758638008,0.22972972363164693,0.22288669317129353,0.21746431164837596,-0.04889210468408265,0.44077064163255075,1.5539042605230455,0.9573541311030445,-0.06391713818558177,1.5340160316921498,0.9600044391564769,0.9605271432265261,0.9559912597114093,
Indianapolis,1.3488678199601605,1.2928614336114883,1.2574853167659508,1.2352371312880448,1.2195803066681994,1.209091348599081,1.201210301472189,1.1955482791344592,1.1911732672424977,0.29926558870374437,0.25685792746653,0.22911394639551508,0.2112629607886621,0.1985067886321266,0.18986912593227084,0.18332963307443803,0.1786048911530737,0.17493876026419566,-0.0576797931413137,0.428385563331107,1.5347777209135003,0.9918422751617623,-0.0728425151676889,1.5103452581317625,0.9890586861234018,0.8572803167189864,0.8456797215595255,
Inland Empire,1.3681548557259369,1.3832293494151615,1.358982264831871,1.3487422082338905,1.3428497354800004,1.3357289838271622,1.3290744574755469,1.3211799054302493,1.3180757902251596,0.31346301142394806,0.3244208736516854,0.3067360849233456,0.2991724605458209,0.2947940240735164,0.28947719811951333,0.28448280335027887,0.2785252050865981,0.27617293839148693,-0.020456791805358126,0.3725622726453151,1.4514488618891073,0.8200637375547198,-0.02758177970291225,1.4478554765594243,0.8191781323782757,0.917890659636424,0.9147423142731304,
Jacksonville,1.42088741554895,1.397487189060593,1.3650878893320424,1.344463241042361,1.3281521441278763,1.3149776646779339,1.306838911298739,1.3007096204396755,1.296550152689823,0.35128161694658633,0.3346757589643791,0.3112188143531604,0.2959948561093426,0.28378861085337037,0.2738196804496888,0.26761117631826964,0.2629099774157641,0.2597070083874932,-0.0451746481218452,0.4617213104052014,1.5868030161084654,0.9839428889112181,-0.06126592698838987,1.5699000164064425,0.9851324048783268,0.9270510253622514,0.9213476485436738,
Kansas City,1.3468144074036565,1.3100545868250937,1.2891952834704137,1.2721274780071143,1.260951367742545,1.2505370553354251,1.243083879274174,1.236981758474198,1.2336222029544657,0.29774210575547694,0.27006880567705027,0.25401821245913486,0.24069067845543826,0.23186648981762378,0.2235731033118793,0.21759529156651417,0.21267434671649196,0.20995472216890115,-0.040876493552504924,0.3920635574165696,1.4800317754091101,0.9989923834109689,-0.052580720884722446,1.4673490659804447,0.9987555368686772,0.9056078015809877,0.8982873517067701,
