1.3333333333333333,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],80 min Distance [m],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,60.37546801014345,63.99799609075206,80500.6240135246,1.195563923486137,50.49957331774868,67.3327644236649,14243.042273324225,964.6739130434783,2944,2840000,13739891.323451359,2840000,.,503.32235054347825,1481781,7168841.515899675,1481781
Austin,63.478689145973746,67.92219738619193,84638.25219463166,1.2690969416879858,50.01878663543444,66.69171551391258,13973.128423728938,932.8621908127209,707.5,660000,13035003.19386728,660000,.,571.0473498233216,404016,7979317.955111338,404016
Baltimore2,60.37745029626894,64.60387181700777,80503.26706169192,1.2040907518677497,50.143604377504964,66.85813917000661,14042.953006791025,1296.8393613554904,1534.5,1990000,18211454.208872035,1990000,.,776.6783968719452,1191813,10906858.228662517,1191813
Boston,61.541690600746875,67.69585966082157,82055.5874676625,1.1828891685044345,52.02659068943547,69.36878758591396,15117.433984947636,1563.9892556970801,2308.2,3610000,23643504.326167997,3610000,.,927.8732345550646,2141717,14027062.369786024,2141717
Buffalo,73.27659816495958,76.20766209155798,97702.13088661277,1.158387437968984,63.257417823380756,84.34322376450767,22348.597086558435,1440.1622718052738,739.5,1065000,32185606.35183872,1065000,.,718.2177146720758,531122,16051158.32563501,531122
Charlotte,66.90817657705539,71.59174893744927,89210.90210274051,1.217383629587133,54.96063438913403,73.2808458521787,16870.61131902801,862.4820316243412,626.1,540000,14550599.125179883,540000,.,966.0693180003194,604856,16298179.971221857,604856
Chicago,59.830534500000006,64.61697726000001,79774.046,1.1760459405189148,50.874317438314165,67.83242325108554,14455.214380170639,1830.0112091232515,4103.8,7510000,26453204.345991883,7510000,.,936.0439105219552,3841337,13530715.395848125,3841337
Cincinnati,67.51882116890982,74.2707032858008,90025.09489187977,1.2694061423644654,53.189297668865514,70.91906355848735,15800.682901531844,860.24750980984,1325.2,1140000,13592498.119337687,1140000,.,613.3157259281618,812766,9690807.303913696,812766
Cleveland,70.27014784368207,77.29716262805029,93693.53045824275,1.153029011882468,60.94395467895212,81.25860623860282,20743.814045498362,1068.6095931997572,1647,1760000,22167038.688571416,1760000,.,754.1584699453551,1242099,15644123.061384013,1242099
Columbus,67.72593293272408,77.20756354330544,90301.24391029877,1.1744125033260115,57.66792565722852,76.89056754297135,18573.59646588729,973.9169371991493,893.3,870000,18089140.182829894,870000,.,758.8257024515841,677859,14094122.385279184,677859
Dallas-Fort Worth,66.03146949483623,76.59650461401002,88041.95932644831,1.20062304078927,54.99766975272124,73.33022633696164,16893.35558847576,869.5652173913044,3737.5,3250000,14689874.42476153,3250000,.,528.8577926421405,1976606,8934182.746840058,1976606
Denver,65.00214079321759,76.05250472806458,86669.52105762345,1.3213862630598945,49.1923842485649,65.5898456647532,13515.219102689674,1329.5186805789297,1188.4,1580000,17968736.269143123,1580000,.,811.9421070346684,964912,10973575.475273054,964912
Detroit,59.74012668400049,69.89594822028057,79653.50224533398,1.1834504180945258,50.47961939984617,67.30615919979489,14231.78877834936,1369.2488100986411,2899.4,3970000,19486859.850330055,3970000,.,717.3484169138442,2079880,10209151.150001125,2079880
Grand Rapids,70.9393812037455,83.70846982041968,94585.84160499398,1.2239079252730434,57.96137089962836,77.28182786617114,18763.10217675119,1190.58976132826,578.2,688399,22339157.342395954,688399,.,583.4226911103424,337335,10946819.565538501,337335
Hampton Roads,64.89864925681238,85.66621701899234,86531.5323424165,1.366151779003018,47.50471379115264,63.33961838820352,12603.778367244278,770.8418174413869,1718.9,1325000,9715519.423235016,1325000,.,406.65483739600904,698999,5125387.442507058,698999
Hartford,70.55011752171079,84.66014102605294,94066.82336228104,1.2093125584058166,58.33902660757438,77.78536881009917,19008.40615873797,1320.2112337974077,624.9,825000,25095111.347349696,825000,.,899.2942870859338,561969,17094151.065162133,561969
Honolulu,61.85177096411715,73.60360744729941,82469.02795215619,1.4777791774280755,41.85454221365053,55.806056284867374,9783.91200916579,2328.0373051224947,359.2,836231,22777312.147373937,836231,.,1218.034521158129,437518,11917142.57913752,437518
Houston,61.86592987183512,73.62045654748378,82487.90649578015,1.244994902024373,49.69171341283451,66.25561788377934,13790.985111366368,951.0379431344899,3049.3,2900000,13115750.114112245,2900000,.,577.114747647001,1759796,7958980.892349749,1759796
Indianapolis,66.18181659192213,78.0945435784681,88242.42212256283,1.171319986899658,56.50191009469357,75.33588012625809,17830.092877231353,778.1620553359684,1214.4,945000,13874701.72017756,945000,.,514.6335638998682,624971,9175964.242075227,624971
Inland Empire2,65.10221093956217,72.91447625230963,86802.94791941623,1.3018012430142005,50.00933229163618,66.67910972218156,13967.846637272109,1078.3820073850286,1191.6,1285000,15062674.495547717,1285000,.,643.6329305135952,766953,8990166.064111913,766953
Jacksonville,55.540281389808555,57.20648983150281,74053.70851974473,1.314330996776968,42.25745381186754,56.34327174915672,9973.187793376743,547.5701574264202,1314.9,720000,5461020.010062556,720000,.,337.5785230816031,443882,3366734.005703593,443882
Kansas City,63.2199184408059,65.11651599403008,84293.22458774119,1.2355926103504966,51.165665698561035,68.22088759808138,14621.253397020799,587.9073539100907,1973.1,1160000,8595942.395491423,1160000,.,390.9122700319295,771309,5715627.356141461,771309
Las Vegas,58.291697709553844,60.04044864084045,77722.26361273846,1.3260391661883868,43.95925791325571,58.612343884340945,10792.648939695988,1175.4827875734677,595.5,700000,12686573.06093567,700000,.,623.2208228379513,371128,6726203.552798477,371128
Los Angeles2,48.11622779676405,49.559714630666974,64154.9703956854,1.245014327058268,38.64712778884524,51.52950371846032,8341.838782656168,2243.04205212814,5091.3,11420000,18711095.181571197,11420000,.,1186.7479818513934,6042090,9899660.340246892,6042090
Louisville,62.48721285155351,64.98670136561566,83316.28380207134,1.2926419494509371,48.34069703377303,64.45426271169737,13051.281666161627,1106.8597977589507,731.8,810000,14445938.985502759,810000,.,610.6531839300355,446876,7969806.703809297,446876
Memphis,65.30803220505597,67.9203534932582,87077.37627340795,1.2476866201392505,52.34329770865631,69.79106361154174,15302.046123750904,973.6216460998529,883.3,860000,14898403.33570223,860000,.,507.457262538209,448237,7765134.437192046,448237
Milwaukee,64.48552107198695,67.06494191486644,85980.69476264926,1.1684578197240036,55.1885741902252,73.58476558696692,17010.837430799864,927.6018099547512,1326,1230000,15779283.589655982,1230000,.,582.7692307692307,772752,9913392.644287674,772752
Minneapolis-St.Paul,63.564185114523426,66.10675251910436,84752.24681936456,1.2155297767685767,52.2934002353324,69.72453364710987,15272.885962140497,730.0860847771603,2753.1,2010000,11150521.515347209,2010000,.,474.96422214957687,1307624,7254074.4009872535,1307624
Nashville,63.73443651931945,66.28381398009223,84979.24869242593,1.2583035105280034,50.651083769587125,67.53477835944949,14328.635351986828,451.2058776553266,1252.2,565000,6465164.489596357,565000,.,395.8768567321514,495717,5672375.12440573,495717
New Orleans,62.63669301231881,65.14216073281156,83515.59068309174,1.2934036196515124,48.42780092821705,64.57040123762273,13098.357597288812,1501.072194424589,699.5,1050000,19661580.381920304,1050000,.,735.8484631879915,514726,9638406.308251726,514726
New York,59.42988867805861,62.40138311196155,79239.85157074481,1.226367172907711,48.46011047176892,64.61348062902522,13115.841072516509,2072.731059077716,7683.1,15925000,27185611.15693215,15925000,.,1112.89362366753,8550473,14596535.89864032,8550473
Oklahoma City,69.71442539828774,72.50300241421925,92952.56719771698,1.245360273422985,55.97932332197442,74.63909776263256,17501.796697584046,411.8665313675163,1675.3,690000,7208404.298533393,690000,.,268.6814301916075,450122,4702407.767629635,450122
Orlando,58.78311324728174,61.72226890964583,78377.48432970898,1.292992644022242,45.46283655908452,60.617115412112696,11543.576999565099,841.4049505919186,1022.1,860000,9712822.83497308,860000,.,545.3947754622835,557448,6295806.585709387,557448
Philadelphia,63.17625705355521,66.96683247676853,84235.00940474028,1.1537358360102858,54.7579914584468,73.01065527792906,16746.434890918696,1518.9201737803867,3015.3,4580000,25436497.794716157,4580000,.,926.9117500746194,2794917,15522467.272252116,2794917
Phoenix,62.02920484038443,65.13066508240365,82705.6064538459,1.2498088103824545,49.630955010953116,66.17460668127082,13757.281063185177,987.2876940710638,1919.4,1895000,13582394.297559606,1895000,.,519.1700531416067,996495,7142368.3406578675,996495
Pittsburgh,65.42916793409438,68.70062633079911,87238.8905787925,1.2360973278953262,52.932051916574466,70.57606922209928,15648.215035226875,883.2870186581977,2015.2,1780000,13821865.205787929,1780000,.,474.4710202461294,956154,7424624.552794917,956154
Portland,65.14077091573358,68.39780946152027,86854.36122097811,1.4067225747834864,46.30676444910229,61.74235259880305,11976.122231509398,1184.1974325803562,1004.9,1190000,14182093.198821956,1190000,.,720.9991043884963,724532,8634773.402965436,724532
Providence,70.3388720650424,75.26259310959537,93785.16275338986,1.2777037231788928,55.051003443929204,73.40133792523893,16926.135954521542,1415.4601861427093,773.6,1095000,23958271.548863865,1095000,.,704.0692864529473,544668,11917172.463905558,544668
Raleigh,68.77871409522666,74.2810112228448,91704.95212696887,1.1824888896863308,58.164363906599604,77.55248520879947,18894.757037449916,1097.213078779899,455.7,500000,20731574.541858584,500000,.,877.1143296028089,399701,16572862.151910838,399701
Rochester,70.51493653768364,78.27157955682884,94019.91538357818,1.1915082714674636,59.18123963238402,78.90831950984536,19561.19856193431,1079.136690647482,569.9,615000,21109207.081224076,615000,.,844.8271626601158,481467,16525831.879310101,481467
Sacramento,61.557786724694,68.32914326441035,82077.04896625866,1.4240532472781748,43.227166429591584,57.63622190612211,10436.163687651475,1272.1174973979414,864.7,1100000,13276026.432770466,1100000,.,793.2751243205736,685945,8278749.046751579,685945
Salt Lake City,65.14395936703976,73.61267408475491,86858.61248938633,1.3585092754758687,47.952531898776066,63.936709198368085,12842.52535202865,1215.620726333384,658.1,800000,15611639.996387966,800000,.,728.3665096489894,479338,9354065.365735767,479338
San Antonio,68.13115721225047,77.66951922196553,90841.54294966729,1.2672119287543748,53.7646116377874,71.68614885038319,16144.34285598065,1031.2913177611283,1134.5,1170000,16649520.618331743,1170000,.,501.6738651388277,569149,8099194.880686234,569149
San Diego,59.33004339689815,68.22954990643287,79106.72452919753,1.4158730357637557,41.90350539792158,55.8713405305621,9806.8166531266,1283.9160839160838,1787.5,2295000,12591129.63296534,2295000,.,688.3613986013986,1230446,6750634.027173713,1230446
San Francisco1,53.93632527694484,62.02677406848657,71915.10036925979,1.3613612725155106,39.61940622659392,52.82587496879189,8766.843844137373,1623.3049162948894,2263.9,3675000,14231260.712577784,3675000,.,870.3507222050443,1970387,7630228.87120381,1970387
San Jose1,57.58663731743308,66.80049928822237,76782.18308991077,1.3870483808267393,41.51739630243396,55.35652840324528,9626.924484180056,1608.4873374401095,876.6,1410000,15484786.131295778,1410000,.,1079.5836185261237,946363,10393069.969908841,946363
Seattle,57.751551670614234,67.56931545461865,77002.0688941523,1.4027150253194258,41.17126474599719,54.895019661329584,9467.073799516871,1477.6384054639784,1522.7,2250000,13988911.833527917,2250000,.,859.2224338346358,1308338,8134322.1913129985,1308338
South Florida,57.26708654428858,59.557770006060125,76356.11539238476,1.214361845814369,47.15817344037553,62.87756458716737,12420.56341954337,4280.709437267353,913.4,3910000,53168823.046216965,3910000,.,1616.0335012042917,1476085,20072046.589814622,1476085
St. Louis,65.02916552345445,79.98587359384898,86705.5540312726,1.3101513878193871,49.6348484060982,66.1797978747976,13759.439580271812,1039.2364793213148,1886,1960000,14299311.546836028,1960000,.,606.7529162248144,1144336,8348580.090949058,1144336
Tampa Bay,57.77265252370572,71.06036260415804,77030.20336494096,1.2457713004690596,46.37500679454815,61.83334239273086,12011.44669835701,1022.1667558091162,1682.7,1720000,12277701.504233705,1720000,.,543.5971949842515,914711,6529388.732929719,914711
Washington2,57.16639723788157,76.03130832638249,76221.86298384209,1.2766240742806114,44.779350781157184,59.70580104154291,11199.095072887612,1267.0644976702363,2446.6,3100000,14189975.77288956,3100000,.,905.0723452955122,2214350,10135991.242805805,2214350
,,,,,,,,,,,,,,,,,
