0.5,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],30 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E",,,,,Accessibility Ratio
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E,,,,,R=A_E/A_P
Atlanta,66.68239716375706,79.77374908056166,39886.87454028083,1.2678601947095567,52.59444017724112,26.29722008862056,2172.548872673262,659.0477708935927,6851.428985,4515419,1431813.491692701,1431813.491692701,.,292.35463206074525,2003047,635154.7263043784,635154.7263043784,,,,,0.44360157938831374
Austin,67.1321892285672,79.51902759368085,39759.51379684042,1.3315156958904781,50.41787298171591,25.208936490857955,1996.4522202530036,1005.7320851324054,1354.651025,1362416,2007896.0543422734,1362416,.,472.8620051795259,640563,944046.4001139518,640563,,,,,0.4701669680919778
Baltimore2,64.33133072826236,77.15231995448468,38576.15997724234,1.2716628995034032,50.58835226960256,25.29417613480128,2009.9763598574993,1186.6066340855928,1857.113332,2203663,2385051.2829621197,2203663,.,570.5683017518718,1059610,1146828.7982053026,1059610,,,,,0.48084030997480104
Boston,59.08384417630565,71.20194964854586,35600.97482427293,1.225852846145757,48.19815393183043,24.099076965915216,1824.5286615878906,861.6700182833223,4852.227548,4181019,1572141.6451888832,1572141.6451888832,.,598.2297761770178,2902747,1091487.3728502777,1091487.3728502777,,,,,0.6942678327938716
Buffalo,61.52546201403905,70.65055677780813,35325.278388904066,1.2021720891550782,51.17858131050185,25.589290655250924,2057.151928548103,951.109255078426,984.015238,935906,1956576.2383445338,935906,.,463.10664957405874,455704,952680.7372947255,455704,,,,,0.48691214716007797
Charlotte,64.0526815140792,75.74245959811465,37871.22979905733,1.240603054702388,51.63027873524379,25.815139367621896,2093.624639056775,650.5968834128471,1920.454942,1249442,1362105.6652066847,1249442,.,378.7560874729442,727384,792973.0769260991,727384,,,,,0.5821670793842371
Chicago,62.25587188398059,73.23267635618011,36616.33817809005,1.237014203266307,50.32753198758383,25.163765993791916,1989.3039659619712,1360.6187423043561,6326.686332,8608208,2706684.260228245,2706684.260228245,.,600.2782184397379,3797772,1194135.840622757,1194135.840622757,,,,,0.4411803246389957
Cincinnati,63.81626979604995,74.14207195492925,37071.03597746463,1.3006549921101749,49.064717533213646,24.532358766606823,1890.725524955932,796.3910638802463,2040.237609,1624827,1505756.912325192,1505756.912325192,.,428.64958284375984,874547,810458.7075444091,810458.7075444091,,,,,0.5382400710967998
Cleveland,60.599390167439914,69.65395403984837,34826.97701992418,1.1941029193577641,50.74888368921555,25.374441844607777,2022.7530682274157,890.6045978114746,1999.397942,1780673,1801473.1828006038,1780673,.,435.21001083435146,870158,880322.3847384712,870158,,,,,0.4886680485411976
Columbus,64.04641174171243,74.901794999095,37450.8974995475,1.2132024431612698,52.79119911333611,26.395599556668056,2188.8345483359803,1034.7499169004755,1322.092399,1368035,2264896.3669995456,1368035,.,567.5314377176145,750329,1242232.4181431043,750329,,,,,0.5484720785652413
Dallas-Fort Worth,65.99143770414402,78.09733145840165,39048.665729200824,1.2867507208792124,51.28533183105841,25.642665915529204,2065.742673401538,1111.5370303722236,4607.936452,5121892,2296149.4767059237,2296149.4767059237,.,544.773137856633,2510280,1125361.1181933056,1125361.1181933056,,,,,0.4901079522957532
