Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
Atlanta,52580.963568120555,231186.95072177993,551847.686264923,1020888.561686815,1641561.1498711521,2129188,2129188,2129188,2129188,,52580.963568120555,178605.98715365937,320660.735543143,469040.87542189204,620672.5881843371,487626.8501288479,0,0,0,,2129188,,123275.96288275224,36,Atlanta,50,49,41,22,12,8,Atlanta
Austin,89209.57912733243,363947.84006762196,580485,580485,580485,580485,580485,580485,580485,,89209.57912733243,274738.26094028953,216537.15993237804,0,0,0,0,0,0,,580485,,115196.9539825366,41,Austin,29,30,38,40,40,40,Austin
Baltimore,94681.74420835687,414860.736443047,981494.9809613319,1063684,1063684,1063684,1063684,1063684,1063684,,94681.74420835687,320178.9922346901,566634.2445182849,82189.01903866814,0,0,0,0,0,,1063684,,161940.37819840183,17,Baltimore,24,21,9,19,20,20,Baltimore
Boston,124140.88736123685,547325.9266578763,1301383.7363969537,2377265.340655757,3075331,3075331,3075331,3075331,3075331,,124140.88736123685,423185.0392966395,754057.8097390773,1075881.6042588034,698065.6593442429,0,0,0,0,,3075331,,266267.08733201097,4,Boston,9,7,3,2,3,4,Boston
Buffalo,96550.57000495106,411771.49555091717,475627,475627,475627,475627,475627,475627,475627,,96550.57000495106,315220.92554596614,63855.50444908283,0,0,0,0,0,0,,475627,,112817.81554191878,43,Buffalo,23,22,48,48,48,48,Buffalo
Charlotte,98201.54804815393,439529.8094103934,811507,811507,811507,811507,811507,811507,811507,,98201.54804815393,341328.2613622395,371977.1905896066,0,0,0,0,0,0,,811507,,146782.7967220252,25,Charlotte,22,20,19,30,30,30,Charlotte
Chicago,85239.52921886185,369422.8585690554,872199.6156095933,1599790.8489152843,2561442.908431947,3753370.571318584,4189789,4189789,4189789,,85239.52921886185,284183.32935019356,502776.75704053795,727591.2333056909,961652.059516663,1191927.6628866368,436418.428681416,0,0,,4189788.9999999995,,199981.66555639353,7,Chicago,32,29,15,7,5,3,Chicago
Cincinnati,82680.07947952388,374496.9207913721,879321.6380284078,934953,934953,934953,934953,934953,934953,,82680.07947952388,291816.8413118482,504824.71723703574,55631.36197159218,0,0,0,0,0,,934953,,144131.68066065572,27,Cincinnati,34,28,13,24,24,24,Cincinnati
Cleveland,133427.35195916644,590453.3352262585,1077676,1077676,1077676,1077676,1077676,1077676,1077676,,133427.35195916644,457025.98326709203,487222.6647737415,0,0,0,0,0,0,,1077676,,196424.5714399131,8,Cleveland,6,5,6,18,19,19,Cleveland
Columbus,138768.7791343044,604481.8034068967,773508,773508,773508,773508,773508,773508,773508,,138768.7791343044,465713.0242725923,169026.19659310335,0,0,0,0,0,0,,773508,,171712.38037284554,13,Columbus,5,3,25,32,32,32,Columbus
Dallas-Fort Worth,111074.56801153076,469360.146319948,1108971.8888532596,2043538.3638478455,2601083,2601083,2601083,2601083,2601083,,111074.56801153076,358285.5783084172,639611.7425333116,934566.4749945858,557544.6361521545,0,0,0,0,,2601083,,228576.6749802421,5,Dallas-Fort Worth,17,16,5,5,4,5,Dallas-Fort Worth
Denver,102263.62953218924,405808.47111230565,915879.4532682981,1080509,1080509,1080509,1080509,1080509,1080509,,102263.62953218924,303544.8415801164,510070.9821559924,164629.54673170194,0,0,0,0,0,,1080509,,160217.91599308638,19,Denver,20,23,11,17,18,18,Denver
Detroit,77850.85708157854,331899.14006039227,778639.204648011,1423351.3221273944,1953268,1953268,1953268,1953268,1953268,,77850.85708157854,254048.28297881375,446740.06458761875,644712.1174793834,529916.6778726056,0,0,0,0,,1953268,,162785.102368867,15,Detroit,37,37,23,12,9,10,Detroit
Grand Rapids,126383.4518733748,530965,530965,530965,530965,530965,530965,530965,530965,,126383.4518733748,404581.5481266252,0,0,0,0,0,0,0,,530965,,138471.35132347493,30,Grand Rapids,8,9,45,45,45,45,Grand Rapids
Hampton Roads,51946.88229089464,229936.41591445918,552406.0236177419,573634,573634,573634,573634,573634,573634,,51946.88229089464,177989.53362356455,322469.60770328273,21227.976382258115,0,0,0,0,0,,573634,,89395.78779920038,50,Hampton Roads,51,50,40,41,41,41,Hampton Roads
Hartford,110120.32659047557,477770.91454579815,567921,567921,567921,567921,567921,567921,567921,,110120.32659047557,367650.5879553226,90150.08545420185,0,0,0,0,0,0,,567921,,131885.85706328676,31,Hartford,18,13,39,42,42,42,Hartford
Honolulu,123730.87772243061,320461,320461,320461,320461,320461,320461,320461,320461,,123730.87772243061,196730.12227756938,0,0,0,0,0,0,0,,320461,,95314.99378883839,49,Honolulu,10,41,51,51,51,51,Honolulu
