0.16666666666666666,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],10 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E",,,,,Accessibility Ratio
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E,,,,,R=A_E/A_P
"Atlanta-Sandy Springs-Marietta, GA",66.68239716375706,79.77374908056166,13295.624846760276,1.3810679080102386,48.28321386442838,8.047202310738063,203.44157640318264,659.0477708935927,6851.428985,4515419,134077.71743559605,134077.71743559605,.,292.35463206074525,2003047,59477.08721521045,59477.08721521045,,,,,0.4436015793883137
"Austin-Round Rock, TX",67.1321892285672,79.51902759368085,13253.171265613475,1.4404458654112589,46.60514555984401,7.767524259974001,189.5462118774653,1005.7320851324054,1354.651025,1362416,190632.70690047188,190632.70690047188,.,472.8620051795259,640563,89629.20182256152,89629.20182256152,,,,,0.4701669680919778
"Baltimore-Towson, MD",64.33133072826236,77.15231995448468,12858.719992414113,1.3822949804670155,46.539509755383534,7.756584959230588,189.0126975039142,1186.6066340855928,1857.113332,2203663,224283.72078455795,224283.72078455795,.,570.5683017518718,1059610,107844.65382434858,107844.65382434858,,Boston Big,Boston Small,,0.4808403099748011
"Boston-Cambridge-Quincy, MA-NH",59.08384417630565,71.20194964854586,11866.991608090977,1.3221707933341669,44.68699843785819,7.4478330729763655,174.26482773737138,861.6700182833223,4852.227548,4181019,150158.7773026008,150158.7773026008,.,598.2297761770178,2902747,104250.40889285425,104250.40889285425,,2902747,2224822,,0.6942678327938716
"Buffalo-Niagara Falls, NY",61.52546201403905,70.65055677780813,11775.092796301355,1.2726128167623416,48.345782160646614,8.057630360107769,203.969181725769,951.109255078426,984.015238,935906,193996.97649015227,193996.97649015227,.,463.10664957405874,455704,94459.4843653832,94459.4843653832,,,,,0.48691214716007797
"Charlotte-Gastonia-Concord, NC-SC",64.0526815140792,75.74245959811465,12623.743266352441,1.3548292070349812,47.27731080898183,7.879551801496971,195.05312051987357,650.5968834128471,1920.454942,1249442,126900.9523101802,126900.9523101802,.,378.7560874729442,727384,73877.55677749596,73877.55677749596,,,,,0.5821670793842371
"Chicago-Naperville-Joliet, IL-IN-WI",62.25587188398059,73.23267635618011,12205.44605936335,1.3236002256090809,47.035253303415175,7.839208883902529,193.06090885902782,1360.6187423043561,6326.686332,8608208,262682.29099990637,262682.29099990637,.,600.2782184397379,3797772,115890.25842025383,115890.25842025383,,,,,0.4411803246389957
"Cincinnati-Middletown, OH-KY-IN",63.81626979604995,74.14207195492925,12357.011992488207,1.4101242469920043,45.2557779445174,7.542629657419566,178.72917122070297,796.3910638802463,2040.237609,1624827,142338.31481489033,142338.31481489033,.,428.64958284375984,874547,76612.18468576526,76612.18468576526,,,,,0.5382400710967999
"Cleveland-Elyria-Mentor, OH",60.599390167439914,69.65395403984837,11608.992339974728,1.2785144324718047,47.39828399925108,7.899713999875179,196.05260153243015,890.6045978114746,1999.397942,1780673,174605.34833768324,174605.34833768324,.,435.21001083435146,870158,85324.05483703171,85324.05483703171,,,,,0.4886680485411976
