0.5,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],30 min Distance [m],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,52.31679,68.53499,26158.395,1.277382171194746,40.95625505017631,20.478127525088155,1317.4385249587888,757.4179384746532,5083.058909,3850000,997851.5716413737,997851.5716413737,.,418.87926898310906,2129188,551847.686264923,551847.686264923
Austin,53.19888,67.56258,26599.440000000002,1.3559568799763722,39.23345999094529,19.616729995472646,1208.9354192822184,1165.1270412957495,823.944485,960000,1408563.3481859274,960000,.,704.5195526735032,580485,851718.6408038625,580485
Baltimore2,57.5626,71.37762,28781.300000000003,1.2629159984496836,45.579120124111235,22.789560062055617,1631.6302771763803,1249.8156960132164,1768.260718,2210000,2039237.130505435,2039237.130505435,.,601.542515293268,1063684,981494.9809613319,981494.9809613319
Boston,60.28802,74.15427,30144.010000000002,1.224823473981425,49.22180320730389,24.610901603651946,1902.851604787768,876.2031495148894,4496.67409,3940000,1667284.5691745041,1667284.5691745041,.,683.9123624367448,3075331,1301383.7363969537,1301383.7363969537
Buffalo,60.07548,64.28076,30037.739999999998,1.2153632188052614,49.43006261046472,24.71503130523236,1918.9877504022083,1174.0141455753533,949.73302,1115000,2252918.764158018,1115000,.,500.80074082293146,475627,961030.4870315567,475627
Charlotte,54.73937,66.78204,27369.685,1.2727722820087417,43.007984046924776,21.503992023462388,1452.740530585135,767.9222461130181,1126.416124,865000,1115591.7712663545,865000,.,720.4326915334532,811507,1046601.7705491857,811507
Chicago,47.50277,64.12874,23751.385,1.2443638582661067,38.17434079626053,19.087170398130265,1144.54526742818,1482.3418622036777,5498.056965,8150000,1696607.3630958947,1696607.3630958947,.,762.0490341718386,4189789,872199.6156095933,872199.6156095933
Cincinnati,59.70134,70.44758,29850.670000000002,1.3079533981931,45.644852547862705,22.822426273931352,1636.3398173825117,885.1262145409509,1739.864863,1540000,1448367.2682624133,1448367.2682624133,.,537.3710452361724,934953,879321.6380284078,879321.6380284078
Cleveland,62.77554,69.05309,31387.77,1.1963456562532266,52.472744538232774,26.236372269116387,2162.5066003957254,1065.2097286959158,1675.72634,1785000,2303523.069110658,1785000,.,643.1097812784873,1077676,1390729.1467937801,1077676
