1,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],60 min Distance [m],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,60.37546801014345,63.99799609075206,60375.46801014345,1.212235646666648,49.80505908744826,49.80505908744826,7792.858526775249,964.6739130434783,2944,2840000,7517567.328818514,2840000,.,503.32235054347825,1481781,3922319.8711493053,1481781
Austin,63.478689145973746,67.92219738619193,63478.689145973745,1.2888700542866616,49.25142680974668,49.25142680974668,7620.570859037801,932.8621908127209,707.5,660000,7108942.426805581,660000,.,571.0473498233216,404016,4351706.793194369,404016
Baltimore2,60.37745029626894,64.60387181700777,60377.45029626894,1.2143662823884371,49.71930724024838,49.71930724024838,7766.046923917683,1296.8393613554904,1534.5,1990000,10071315.333070178,1990000,.,776.6783968719452,1191813,6031720.8749006875,1191813
Boston,61.541690600746875,67.69585966082157,61541.69060074688,1.1905977100287723,51.68974380041403,51.68974380041403,8393.80028746496,1563.9892556970801,2308.2,3610000,13127813.464062259,3610000,.,927.8732345550646,2141717,7788382.622939343,2141717
Buffalo,73.27659816495958,76.20766209155798,73276.59816495958,1.1661290473210653,62.83746926062519,62.83746926062519,12404.727953690204,1440.1622718052738,739.5,1065000,17864821.19091287,1065000,.,718.2177146720758,531122,8909295.362028193,531122
Charlotte,66.90817657705539,71.59174893744927,66908.17657705539,1.2193290088717623,54.872947408152875,54.872947408152875,9459.46226602384,862.4820316243412,626.1,540000,8158616.233274036,540000,.,966.0693180003194,604856,9138496.259987406,604856
Chicago,59.830534500000006,64.61697726000001,59830.53450000001,1.188805486796232,50.328279238717286,50.328279238717286,7957.45215927034,1830.0112091232515,4103.8,7510000,14562226.647526745,7510000,.,936.0439105219552,3841337,7448524.636954786,3841337
Cincinnati,67.51882116890982,74.2707032858008,67518.82116890982,1.2773637699667473,52.85794286358028,52.85794286358028,8777.490882442453,860.24750980984,1325.2,1140000,7550814.673999695,1140000,.,613.3157259281618,812766,5383373.192393014,812766
Cleveland,70.27014784368207,77.29716262805029,70270.14784368206,1.1600264575735515,60.576332018036396,60.576332018036396,11528.049111992184,1068.6095931997572,1647,1760000,12318983.87195279,1760000,.,754.1584699453551,1242099,8693975.879754936,1242099
Columbus,67.72593293272408,77.20756354330544,67725.93293272408,1.1841867800130694,57.19193464731688,57.19193464731688,10275.890038848343,973.9169371991493,893.3,870000,10007863.353630425,870000,.,758.8257024515841,677859,7797609.47704433,677859
Dallas-Fort Worth,66.03146949483623,76.59650461401002,66031.46949483623,1.2187551799905612,54.17943700173453,54.17943700173453,9221.866870104144,869.5652173913044,3737.5,3250000,8019014.6696557775,3250000,.,528.8577926421405,1976606,4877056.156962962,1976606
Denver,65.00214079321759,76.05250472806458,65002.14079321759,1.3233890487857078,49.11793765624789,49.11793765624789,7579.317841890862,1329.5186805789297,1188.4,1580000,10076844.65683908,1580000,.,811.9421070346684,964912,6153967.298430323,964912
Detroit,59.74012668400049,69.89594822028057,59740.12668400049,1.1890981300925036,50.239862608608355,50.239862608608355,7929.517443496783,1369.2488100986411,2899.4,3970000,10857482.324164389,3970000,.,717.3484169138442,2079880,5688226.78498313,2079880
Grand Rapids,70.9393812037455,83.70846982041968,70939.38120374549,1.2279984552443621,57.768298405252565,57.768298405252565,10484.048549819265,1190.58976132826,578.2,688399,12482200.860683208,688399,.,583.4226911103424,337335,6116631.818667038,337335
Hampton Roads,64.89864925681238,85.66621701899234,64898.64925681238,1.346740351144762,48.18942953751029,48.18942953751029,7295.472807934811,770.8418174413869,1718.9,1325000,5623655.518362687,1325000,.,406.65483739600904,698999,2966739.308437736,698999
Hartford,70.55011752171079,84.66014102605294,70550.1175217108,1.2117954649668699,58.21949294358814,58.21949294358814,10648.457700278344,1320.2112337974077,624.9,825000,14058213.478523979,825000,.,899.2942870859338,561969,9576097.176136537,561969
Honolulu,61.85177096411715,73.60360744729941,61851.77096411715,1.4692986717859429,42.09611847599092,42.09611847599092,5567.163533593397,2328.0373051224947,359.2,836231,12960564.389922997,836231,.,1218.034521158129,437518,6780997.368849431,437518
Houston,61.86592987183512,73.62045654748378,61865.92987183512,1.2594130920664293,49.1228257523719,49.1228257523719,7580.826467025303,951.0379431344899,3049.3,2900000,7209653.610459246,2900000,.,577.114747647001,1759796,4375006.753473014,1759796
Indianapolis,66.18181659192213,78.0945435784681,66181.81659192214,1.1812621353923214,56.02635910270821,56.02635910270821,9861.311415546792,778.1620553359684,1214.4,945000,7673698.35942994,945000,.,514.6335638998682,624971,5074961.8385093,624971
Inland Empire2,65.10221093956217,72.91447625230963,65102.21093956217,1.312627353699904,49.59687207192392,49.59687207192392,7727.845807146815,1078.3820073850286,1191.6,1285000,8333569.874272958,1285000,.,643.6329305135952,766953,4973896.043411104,766953
Jacksonville,55.540281389808555,57.20648983150281,55540.28138980856,1.3090196313866675,42.42891401939767,42.42891401939767,5655.535134167984,547.5701574264202,1314.9,720000,3096802.2637470136,720000,.,337.5785230816031,443882,1909187.1978285443,443882
Kansas City,63.2199184408059,65.11651599403008,63219.9184408059,1.2489552286252659,50.61824234515798,50.61824234515798,8049.408985788578,587.9073539100907,1973.1,1160000,4732306.73737507,1160000,.,390.9122700319295,771309,3146612.7390500247,771309
Las Vegas,58.291697709553844,60.04044864084045,58291.697709553846,1.3281005575067044,43.891027211815306,43.891027211815306,6052.034050227407,1175.4827875734677,595.5,700000,7114061.855850856,700000,.,623.2208228379513,371128,3771753.6406260235,371128
Los Angeles2,48.11622779676405,49.559714630666974,48116.22779676405,1.2376914918106077,38.87578456758659,38.87578456758659,4747.972624616411,2243.04205212814,5091.3,11420000,10649902.259367825,10649902.259367825,.,1186.7479818513934,6042090,5634646.930149189,5634646.930149189
Louisville,62.48721285155351,64.98670136561566,62487.21285155351,1.2936603925299017,48.30264048615771,48.30264048615771,7329.791436599788,1106.8597977589507,731.8,810000,8113051.467130129,810000,.,610.6531839300355,446876,4475960.478302769,446876
Memphis,65.30803220505597,67.9203534932582,65308.03220505596,1.254477735059791,52.05993727895318,52.05993727895318,8514.460866991923,973.6216460998529,883.3,860000,8289863.404973458,860000,.,507.457262538209,448237,4320725.0035524275,448237
