0.8333333333333334,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],50 min Distance [m],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,52.31679,68.53499,43597.325,1.2343851268810277,42.38287456702513,35.31906213918761,3918.9362458931973,757.4179384746532,5083.058909,3850000,2968272.612378022,2968272.612378022,.,418.87926898310906,2129188,1641561.1498711521,1641561.1498711521
Austin,53.19888,67.56258,44332.40000000001,1.3146605064293353,40.465869127300444,33.72155760608371,3572.4415003681047,1165.1270412957495,823.944485,960000,4162348.195526038,960000,.,704.5195526735032,580485,2516854.887791596,580485
Baltimore2,57.5626,71.37762,47968.833333333336,1.2277641503228947,46.88408599066961,39.070071658891344,4795.548506933672,1249.8156960132164,1768.260718,2210000,5993551.794958448,2210000,.,601.542515293268,1063684,2884726.3110717568,1063684
Boston,60.28802,74.15427,50240.01666666667,1.1981600358493794,50.31716815463774,41.93097346219812,5523.568735381289,876.2031495148894,4496.67409,3940000,4839768.32250306,3940000,.,683.9123624367448,3075331,3777636.9428963605,3075331
Buffalo,60.07548,64.28076,50062.9,1.1921182294652177,50.393894259086835,41.99491188257237,5540.42679970907,1174.0141455753533,949.73302,1115000,6504539.435383233,1115000,.,500.80074082293146,475627,2774649.8457695255,475627
Charlotte,54.73937,66.78204,45616.14166666667,1.2362160989566715,44.279774423095084,36.89981201924591,4277.580389914454,767.9222461130181,1126.416124,865000,3284849.140952107,865000,.,720.4326915334532,811507,3081708.753556788,811507
Chicago,47.50277,64.12874,39585.64166666667,1.2102128047420824,39.251584360920454,32.70965363410038,3361.257338532829,1482.3418622036777,5498.056965,8150000,4982532.462546531,4982532.462546531,.,762.0490341718386,4189789,2561442.908431947,2561442.908431947
Cincinnati,59.70134,70.44758,49751.11666666667,1.278311142456642,46.70329313195747,38.9194109432979,4758.634946382731,885.1262145409509,1739.864863,1540000,4211992.536474028,1540000,.,537.3710452361724,934953,2557152.6350350655,934953
Cleveland,62.77554,69.05309,52312.95,1.1707432163655211,53.62024662836113,44.68353885696761,6272.562466467962,1065.2097286959158,1675.72634,1785000,6681594.563134522,1785000,.,643.1097812784873,1077676,4033946.2758658594,1077676
Columbus,60.79675,71.13219,50663.95833333334,1.1995705003285038,50.682098287137556,42.235081905947965,5603.979709798186,1106.7339674828359,1030.05784,1140000,6202114.697918258,1140000,.,750.9364716839591,773508,4208232.750664347,773508
Dallas-Fort Worth,56.96404,70.06577,47470.03333333333,1.2440120064290328,45.790586992417126,38.15882249368094,4574.459661185349,1122.3258612680775,3644.217906,4090000,5134034.379075925,4090000,.,713.7561658202335,2601083,3265048.7884669793,2601083
Denver,50.87279,67.15208,42393.99166666667,1.3352477307392645,38.09988875385252,31.7499072948771,3166.9032505363116,1567.4515055293143,1291.905997,2025000,4963967.2679188205,2025000,.,836.3681277965303,1080509,2648696.942563801,1080509
Detroit,50.51411,65.16321,42095.09166666667,1.2124781174465198,41.66187354076358,34.71822795063632,3786.7355189099535,1233.4944074099687,3267.140877,4030000,4670917.084916114,4030000,.,597.8523955763907,1953268,2263908.9013945227,1953268
Grand Rapids,56.83914564234036,63.091451662997805,47365.9547019503,1.2450835724358407,45.65086786193968,38.042389884949735,4546.5864900058605,832.6530183104809,666.544152,555000,3785728.9639130346,555000,.,796.5938916526567,530965,3621783.025809161,530965
Hampton Roads,54.51603,64.32891,45430.025,1.3018592631885946,41.87551722486189,34.896264354051574,3825.672147564803,1114.0347356616915,1364.40988,1520000,4261931.65964065,1520000,.,420.4264483924728,573634,1608413.7537146742,573634
Hartford,68.56857,75.42543,57140.475,1.2275720367568776,55.85706414521407,46.547553454345056,6806.809422608012,715.700947685785,1215.591516,870000,4871639.954477085,870000,.,467.1972389777686,567921,3180122.5684903227,567921
Honolulu,58.40320294694695,68.9157794773974,48669.33578912246,1.4430980214790774,40.47071098267298,33.725592485560824,3573.2964569167607,1753.595502073632,399.179856,700000,6266116.594424877,700000,.,802.7985259857402,320461,2868637.1285228436,320461
Houston,53.7673,68.82214,44806.083333333336,1.2854059986592492,41.82904082918729,34.857534024322746,3817.1848597729536,1082.0570893248787,3354.721332,3630000,4130411.9387809173,3630000,.,557.6558571810459,1870780,2128675.494995197,1870780
Indianapolis,53.33619,65.07016,44446.825000000004,1.2195803066681994,43.733233234726804,36.44436102893901,4172.636504418077,719.244812499162,1432.0576,1030000,3001147.160247338,1030000,.,568.0393023297387,813465,2370221.5288452436,813465
Inland Empire2,57.81975,71.69648,48183.12500000001,1.3428497354800004,43.05749814913757,35.881248457614646,4044.6874155008104,1434.3253447427585,1136.422783,1630000,5801397.6716148965,1630000,.,772.155410052176,877495,3123127.269848904,877495
Jacksonville,54.3979,63.64554,45331.583333333336,1.3281521441278763,40.95758173527633,34.13131811273028,3659.788547817063,837.0706791340551,1063.231603,890000,3063501.685208266,890000,.,467.6516373262844,497222,1711506.1066546342,497222
Kansas City,63.34106,69.04175,52784.21666666667,1.260951367742545,50.23275410961977,41.86062842468314,5505.05117235854,941.4472355544217,1513.627048,1425000,5182715.207802575,1425000,.,588.9244653614303,891412,3242059.318468568,891412
Las Vegas,50.76474,64.47121,42303.950000000004,1.3387178028445357,37.92041899505185,31.600349162543207,3137.1380863052063,1755.5750317549087,740.498114,1300000,5507481.295484796,1300000,.,934.3372885349443,691875,2931145.0933181103,691875
Los Angeles2,47.96656,70.9905,39972.13333333334,1.2352861702677442,38.83032219943287,32.35860183286073,3289.4960478011635,2881.990935894984,4319.930311,12450000,9480297.793425325,9480297.793425325,.,1226.6024260871461,5298837,4034903.832836986,4034903.832836986
Louisville,57.96375,68.97688,48303.125,1.3023257892532003,44.50787236060069,37.08989363383391,4321.7640088464395,848.5822084326122,1013.455139,860000,3667372.046951491,860000,.,509.17497987051996,516026,2200534.1022095233,516026
Memphis,57.32139,64.77317,47767.825000000004,1.2855937423383883,44.58748367562614,37.15623639635512,4337.238530959987,946.3821075160068,1035.522536,980000,4104684.941729542,980000,.,519.0287814267327,537466,2251151.629481234,537466
Milwaukee,57.25628,65.84471,47713.566666666666,1.185645778102152,48.29121906177525,40.242682551479376,5087.726046950568,1109.84168212254,1261.441179,1400000,5646570.43412628,1400000,.,619.6594918675951,781664,3152657.737014917,781664
Minneapolis-St.Paul,55.30265,69.68134,46085.54166666667,1.236196286175002,44.73613989823222,37.280116581860185,4366.2077512560145,1049.2157487922923,2316.01556,2430000,4581093.93511679,2430000,.,709.1480853436063,1642398,3096287.8670156156,1642398
Nashville,60.80458,70.53332,50670.48333333334,1.3398349765569897,45.38214113222449,37.81845094352041,4493.216497025947,761.8615008051859,1115.688349,850000,3423208.663866808,850000,.,568.9509983401288,634772,2556420.011741249,634772
New Orleans,56.71207,65.21888,47260.058333333334,1.3043409575027876,43.47948262590596,36.23290218825497,4124.355723672476,2137.0329710580395,512.392656,1095000,8813884.165860023,1095000,.,1056.4398097071867,541312,4357133.575881297,541312
New York,51.8687,66.91063,43223.916666666664,1.236943586954892,41.93295518649349,34.944129322077906,3836.174203439763,1980.8358108488483,8683.203275,17200000,7598831.238828038,7598831.238828038,.,908.0231972342027,7884550,3483335.1653547445,3483335.1653547445
Oklahoma City,59.51772,65.46949,49598.100000000006,1.2646048380286166,47.0642830156982,39.22023584641517,4832.482328118029,970.1899612180936,834.888045,810000,4688425.842503953,810000,.,528.7128048407975,441416,2554995.28604287,441416
Orlando,45.74069,60.83512,38117.24166666667,1.2845455265090662,35.60846155784512,29.67371796487093,2766.26512740572,1047.9139885488814,1173.760455,1230000,2898807.9230434075,1230000,.,697.0127478012538,818126,1928122.0575998463,818126
Philadelphia,52.86588,66.61101,44054.899999999994,1.1904623684865012,44.407854796125335,37.006545663437784,4302.362199172701,1099.6163268490113,4660.716538,5125000,4730947.718228321,4730947.718228321,.,547.2707853403464,2550674,2354557.139559864,2354557.139559864
Phoenix,52.44265,67.12659,43702.208333333336,1.3124725655296565,39.957139964168654,33.29761663680721,3483.1820242353515,1401.3597327768193,2069.418674,2900000,4881191.030695473,2900000,.,677.8860254935537,1402830,2361200.4184794934,1402830
Pittsburgh,58.55113,64.40624,48792.60833333334,1.265425431669183,46.269917242588555,38.5582643688238,4670.730679969111,799.4758065881405,2207.696575,1765000,3734136.177724279,1765000,.,470.4636550881092,1038641,2197409.0276304376,1038641
Portland,53.08795,67.95258,44239.958333333336,1.434156609434249,37.0168429659452,30.847369138287668,2989.4144795878437,1295.3047985550368,1227.510314,1590000,3872202.920280042,1590000,.,714.7467438713512,877359,2136674.265367281,877359
Providence,62.4824,71.22993,52068.666666666664,1.2289095956943288,50.843772576043484,42.369810480036236,5639.789771020959,927.6286640084529,1304.401262,1210000,5231630.650580711,1210000,.,482.44740198664414,629305,2720901.922779912,629305
Raleigh,61.62895,70.25701,51357.45833333334,1.2183864320048754,50.582432946654315,42.152027455545266,5581.961150861426,954.3449701689278,827.79291,790000,5327116.548002962,790000,.,742.4501860012307,614595,4144328.0947087095,614595
Rochester,62.089397559255026,65.81476141281033,51741.16463271253,1.2005095924358498,51.71920153780265,43.09933461483554,5835.673740805582,869.9136924744846,764.443652,665000,5076532.491940573,665000,.,595.4448033012118,455184,3474821.602724027,455184
Sacramento,53.29741,67.68771,44414.50833333334,1.460936226319686,36.481681431272364,30.401401192726972,2903.601913097622,1538.0035288978304,955.784543,1470000,4465749.988858634,1470000,.,612.258279636146,585187,1777754.3120613722,585187
Salt Lake City,52.23418,63.7257,43528.48333333334,1.426712769962675,36.61155987365735,30.509633228047793,2924.312941925205,1539.5789483851775,597.565978,920000,4502210.643878371,920000,.,1022.958171156123,611285,2991449.818959989,611285
San Antonio,59.60624,71.52749,49671.86666666667,1.315799844765127,45.30038534138894,37.750321117824114,4477.042047245742,1193.6639046698626,1055.573512,1260000,5344083.4914865075,1260000,.,601.997864455697,635453,2695169.7515202984,635453
San Diego,53.16983,70.71587,44308.191666666666,1.3889482459828102,38.28064159610022,31.90053466341685,3197.023265637049,1372.086028348845,2026.112024,2780000,4386590.955086793,2780000,.,533.9102612225552,1081762,1706923.5268908632,1081762
San Francisco1,53.32521,72.52228,44437.674999999996,1.3789938650441405,38.669649917763124,32.22470826480261,3262.3297856104027,3692.1786197984,1107.747057,4090000,12045104.285162227,4090000,.,1849.2479732221034,2048499,6032856.744022137,2048499
San Jose1,50.66389,67.88962,42219.90833333333,1.412372986354902,35.87146631199384,29.892888593328202,2807.2794067639466,2486.329968574823,673.683711,1675000,6979822.919200151,1675000,.,1548.2013042170763,1042998,4346233.638853682,1042998
Seattle,58.18665,73.89704,48488.875,1.3905647350876666,41.843898764146125,34.86991563678844,3819.8971169078977,1109.3651265048711,2469.881137,2740000,4237660.648334122,2740000,.,599.9134848245129,1481715,2291607.791075327,1481715
South Florida,59.82909,81.36757,49857.575000000004,1.236045423924578,48.403633751610975,40.336361459675814,5111.4405377475,1717.595801458869,2890.668454,4965000,8779388.807041768,4965000,.,514.0451157391708,1485934,2627511.042820303,1485934
St. Louis,56.50248,66.67293,47085.4,1.3198572141603853,42.809539845523,35.67461653793583,3998.236688111931,957.1610570629796,2146.974101,2055000,3826956.4547812026,2055000,.,568.5308450770176,1220621,2273120.883110212,1220621
Tampa Bay,47.58084,59.95186,39650.7,1.2631026062750048,37.669813808966694,31.391511507472245,3095.81020727324,962.522066540267,2077.87444,2000000,2979785.6383210914,2000000,.,501.91290672982143,1042912,1553827.0998163628,1042912
Washington2,49.55658,67.39695,41297.15,1.2809627684955263,38.68697921501929,32.23914934584941,3265.254381523857,1345.122642374673,2996.00934,4030000,4392167.601700849,4030000,.,760.5570415211055,2278636,2483412.212225612,2278636
,,,,,,,,,,,,,,,,,
