Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),Area,Total,,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
Atlanta,6896.087215210449,33755.271366440225,83306.72630437836,157341.31351561774,260647.42087215348,-126141,-126141,-126141,-126141,Atlanta,-126142,,6896.087215210449,26859.18415122977,49551.454937938135,74034.58721123938,103305.10735653574,-386788.4208721535,0,0,0,,-126142,,14743.335177460536,18,Atlanta,25,26,16,8,5,49,Atlanta
Austin,419.2018225615175,31046.608138442447,60078,60078,60078,60078,60078,60078,60078,Austin,60078.000000000015,,419.2018225615175,30627.406315880944,29031.391861557553,0,0,0,0,0,0,,60078.000000000015,,9005.594661894906,24,Austin,31,25,20,13,7,2,Austin
Baltimore,13162.653824348585,65983.1843798763,78115,-4074,-4074,-4074,-4074,-4074,-4074,Baltimore,-4074.000000000058,,13162.653824348585,52820.530555527715,12131.815620123642,-82189,0,0,0,0,0,,-4074.000000000058,,14329.011505683678,20,Baltimore,21,18,28,45,7,2,Baltimore
Boston,-19890.591107145752,-86659.58433475863,-209896.6271497223,-378479.43680439005,-172584,-172584,-172584,-172584,-172584,Boston,-172585.00000000006,,-19890.591107145752,-66768.99322761287,-123237.04281496373,-168583.80965466774,205895.43680439005,0,0,0,0,,-172585.00000000006,,-36698.39940137623,48,Boston,44,45,46,48,3,2,Boston
Buffalo,-2091.5156346167932,-3470.277426824032,-19923,-19923,-19923,-19923,-19923,-19923,-19923,Buffalo,-19924.000000000015,,-2091.5156346167932,-1379.7617922072532,-16452.722573175968,0,0,0,0,0,0,,-19924.000000000015,,-2710.904972923087,35,Buffalo,34,36,36,13,7,2,Buffalo
Charlotte,-24324.443222504036,-104189.79894999065,-84123,-84123,-84123,-84123,-84123,-84123,-84123,Charlotte,-84122.99999999999,,-24324.443222504036,-79865.3557274866,20066.798949990654,0,0,0,0,0,0,,-84122.99999999999,,-25233.79517586668,46,Charlotte,46,46,23,13,7,2,Charlotte
Chicago,30650.258420253827,140331.7180200428,321935.8406227571,597494.8169085332,952800.5150039019,44401,-392017,-392017,-392017,Chicago,-392017,,30650.258420253827,109681.459599789,181604.12260271423,275558.9762857761,355305.6980953687,-908399.5150039019,-436418,0,0,,-392017.00000000006,,61041.437504604764,5,Chicago,11,9,7,2,1,50,Chicago
Cincinnati,-6067.815314234744,-32415.972892784746,-68863.29245559091,-60406,-60406,-60406,-60406,-60406,-60406,Cincinnati,-60405.999999999985,,-6067.815314234744,-26348.157578549988,-36447.319562806166,8457.292455590912,0,0,0,0,0,,-60405.999999999985,,-11007.73479372689,39,Cincinnati,38,40,38,12,7,2,Cincinnati
Cleveland,-48102.94516296829,-216261.26993489318,-207518,-207518,-207518,-207518,-207518,-207518,-207518,Cleveland,-207518,,-48102.94516296829,-168158.32477192488,8743.269934893178,0,0,0,0,0,0,,-207518,,-54771.45521077973,50,Cleveland,50,49,29,13,7,2,Cleveland
Columbus,-23046.202187383387,-82699.98514295078,-23179,-23179,-23179,-23179,-23179,-23179,-23179,Columbus,-23179.000000000015,,-23046.202187383387,-59653.78295556741,59520.98514295078,0,0,0,0,0,0,,-23179.000000000015,,-16999.59526969298,42,Columbus,45,44,11,13,7,2,Columbus
Dallas-Fort Worth,-2750.491080782682,2966.2483771450934,16389.118193305563,34417.45630416414,-90803,-90803,-90803,-90803,-90803,Dallas-Fort Worth,-90803.99999999996,,-2750.491080782682,5715.739457927761,13422.869816160528,18028.338110858575,-125220.45630416414,0,0,0,0,,-90803.99999999996,,-422.810000512967,32,Dallas-Fort Worth,35,34,26,10,47,2,Dallas-Fort Worth
Denver,-3195.4968713702838,-1862.2772067525075,10447.553887621732,-42363,-42363,-42363,-42363,-42363,-42363,Denver,-42363.999999999985,,-3195.4968713702838,1332.2196646177908,12309.83109437424,-52810.55388762173,0,0,0,0,0,,-42363.999999999985,,-2202.8106751200303,33,Denver,36,35,27,42,7,2,Denver
