1.3333333333333333,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],80 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,57.43675000000001,68.14325000000001,90857.66666666667,1.1933849385737794,48.12927341670909,64.17236455561212,12937.368744747735,873.4897783967428,5083.058909,4440000,11300659.357886646,4440000,.,436.3691312081152,2218090,5645468.359264594,2218090
Austin,62.91075,76.75675000000001,102342.33333333334,1.2630063192455665,49.810320852217565,66.41376113629008,13856.898135175814,1256.15259139698,823.944485,1035000,17406378.501225077,1035000,.,796.2393243035058,656057,11033407.208094899,656057
Baltimore2,59.8115,68.62625,91501.66666666667,1.2268115098360695,48.753618237566265,65.00482431675502,13275.199319484303,1312.0237170817477,1768.260718,2320000,17417376.356150884,2320000,.,634.4765727018769,1121920,8422802.966160689,1121920
Boston,53.613,62.8705,83827.33333333333,1.1822577092208564,45.347980885937794,60.463974514583725,11485.324122133406,934.0236619194253,4496.67409,4200000,10727564.494886553,4200000,.,645.5319958489586,2902747,7414144.203532966,2902747
Buffalo,63.43400000000001,70.23625,93648.33333333333,1.1659230811658463,54.40667658501982,72.54223544669308,16532.241542020416,1184.5434204235628,949.73302,1125000,19583157.94345338,1125000,.,494.17361523346847,469333,8169797.570733161,469333
Charlotte,61.2605,70.79974999999999,94399.66666666664,1.2188102793904707,50.26253965517627,67.01671954023502,14109.648782134576,949.9153795848895,1126.416124,1070000,13402972.378690839,1070000,.,723.7920184459291,815291,10212451.17158433,815291
Chicago,49.266,60.49575000000001,80661,1.1765397413486474,41.87363866139126,55.831518215188346,9792.842011865994,1535.0877689569375,5498.056965,8440000,15032871.995743135,8440000,.,761.2045540164752,4185146,7454355.9361962555,4185146
Cincinnati,66.8955,72.53050000000002,96707.33333333336,1.2721393245922437,52.58504214657611,70.11338952876814,15443.715714108743,959.8446612229791,1739.864863,1670000,14823568.077632705,1670000,.,544.468722913683,947302,8408620.171902765,947302
Cleveland,66.33200000000001,73.01350000000001,97351.33333333334,1.1513174285753958,57.6139979762811,76.81866396837479,18538.874819862842,1068.1935094485655,1675.72634,1790000,19803105.755056933,1790000,.,567.0012921083522,950139,10511565.977097226,950139
Columbus,73.17450000000001,79.77550000000001,106367.33333333333,1.168776185431562,62.607795155392274,83.4770602071897,21891.935762281788,1189.2536054091877,1030.05784,1225000,26035063.53467995,1225000,.,769.8305563112845,792970,16853081.08660829,792970
Dallas-Fort Worth,53.894749999999995,63.393750000000004,84525,1.2096246171132026,44.55493814983782,59.40658419978375,11087.127354405467,1219.7404531385341,3644.217906,4445000,13523417.743267162,4445000,.,729.7741432040481,2659456,8091098.865655414,2659456
Denver,54.78025,64.11825,85491,1.3292653370679421,41.2109219073092,54.94789587641226,9485.320413522219,1687.4292750883483,1291.905997,2180000,16005807.34937051,2180000,.,885.413491892011,1143871,8398430.669051282,1143871
