0.3333333333333333,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],20 Minute Distance,20 Minute Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,57.43675000000001,68.14325000000001,22714.416666666668,1.3087124907830403,43.88798181763662,14.62932727254554,672.3549149324007,873.4897783967428,5083.058909,4440000,587295.1456482635,587295.1456482635,.,436.3691312081152,2218090,293394.9300925579,293394.9300925579
Austin,62.91075,76.75675000000001,25585.583333333336,1.3723222910878397,45.84254763517006,15.280849211723352,733.5755588081289,1256.15259139698,823.944485,1035000,921482.8391823188,921482.8391823188,.,796.2393243035058,656057,584101.7072709512,584101.7072709512
Baltimore2,59.8115,68.62625,22875.416666666668,1.3092658889264803,45.683234021350586,15.227744673783528,728.4857238648683,1312.0237170817477,1768.260718,2320000,955790.5472661721,955790.5472661721,.,634.4765727018769,1121920,462207.1253400275,462207.1253400275
Boston,53.613,62.8705,20956.833333333332,1.2579493722607327,42.61936225910985,14.206454086369948,634.0467150668563,934.0236619194253,4496.67409,4200000,592214.6346347276,592214.6346347276,.,645.5319958489586,2902747,409297.4414385837,409297.4414385837
Buffalo,63.43400000000001,70.23625,23412.083333333332,1.224218672913259,51.81590626211154,17.27196875403718,937.2027624306568,1184.5434204235628,949.73302,1125000,1110157.365840022,1110157.365840022,.,494.17361523346847,469333,463140.8773171511,463140.8773171511
Charlotte,61.2605,70.79974999999999,23599.91666666666,1.2718268758603823,48.1673262003979,16.05577540013263,809.8646472785284,949.9153795848895,1126.416124,1070000,769302.883831966,769302.883831966,.,723.7920184459291,815291,586173.5677217265,586173.5677217265
Chicago,49.266,60.49575000000001,20165.25,1.2622043331825756,39.031715154850254,13.010571718283417,531.7930224097963,1535.0877689569375,5498.056965,8440000,816348.9643179209,816348.9643179209,.,761.2045540164752,4185146,404803.2704525224,404803.2704525224
Cincinnati,66.8955,72.53050000000002,24176.83333333334,1.3346635676863023,50.1216198745623,16.7072066248541,876.9151236616002,959.8446612229791,1739.864863,1670000,841702.2997922754,841702.2997922754,.,544.468722913683,947302,477452.8574837259,477452.8574837259
Cleveland,66.33200000000001,73.01350000000001,24337.833333333336,1.2210242271152514,54.324884410126444,18.10829480337548,1030.1607173351235,1068.1935094485655,1675.72634,1790000,1100410.9919462572,1100410.9919462572,.,567.0012921083522,950139,584102.4578082821,584102.4578082821
Columbus,73.17450000000001,79.77550000000001,26591.833333333332,1.247954909153181,58.635531991819875,19.545177330606624,1200.1322405182411,1189.2536054091877,1030.05784,1225000,1427261.5940041246,1225000,.,769.8305563112845,792970,923898.4703652658,792970
Dallas-Fort Worth,53.894749999999995,63.393750000000004,21131.25,1.3241222203723044,40.70224724787593,13.567415749291976,578.2879455017995,1219.7404531385341,3644.217906,4445000,705361.2006909169,705361.2006909169,.,729.7741432040481,2659456,422019.58995380497,422019.58995380497
Denver,54.78025,64.11825,21372.75,1.382383812463321,39.62738098212033,13.209126994040108,548.1483407145404,1687.4292750883483,1291.905997,2180000,924961.5572128178,924961.5572128178,.,885.413491892011,1143871,485337.936426873,485337.936426873
Detroit,57.557500000000005,65.1245,21708.166666666664,1.246103728819398,46.18997493453614,15.396658311512045,744.7368035078158,1239.6159677445094,3267.140877,4050000,923187.6333952936,923187.6333952936,.,521.8829135906893,1705065,388665.41287287563,388665.41287287563
Grand Rapids,72.65,79.78,26593.333333333332,1.276401235569196,56.91783897999957,18.97261299333319,1130.8478291715892,900.1654252005198,666.544152,600000,1017950.1169833284,600000,.,799.6064452756611,532973,904233.2128315925,532973
Hampton Roads,63.393750000000004,72.08775000000001,24029.250000000004,1.3392188111212502,47.33636465793375,15.778788219311249,782.1628182987732,1132.3576753929692,1364.40988,1545000,885688.0707076122,885688.0707076122,.,466.71825624716234,636795,365049.6666577695,365049.6666577695
Hartford,65.96974999999999,73.8185,24606.166666666668,1.2718012066329836,51.871117636891455,17.290372545630483,939.2010607992111,736.2670668721581,1215.591516,895000,691502.8102378546,691502.8102378546,.,466.09078176554175,566576,437752.9566629304,437752.9566629304
Honolulu,61.743500000000004,74.74425,24914.749999999996,1.4172580385913462,43.56546113604595,14.521820378681982,662.5093227199994,1766.1211842313005,399.179856,705000,1170071.7496065223,705000,.,894.7946511609545,357184,592809.7983141221,357184
Houston,58.40275000000001,69.59225,23197.416666666668,1.3398457759675975,43.58915857895902,14.529719526319674,663.2302629508016,1137.2032495246315,3354.721332,3815000,754227.6102107274,754227.6102107274,.,675.4802488017804,2266048,447998.9430308777,447998.9430308777
Indianapolis,54.53875,64.44025,21480.083333333332,1.271809639354645,42.88279339325862,14.294264464419541,641.9090497892685,747.1766498777703,1432.0576,1070000,479619.45334776846,479619.45334776846,.,555.537710215008,795562,356604.6836862218,356604.6836862218
Inland Empire2,60.173750000000005,67.82125,22607.083333333336,1.3661627731164396,44.04581297639511,14.68193765879837,677.1994926113567,1786.307024434233,1136.422783,2030000,1209686.210594965,1209686.210594965,.,966.10699505837,1097906,654247.1668618107,654247.1668618107
Jacksonville,66.33200000000001,74.18075,24726.916666666668,1.3647991426543529,48.60202349702029,16.200674499006762,824.5482330738032,978.150007077997,1063.231603,1040000,806531.8600172905,806531.8600172905,.,508.1602150232549,540292,419002.60741582874,419002.60741582874
Kansas City,63.43400000000001,69.552,23184,1.2987080429934756,48.84392634836303,16.281308782787676,832.7765714679139,1007.5137082249074,1513.627048,1525000,839033.8116424625,839033.8116424625,.,613.5044965184845,928617,510912.17119081225,510912.17119081225
Las Vegas,59.52975000000001,69.83375000000001,23277.91666666667,1.3223049937334725,45.01968175429805,15.006560584766016,707.4768028229738,1897.3714766274206,740.498114,1405000,1342346.3060518724,1342346.3060518724,.,1137.2034365505488,842097,804545.0514500808,804545.0514500808
Los Angeles2,52.92875,66.0905,22030.166666666668,1.280908423606628,41.32125999372351,13.773753331241169,596.0112741215204,2963.010761402072,4319.930311,12800000,1765987.8191390252,1765987.8191390252,.,1240.2952395682755,5357989,739229.9460219443,739229.9460219443
Louisville,63.47425000000001,71.28275000000001,23760.916666666668,1.3522400482999783,46.94007552860097,15.64669184286699,769.1214638689639,902.8520008323723,1013.455139,915000,694402.8525372172,694402.8525372172,.,548.676481673058,556059,421998.85877485515,421998.85877485515
Memphis,67.41875,75.14675000000001,25048.91666666667,1.3247813076937356,50.89047498516332,16.963491661721108,904.024857057472,999.4953890602725,1035.522536,1035000,903568.6762248152,903568.6762248152,.,536.1216011237055,555166,484667.2538212809,484667.2538212809
Milwaukee,65.688,72.49025,24163.416666666668,1.2090730434913919,54.32922382448904,18.10974127482968,1030.325300207313,1161.3700459353722,1261.441179,1465000,1196588.9412301432,1196588.9412301432,.,630.2925679263876,795077,649406.3792671935,649406.3792671935
