0.8333333333333334,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],50 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,57.43675000000001,68.14325000000001,56786.04166666668,1.2210426501549614,47.0391021908291,39.199251825690915,4827.312660991991,873.4897783967428,5083.058909,4440000,4216608.266501686,4216608.266501686,.,436.3691312081152,2218090,2106490.23194701,2106490.23194701
Austin,62.91075,76.75675000000001,63963.95833333334,1.2879992795041273,48.84377732277948,40.7031477689829,5204.8218111172955,1256.15259139698,823.944485,1035000,6538050.405794513,1035000,.,796.2393243035058,656057,4144283.8020041846,656057
Baltimore2,59.8115,68.62625,57188.541666666664,1.2338763577562017,48.47446798378318,40.39538998648598,5126.411723254191,1312.0237170817477,1768.260718,2320000,6725973.764435411,2320000,.,634.4765727018769,1121920,3252588.140429042,1121920
Boston,53.613,62.8705,52392.08333333333,1.195686608276367,44.838672298325235,37.36556024860437,4386.244830253032,934.0236619194253,4496.67409,4200000,4096856.458428085,4096856.458428085,.,645.5319958489586,2902747,2831461.3795554163,2831461.3795554163
Buffalo,63.43400000000001,70.23625,58530.208333333336,1.1803913897988716,53.73980236403504,44.78316863669587,6300.56520451506,1184.5434204235628,949.73302,1125000,7463293.057957954,1125000,.,494.17361523346847,469333,3113573.085129405,469333
Charlotte,61.2605,70.79974999999999,58999.79166666666,1.219339743976918,50.24071453637425,41.86726211364521,5506.796090777319,949.9153795848895,1126.416124,1070000,5230990.2988673225,1070000,.,723.7920184459291,815291,3985775.057713867,815291
Chicago,49.266,60.49575000000001,50413.12500000001,1.2018060236875545,40.99330426788423,34.16108688990352,3666.1753472078135,1535.0877689569375,5498.056965,8440000,5627900.934350168,5627900.934350168,.,761.2045540164752,4185146,2790709.3701175195,2790709.3701175195
Cincinnati,66.8955,72.53050000000002,60442.08333333335,1.2719049532677678,52.59473188474707,43.828943237289224,6034.924922779049,959.8446612229791,1739.864863,1670000,5792590.468010969,1670000,.,544.468722913683,947302,3285827.8655854654,947302
Cleveland,66.33200000000001,73.01350000000001,60844.58333333334,1.1657850372312006,56.89899756951926,47.41583130793272,7063.1204251199315,1068.1935094485655,1675.72634,1790000,7544779.394566704,1790000,.,567.0012921083522,950139,4004798.4073598953,950139
Columbus,73.17450000000001,79.77550000000001,66479.58333333334,1.184989187914482,61.751196336890835,51.459330280742364,8319.134239561597,1189.2536054091877,1030.05784,1225000,9893560.38828165,1225000,.,769.8305563112845,792970,6404323.739669959,792970
Dallas-Fort Worth,53.894749999999995,63.393750000000004,52828.12500000001,1.2464302544174806,43.23928259041475,36.03273549201229,4078.91203946979,1219.7404531385341,3644.217906,4445000,4975214.019335104,4445000,.,729.7741432040481,2659456,2976684.5388087425,2659456
Denver,54.78025,64.11825,53431.87500000001,1.3458448279862103,40.703243688180436,33.919369740150366,3614.476626417821,1687.4292750883483,1291.905997,2180000,6099173.673540003,2180000,.,885.413491892011,1143871,3200306.371158659,1143871
Detroit,57.557500000000005,65.1245,54270.41666666667,1.1960712699174072,48.1221323909691,40.10177699247425,5052.160136256644,1239.6159677445094,3267.140877,4050000,6262738.376506013,4050000,.,521.8829135906893,1705065,2636636.0518363514,1705065
Grand Rapids,72.65,79.78,66483.33333333333,1.2372127864425393,58.72069929773082,48.93391608144235,7522.63202306903,900.1654252005198,666.544152,600000,6771613.25367298,600000,.,799.6064452756611,532973,6015145.051083082,532973
Hampton Roads,63.393750000000004,72.08775000000001,60073.125000000015,1.3069173513439627,48.50631903754994,40.421932531291624,5133.150745499833,1132.3576753929692,1364.40988,1545000,5812562.645615878,1545000,.,466.71825624716234,636795,2395735.164993503,636795
Hartford,65.96974999999999,73.8185,61515.416666666664,1.2269265395465623,53.76829653092398,44.806913775769985,6307.248405568128,736.2670668721581,1215.591516,895000,4643819.283601741,895000,.,466.09078176554175,566576,2939750.3401407157,566576
Honolulu,61.743500000000004,74.74425,62286.87499999999,1.4435399462955427,42.77228362017144,35.6435696834762,3991.2805568573,1766.1211842313005,399.179856,705000,7049085.1436761785,705000,.,894.7946511609545,357184,3571376.4935586276,357184
Houston,58.40275000000001,69.59225,57993.54166666667,1.2654610127146704,46.15136255736103,38.45946879780086,4646.826267139483,1137.2032495246315,3354.721332,3815000,5284385.930967433,3815000,.,675.4802488017804,2266048,3138839.3630660265,2266048
Indianapolis,54.53875,64.44025,53700.20833333334,1.2032297568764418,45.326962442801786,37.77246870233483,4482.296823935464,747.1766498777703,1432.0576,1070000,3349067.52466587,1070000,.,555.537710215008,795562,2490084.9140731106,795562
Inland Empire2,60.173750000000005,67.82125,56517.708333333336,1.3524307658097707,44.49303544493891,37.077529537449095,4318.883127012397,1786.307024434233,1136.422783,2030000,7714851.267492731,2030000,.,966.10699505837,1097906,4172503.199846244,1097906
Jacksonville,66.33200000000001,74.18075,61817.29166666667,1.3025038256942751,50.92652988150955,42.438774901257965,5658.164239610594,978.150007077997,1063.231603,1040000,5534533.3910235725,1040000,.,508.1602150232549,540292,2875253.9566374114,540292
Kansas City,63.43400000000001,69.552,57960.00000000001,1.2489204814532937,50.79106391640377,42.32588659700315,5628.102531468275,1007.5137082249074,1513.627048,1525000,5670390.45174959,1525000,.,613.5044965184845,928617,3452866.209922852,928617
Las Vegas,59.52975000000001,69.83375000000001,58194.79166666667,1.3166391133124675,45.21341451738589,37.677845431154914,4459.867877035774,1897.3714766274206,740.498114,1405000,8462026.099414567,1405000,.,1137.2034365505488,842097,5071777.076326482,842097
Los Angeles2,52.92875,66.0905,55075.41666666668,1.2373045629983925,42.77746286794286,35.64788572328572,3992.247214736836,2963.010761402072,4319.930311,12800000,11829071.459442696,11829071.459442696,.,1240.2952395682755,5357989,4951565.215617805,4951565.215617805
