0.6666666666666666,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],40 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,57.43675000000001,68.14325000000001,45428.833333333336,1.2411800167011908,46.275922289383495,30.850614859588994,2990.04359753109,873.4897783967428,5083.058909,4440000,2611772.519404032,2611772.519404032,.,436.3691312081152,2218090,1304762.7269290292,1304762.7269290292
Austin,62.91075,76.75675000000001,51171.16666666667,1.3069706181282645,48.13478522577316,32.0898568171821,3235.0830283438654,1256.15259139698,823.944485,1035000,4063757.929438536,1035000,.,796.2393243035058,656057,2575900.3245542585,656057
Baltimore2,59.8115,68.62625,45750.833333333336,1.2476796419595966,47.93818700612963,31.958791337419754,3208.710718959589,1312.0237170817477,1768.260718,2320000,4209904.564529407,2320000,.,634.4765727018769,1121920,2035851.7797572552,1121920
Boston,53.613,62.8705,41913.666666666664,1.2078231024802963,44.3881226397345,29.592081759822996,2751.065363940436,934.0236619194253,4496.67409,4200000,2569560.1454073424,2569560.1454073424,.,645.5319958489586,2902747,1775900.715095411,1775900.715095411
Buffalo,63.43400000000001,70.23625,46824.166666666664,1.1895929057749248,53.32412432190643,35.549416214604285,3970.222252127853,1184.5434204235628,949.73302,1125000,4702900.646377268,1125000,.,494.17361523346847,469333,1961979.0836143843,469333
Charlotte,61.2605,70.79974999999999,47199.83333333332,1.2259980336163547,49.967861546481025,33.311907697654014,3486.1725715182306,949.9153795848895,1126.416124,1070000,3311568.9415721702,1070000,.,723.7920184459291,815291,2523263.882190015,815291
Chicago,49.266,60.49575000000001,40330.5,1.215897633709179,40.518213568448765,27.01214237896584,2292.281413717142,1535.0877689569375,5498.056965,8440000,3518853.1612045025,3518853.1612045025,.,761.2045540164752,4185146,1744895.0512088125,1744895.0512088125
Cincinnati,66.8955,72.53050000000002,48353.66666666668,1.2806447263853369,52.23579859561427,34.82386573040951,3809.814514241576,959.8446612229791,1739.864863,1670000,3656830.121744594,1670000,.,544.468722913683,947302,2074324.8431071243,947302
Cleveland,66.33200000000001,73.01350000000001,48675.66666666667,1.1762375387586297,56.39337107877467,37.59558071918311,4440.414046067379,1068.1935094485655,1675.72634,1790000,4743221.463273417,1790000,.,567.0012921083522,950139,2517720.50161628,950139
