0.8333333333333334,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],50 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E",,,,,Accessibility Ratio
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E,,,,,R=A_E/A_P
Atlanta,66.68239716375706,79.77374908056166,66478.12423380138,1.2210426501549614,54.61103029881426,45.50919191567856,6506.510286715464,659.0477708935927,6851.428985,4515419,4288101.100756057,4288101.100756057,.,292.35463206074525,2003047,1902208.4208721535,1902208.4208721535,,,,,0.44360157938831374
Austin,67.1321892285672,79.51902759368085,66265.85632806737,1.2879992795041273,52.121294085205335,43.43441173767111,5926.765723852692,1005.7320851324054,1354.651025,1362416,5960738.449541638,1362416,.,472.8620051795259,640563,2802542.324410268,640563,,,,,0.4701669680919778
Baltimore2,64.33133072826236,77.15231995448468,64293.59996207057,1.2338763577562017,52.137582768218834,43.44798564018237,5930.470708344659,1186.6066340855928,1857.113332,2203663,7037135.885772057,2203663,.,570.5683017518718,1059610,3383738.6006494323,1059610,,,,,0.4808403099748011
Boston,59.08384417630565,71.20194964854586,59334.95804045488,1.195686608276367,49.414155655282876,41.17846304606906,5327.091279399992,861.6700182833223,4852.227548,4181019,4590194.840117518,4181019,.,598.2297761770178,2902747,3186824.6237500007,2902747,,,,,0.6942678327938715
Buffalo,61.52546201403905,70.65055677780813,58875.463981506786,1.1803913897988716,52.12293358436175,43.43577798696813,5927.138587972829,951.109255078426,984.015238,935906,5637356.367153431,935906,.,463.10664957405874,455704,2744897.293037214,455704,,,,,0.4869121471600779
Charlotte,64.0526815140792,75.74245959811465,63118.71633176221,1.219339743976918,52.5306271943283,43.77552266194025,6020.222643099384,650.5968834128471,1920.454942,1249442,3916738.089051912,1249442,.,378.7560874729442,727384,2280195.9740163498,727384,,,,,0.5821670793842372
Chicago,62.25587188398059,73.23267635618011,61027.230296816764,1.2018060236875545,51.801930308984595,43.16827525748717,5854.357874483993,1360.6187423043561,6326.686332,8608208,7965549.048180015,7965549.048180015,.,600.2782184397379,3797772,3514243.515003902,3514243.515003902,,,,,0.44118032463899565
Cincinnati,63.81626979604995,74.14207195492925,61785.059962441046,1.2719049532677678,50.17377252293398,41.81147710244498,5492.13107530967,796.3910638802463,2040.237609,1624827,4373884.11003563,1624827,.,428.64958284375984,874547,2354199.6943547404,874547,,,,,0.5382400710967998
Cleveland,60.599390167439914,69.65395403984837,58044.961699873646,1.1657850372312006,51.98161602019407,43.31801335016173,5895.042416374513,890.6045978114746,1999.397942,1780673,5250151.880316806,1780673,.,435.21001083435146,870158,2565581.4738993132,870158,,,,,0.48866804854119766
Columbus,64.04641174171243,74.901794999095,62418.16249924584,1.184989187914482,54.048097986810085,45.040081655675074,6373.062991761961,1034.7499169004755,1322.092399,1368035,6594526.401127185,1368035,.,567.5314377176145,750329,3616913.602379587,750329,,,,,0.5484720785652413
Dallas-Fort Worth,65.99143770414402,78.09733145840165,65081.10954866805,1.2464302544174806,52.944348446504236,44.12029037208686,6115.424330217953,1111.5370303722236,4607.936452,5121892,6797520.599476508,5121892,.,544.773137856633,2510280,3331518.901697632,2510280,,,,,0.4901079522957532
Denver,60.70561775485221,72.57646725599626,60480.38937999689,1.3458448279862103,45.10595611953729,37.588296766281076,4438.693597390267,1372.380626126141,1729.988718,2374203,6091577.098368548,2374203,.,600.0883064718345,1038146,2663608.1238053003,1038146,,,,,0.43726084079583766
Detroit,62.14790113348605,71.57962292036937,59649.68576697448,1.1960712699174072,51.96003172768925,43.30002643974104,5890.147843537975,1078.2087468947925,3463.23475,3734090,6350808.925406144,3734090,.,433.40348210585495,1500978,2552810.585507651,1500978,,,,,0.4019662086345
Grand Rapids,67.78467421688788,73.48493042683263,61237.442022360534,1.2372127864425393,54.78821020900922,45.65684184084102,6548.798191193983,784.2973750588556,726.682274,569935,5136205.231143623,569935,.,438.1103150453344,318367,2869096.038712312,318367,,,,,0.5586022967531384
Virginia Beach,64.71536663352344,75.51148714210532,62926.23928508777,1.3069173513439627,49.51756633039854,41.26463860866545,5349.4109778311795,1078.4020248075806,1334.999348,1439666,5768815.630021043,1439666,.,444.7919775313628,593797,2379375.0874575116,593797,,,,,0.412454694352718
Hartford,63.83101673639741,74.74296813468234,62285.806778901955,1.2269265395465623,52.025133273250056,43.35427772770838,5904.9168086661375,691.7059567557736,1337.06959,924859,4084466.13070166,924859,.,395.88290987905873,529323,2337655.6488085156,529323,,,,,0.5723283224794267
Honolulu,54.71093280537417,67.86037611584707,56550.31342987256,1.4435399462955427,37.90053260789566,31.583777173246386,3133.8485665296216,1820.7093992818395,440.739747,802459,5705827.541006401,802459,.,762.2049118252091,335934,2388634.770325268,335934,,,,,0.41863073378203747
Houston,66.693022833823,78.91617432556015,65763.47860463346,1.2654610127146704,52.70255042528173,43.91879202106811,6059.693325001286,1149.9995031423985,4299.420988,4944332,6968644.312946788,4944332,.,506.2465401910998,2176567,3067698.780401003,2176567,,,,,0.4402145729696145
Indianapolis,62.662263546111326,72.3337016692045,60278.08472433708,1.2032297568764418,52.07838585107901,43.398654875899176,5917.011462062839,813.7826434009975,1827.862774,1487483,4815161.228631498,1487483,.,406.4413426256472,742919,2404918.0829721643,742919,,,,,0.4994470525041294
Inland Empire2,72.10742814017156,84.09990192548348,70083.25160456957,1.3524307658097707,53.31690905227011,44.43075754355843,6201.793602962876,1369.2709398652264,1411.456231,1932666,8491935.755579127,1932666,.,678.2541172543097,957326,4206392.045571011,957326,,,,,0.4953395982544319
Jacksonville,69.12706830003765,78.49714718776768,65414.28932313974,1.3025038256942751,53.072449336715586,44.22704111392966,6145.053140334513,775.485851329188,1373.615003,1065219,4765401.76599541,1065219,.,626.5511064747741,860640,3850189.8444228745,860640,,,,,0.807946534937886
Kansas City,67.81228876979557,74.59272660637487,62160.60550531239,1.2489204814532937,54.29672247098269,45.247268725818905,6431.830791345133,865.4747964993128,1755.587807,1519417,5566587.445257443,1519417,.,528.9493332645366,928617,3402112.6087523247,928617,,,,,0.6111666514195906
Las Vegas,62.45400827588758,72.98090363429576,60817.41969524646,1.3166391133124675,47.434416647977756,39.528680539981465,4908.790625276776,1746.9193703498715,1079.621093,1886011,8575261.428287858,1886011,.,677.9007975532394,731876,3327673.079896991,731876,,,,,0.3880550007396563
Los Angeles2,67.71265423726469,83.33378992309329,69444.82493591109,1.2373045629983925,54.725939160181255,45.60494930015105,6533.92021719512,2702.463769306689,4496.266014,12150996,17657682.658510305,12150996,.,1079.1963787042962,4852354,7051383.037139762,4852354,,,,,0.3993379637356476
Louisville,69.76239089959542,80.63340522748912,67194.50435624094,1.3072061245298374,53.367552056632874,44.472960047194064,6213.5807312542,787.6776339629688,1234.70054,972546,4894298.568832202,972546,.,417.10518730314965,515000,2591716.7547330246,515000,,,,,0.5295379344524578
Memphis,66.0117975254536,76.86486532283301,64054.05443569418,1.2518208107538271,52.73262511565239,43.94385426304366,6066.611221671683,823.0143769923415,1288.022457,1060061,4992908.255058868,1060061,.,395.30832496967867,509166,2398181.9202812887,509166,,,,,0.4803176420979547
Milwaukee,66.57502481511119,73.72364096292551,61436.367469104596,1.1682466585186182,56.987130525612535,47.489275438010445,7085.018026505974,974.0478763670035,1413.15025,1376476,6901146.762740082,1376476,.,521.7272544090765,737279,3696447.0024077757,737279,,,,,0.5356279368474278
Minneapolis-St.Paul,72.35417413894163,80.92665935101023,67438.88279250852,1.2342826281339614,58.62042654552273,48.85035545460228,7496.96233645448,1001.6752173390063,2646.45661,2650890,7509521.377750386,2650890,.,594.1457698790686,1572381,4454288.459147127,1572381,,,,,0.5931521111777553
Nashville,66.5094342428732,79.19224446351299,65993.5370529275,1.2809747773730242,51.92095536749622,43.267462806246854,5881.291844668087,664.384827305228,1459.375591,969587,3907441.0665514525,969587,.,447.40709932841406,652935,2631331.7245268063,652935,,,,,0.6734155882865591
New Orleans,70.11391631549093,78.21449678598356,65178.74732165296,1.3343557809401991,52.54514374426289,43.78761978688574,6023.550413680194,1381.8089483990395,651.105206,899703,8323395.862756028,899703,.,685.1227664734722,446087,4126871.5234130025,446087,,,,,0.49581584144990076
New York,60.63606006157278,75.64626217318956,63038.5518109913,1.213694116825805,49.959919242383165,41.63326603531931,5445.413152411032,2053.640698283641,8935.98136,18351295,11182922.068760315,11182922.068760315,.,813.9335465220801,7273295,4432204.439419891,4432204.439419891,,,,,0.39633687976788556
Oklahoma City,62.746727907823015,70.34379555446684,58619.829628722364,1.243847517949237,50.44567521529901,42.038062679415845,5551.818496828348,810.0396797726283,1063.53432,861505,4497193.277326589,861505,.,425.70699552037024,452754,2363447.971959214,452754,,,,,0.5255384472521925
Orlando,63.67703994300269,76.27854176282709,63565.45146902258,1.3227647345428062,48.13935409686569,40.11612841405474,5055.776866458134,975.7775860793671,1548.012602,1510516,4933313.746508424,1510516,.,552.8792200362203,855864,2795233.970604539,855864,,,,,0.5666037301160662
Philadelphia,57.5831982772522,70.0901022214275,58408.418517856255,1.1733077141049333,49.07766103044842,40.898050858707016,5254.786724015241,1060.3784681288619,5131.721516,5441567,5572062.6967551615,5441567,.,471.8866743742453,2421591,2479663.831741487,2421591,,,,,0.44501721654810095
Phoenix,65.52311377460158,75.05827255325492,62548.560461045774,1.2802850434359947,51.17853567886133,42.64877973238444,5714.300722696406,1222.0875996258867,2969.60218,3629114,6983376.053740521,3629114,.,489.41201949144585,1453359,2796647.456676277,1453359,,,,,0.4004721262545073
