Area,1990,2000,2010,2010-1990,2010-2000
Atlanta,1481781,2129188,2003047,521266,-126141
Austin,404016,580485,640563,236547,60078
Baltimore,1191813,1063684,1059610,-132203,-4074
Boston,2141717,3075331,2902747,761030,-172584
Buffalo,531122,475627,455704,-75418,-19923
Charlotte,604856,811507,727384,122528,-84123
Chicago,3841337,4189789,3797772,-43565,-392017
Cincinnati,812766,934953,874547,61781,-60406
Cleveland,1242099,1077676,870158,-371941,-207518
Columbus,677859,773508,750329,72470,-23179
Dallas,1976606,2601083,2510280,533674,-90803
Denver,964912,1080509,1038146,73234,-42363
Detroit,2079880,1953268,1500978,-578902,-452290
Grand Rapids,337335,530965,318367,-18968,-212598
Virginia Beach,698999,573634,593797,-105202,20163
Hartford,561969,567921,529323,-32646,-38598
Honolulu,437518,320461,335934,-101584,15473
Houston,1759796,1870780,2176567,416771,305787
Indianapolis,624971,813465,742919,117948,-70546
Riverside,766953,877495,957326,190373,79831
Jacksonville,443882,497222,860640,416758,363418
Kansas City,771309,891412,928617,157308,37205
Las Vegas,371128,691875,731876,360748,40001
Los Angeles,6042090,5298837,4852354,-1189736,-446483
Louisville,446876,516026,515000,68124,-1026
Memphis,448237,537466,509166,60929,-28300
Milwaukee,772752,781664,737279,-35473,-44385
Minneapolis,1307624,1642398,1572381,264757,-70017
Nashville,495717,634772,652935,157218,18163
New Orleans,514726,541312,446087,-68639,-95225
New York,8550473,7884550,7273295,-1277178,-611255
Oklahoma City,450122,441416,452754,2632,11338
Orlando,557448,818126,855864,298416,37738
Philadelphia,2794917,2550674,2421591,-373326,-129083
Phoenix,996495,1402830,1453359,456864,50529
Pittsburgh,956154,1038641,1030938,74784,-7703
Portland,724532,877359,870794,146262,-6565
Providence,544668,629305,590501,45833,-38804
Raleigh,399701,614595,410617,10916,-203978
Rochester,481467,455184,415085,-66382,-40099
Sacramento,685945,585187,621068,-64877,35881
Salt Lake City,479338,611285,526157,46819,-85128
San Antonio,569149,635453,718175,149026,82722
San Diego,1230446,1081762,1101324,-129122,19562
San Francisco,1970387,2048499,1767793,-202594,-280706
San Jose,946363,1042998,857032,-89331,-185966
Seattle,1308338,1481715,1435764,127426,-45951
Miami,1476085,1485934,1820909,344824,334975
St. Louis,1144336,1220621,1169641,25305,-50980
Tampa Bay,914711,1042912,932231,17520,-110681
Washington,2214350,2278636,2370531,156181,91895
,,,,,
Average,1257805.3137254901,1344352.843137255,1287985.4117647058,30180.098039215685,-56367.43137254902
