0.5,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],30 min Distance [m],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,60.37546801014345,63.99799609075206,30187.734005071725,1.2597492146433538,47.92657721738392,23.96328860869196,1804.0256550872655,964.6739130434783,2944,2840000,1740296.4879238566,1740296.4879238566,.,503.32235054347825,1481781,908006.4331592607,908006.4331592607
Austin,63.478689145973746,67.92219738619193,31739.344572986873,1.3586810860714802,46.72081608901865,23.360408044509324,1714.3943298414747,932.8621908127209,707.5,660000,1599293.6504528245,660000,.,571.0473498233216,404016,979000.3386081036,404016
Baltimore2,60.37745029626894,64.60387181700777,30188.72514813447,1.2586520691285787,47.9699289240997,23.98496446204985,1807.2907729721942,1296.8393613554904,1534.5,1990000,2343765.8118049307,1990000,.,776.6783968719452,1191813,1403683.7002335025,1191813
Boston,61.541690600746875,67.69585966082157,30770.84530037344,1.2254345337287071,50.22030056023481,25.110150280117406,1980.835891242225,1563.9892556970801,2308.2,3610000,3098006.05120199,3098006.05120199,.,927.8732345550646,2141717,1837964.6055296876,1837964.6055296876
Buffalo,73.27659816495958,76.20766209155798,36638.29908247979,1.1906802761982174,61.54179222564104,30.77089611282052,2974.6108703619943,1440.1622718052738,739.5,1065000,4283922.348797193,1065000,.,718.2177146720758,531122,2136418.221350106,531122
Charlotte,66.90817657705539,71.59174893744927,33454.088288527695,1.258397202501825,53.169362141011554,26.584681070505777,2220.305740715941,862.4820316243412,626.1,540000,1914973.8060798724,540000,.,966.0693180003194,604856,2144969.252685643,604856
Chicago,59.830534500000006,64.61697726000001,29915.267250000004,1.2318699042857018,48.56887427142127,24.284437135710636,1852.7036469667555,1830.0112091232515,4103.8,7510000,3390468.44113269,3390468.44113269,.,936.0439105219552,3841337,1734211.96674505,1734211.96674505
Cincinnati,67.51882116890982,74.2707032858008,33759.41058445491,1.3042447050757657,51.768522353316776,25.884261176658388,2104.851296621722,860.24750980984,1325.2,1140000,1810693.0864388496,1140000,.,613.3157259281618,812766,1290938.4009583842,812766
Cleveland,70.27014784368207,77.29716262805029,35135.07392184103,1.18896059886234,59.10216697754345,29.551083488771724,2743.4477321139084,1068.6095931997572,1647,1760000,2931674.56497904,1760000,.,754.1584699453551,1242099,2068994.3440260796,1242099
Columbus,67.72593293272408,77.20756354330544,33862.96646636204,1.2256372712216081,55.25772960969177,27.628864804845886,2398.1478538297565,973.9169371991493,893.3,870000,2335596.8127525896,870000,.,758.8257024515841,677859,1819776.229765124,677859
Dallas-Fort Worth,66.03146949483623,76.59650461401002,33015.734747418115,1.2795054806790753,51.60702356647286,25.80351178323643,2091.739054448278,869.5652173913044,3737.5,3250000,1818903.525607198,1818903.525607198,.,528.8577926421405,1976606,1106232.4991188743,1106232.4991188743
Denver,65.00214079321759,76.05250472806458,32501.070396608797,1.3549453384351537,47.973994927566245,23.986997463783123,1807.5971633357265,1329.5186805789297,1188.4,1580000,2403234.195616331,1580000,.,811.9421070346684,964912,1467664.2494686993,964912
Detroit,59.74012668400049,69.89594822028057,29870.063342000245,1.2210672341555926,48.924518661179796,24.462259330589898,1879.9357403920462,1369.2488100986411,2899.4,3970000,2574099.775593717,2574099.775593717,.,717.3484169138442,2079880,1348568.9272699899,1348568.9272699899
Grand Rapids,70.9393812037455,83.70846982041968,35469.690601872746,1.2544780223802419,56.548923088461436,28.274461544230718,2511.5310906635987,1190.58976132826,578.2,688399,2990203.2018016786,688399,.,583.4226911103424,337335,1465284.22772225,337335
Hampton Roads,64.89864925681238,85.66621701899234,32449.32462840619,1.312046755370444,49.463671161999756,24.731835580999878,1921.5981587591652,770.8418174413869,1718.9,1325000,1481248.2170899375,1325000,.,406.65483739600904,698999,781427.1867906788,698999
Hartford,70.55011752171079,84.66014102605294,35275.0587608554,1.2290898816431728,57.400291529039514,28.700145764519757,2587.724738241657,1320.2112337974077,624.9,825000,3416343.269402092,825000,.,899.2942870859338,561969,2327126.073651666,561969
