,2010 Rank,,,,,,,,2000 Rank,,,,,,,,Difference in Rank,,,,,,,,Rank of Gain in Rank,,,,,
Area,10,20,30,40,50,60,,,10,20,30,40,50,60,,,10,20,30,40,50,60,,,10,20,30,40,50,60
Atlanta,51,51,37,15,9,9,,Atlanta,50,49,41,22,12,8,,Atlanta,1,2,-4,-7,-3,1,,Atlanta,25,19,41,49,43,12
Austin,31,29,35,37,37,37,,Austin,29,30,38,40,40,40,,Austin,2,-1,-3,-3,-3,-3,,Austin,21,27,36,42,43,43
Baltimore,18,16,10,18,18,18,,Baltimore,24,21,9,19,20,20,,Baltimore,-6,-5,1,-1,-2,-2,,Baltimore,37,34,23,29,36,38
Boston,20,18,9,6,4,4,,Boston,9,7,3,2,3,4,,Boston,11,11,6,4,1,0,,Boston,9,10,9,6,12,20
Buffalo,30,27,45,45,45,45,,Buffalo,23,22,48,48,48,48,,Buffalo,7,5,-3,-3,-3,-3,,Buffalo,14,16,36,42,43,43
Charlotte,47,44,30,34,34,34,,Charlotte,22,20,19,30,30,30,,Charlotte,25,24,11,4,4,4,,Charlotte,3,4,6,6,5,5
Chicago,14,13,5,3,3,3,,Chicago,32,29,15,7,5,3,,Chicago,-18,-16,-10,-4,-2,0,,Chicago,46,45,46,45,36,20
Cincinnati,44,41,23,24,24,24,,Cincinnati,34,28,13,24,24,24,,Cincinnati,10,13,10,0,0,0,,Cincinnati,10,8,7,22,21,20
Cleveland,34,32,18,26,26,26,,Cleveland,6,5,6,18,19,19,,Cleveland,28,27,12,8,7,7,,Cleveland,2,3,3,2,2,2
Columbus,15,12,26,30,30,30,,Columbus,5,3,25,32,32,32,,Columbus,10,9,1,-2,-2,-2,,Columbus,10,13,23,38,36,38
Dallas-Fort Worth,17,17,7,5,5,5,,Dallas-Fort Worth,17,16,5,5,4,5,,Dallas-Fort Worth,0,1,2,0,1,0,,Dallas-Fort Worth,26,22,18,22,12,20
Denver,25,28,16,19,19,19,,Denver,20,23,11,17,18,18,,Denver,5,5,5,2,1,1,,Denver,16,16,14,13,12,12
Detroit,33,31,17,12,13,13,,Detroit,37,37,23,12,9,10,,Detroit,-4,-6,-6,0,4,3,,Detroit,36,38,44,22,5,9
Grand Rapids,23,47,51,51,51,51,,Grand Rapids,8,9,45,45,45,45,,Grand Rapids,15,38,6,6,6,6,,Grand Rapids,7,2,9,4,4,4
Virginia Beach,36,35,39,39,39,39,,Virginia Beach,51,50,40,41,41,41,,Virginia Beach,-15,-15,-1,-2,-2,-2,,Virginia Beach,44,44,31,38,36,38
Hartford,40,36,41,41,41,41,,Hartford,18,13,39,42,42,42,,Hartford,22,23,2,-1,-1,-1,,Hartford,4,5,18,29,31,32
Honolulu,24,42,50,50,50,50,,Honolulu,10,41,51,51,51,51,,Honolulu,14,1,-1,-1,-1,-1,,Honolulu,8,22,31,29,31,32
Houston,27,21,11,7,8,8,,Houston,43,44,28,14,10,11,,Houston,-16,-23,-17,-7,-2,-3,,Houston,45,48,48,49,36,43
Indianapolis,41,38,27,31,31,31,,Indianapolis,38,36,21,29,29,29,,Indianapolis,3,2,6,2,2,2,,Indianapolis,18,19,9,13,11,10
Riverside,4,4,14,21,21,21,,Riverside,13,14,14,26,26,26,,Riverside,-9,-10,0,-5,-5,-5,,Riverside,39,41,29,48,50,50
Jacksonville,9,7,19,27,27,27,,Jacksonville,48,48,47,47,47,47,,Jacksonville,-39,-41,-28,-20,-20,-20,,Jacksonville,51,51,51,51,51,51
Kansas City,13,14,15,23,23,23,,Kansas City,16,11,12,25,25,25,,Kansas City,-3,3,3,-2,-2,-2,,Kansas City,32,18,17,38,36,38
Las Vegas,11,10,29,33,33,33,,Las Vegas,14,15,29,33,33,33,,Las Vegas,-3,-5,0,0,0,0,,Las Vegas,32,34,29,22,21,20
Los Angeles,3,2,1,1,1,2,,Los Angeles,4,4,2,1,1,1,,Los Angeles,-1,-2,-1,0,0,1,,Los Angeles,30,30,31,22,21,12
Louisville,32,30,43,43,43,43,,Louisville,42,40,46,46,46,46,,Louisville,-10,-10,-3,-3,-3,-3,,Louisville,41,41,36,42,43,43
Memphis,42,39,44,44,44,44,,Memphis,40,39,43,44,44,44,,Memphis,2,0,1,0,0,0,,Memphis,21,25,23,22,21,20
Milwaukee,12,9,28,32,32,32,,Milwaukee,19,17,22,31,31,31,,Milwaukee,-7,-8,6,1,1,1,,Milwaukee,38,40,9,15,12,12
Minneapolis,7,6,4,10,12,12,,Minneapolis,21,19,7,6,11,12,,Minneapolis,-14,-13,-3,4,1,0,,Minneapolis,43,43,36,6,12,20
Nashville,35,33,34,36,36,36,,Nashville,33,31,32,35,35,35,,Nashville,2,2,2,1,1,1,,Nashville,21,19,18,15,12,12
New Orleans,6,19,47,47,47,47,,New Orleans,3,8,42,43,43,43,,New Orleans,3,11,5,4,4,4,,New Orleans,18,10,14,6,5,5
New York,5,5,3,2,2,1,,New York,15,10,4,3,2,2,,New York,-10,-5,-1,-1,0,-1,,New York,41,34,31,29,21,32
Oklahoma City,37,37,46,46,46,46,,Oklahoma City,30,27,50,50,50,50,,Oklahoma City,7,10,-4,-4,-4,-4,,Oklahoma City,14,12,41,45,49,49
Orlando,26,24,21,29,29,29,,Orlando,46,45,30,28,28,28,,Orlando,-20,-21,-9,1,1,1,,Orlando,48,47,45,15,12,12
Philadelphia,38,34,22,11,6,6,,Philadelphia,39,35,20,10,6,6,,Philadelphia,-1,-1,2,1,0,0,,Philadelphia,30,27,18,15,21,20
Phoenix,22,26,13,13,14,14,,Phoenix,31,33,17,13,15,15,,Phoenix,-9,-7,-4,0,-1,-1,,Phoenix,39,39,41,22,31,32
Pittsburgh,49,49,31,20,20,20,,Pittsburgh,44,43,26,21,23,23,,Pittsburgh,5,6,5,-1,-3,-3,,Pittsburgh,16,15,14,29,43,43
Portland,39,40,24,25,25,25,,Portland,36,42,27,27,27,27,,Portland,3,-2,-3,-2,-2,-2,,Portland,18,30,36,38,36,38
Providence,45,43,40,40,40,40,,Providence,25,24,33,36,36,36,,Providence,20,19,7,4,4,4,,Providence,5,6,8,6,5,5
Raleigh,48,45,49,49,49,49,,Raleigh,7,6,34,37,37,37,,Raleigh,41,39,15,12,12,12,,Raleigh,1,1,1,1,1,1
Rochester,21,25,48,48,48,48,,Rochester,12,18,49,49,49,49,,Rochester,9,7,-1,-1,-1,-1,,Rochester,12,14,31,29,31,32
Sacramento,19,20,38,38,38,38,,Sacramento,45,46,37,39,39,39,,Sacramento,-26,-26,1,-1,-1,-1,,Sacramento,49,49,23,29,31,32
Salt Lake City,8,11,42,42,42,42,,Salt Lake City,11,12,36,38,38,38,,Salt Lake City,-3,-1,6,4,4,4,,Salt Lake City,32,27,9,6,5,5
