1.1666666666666667,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],70 min Distance [m],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,52.31679,68.53499,61036.255000000005,1.2119364714264287,43.167931020694525,50.36258619081028,7968.304466554628,757.4179384746532,5083.058909,3850000,6035336.742196177,3850000,.,418.87926898310906,2129188,3337757.5499852453,2129188
Austin,53.19888,67.56258,62065.36000000001,1.2859272567065165,41.37005396110165,48.26506295461859,7318.391300822632,1165.1270412957495,823.944485,960000,8526855.603372024,960000,.,704.5195526735032,580485,5155949.765545217,580485
Baltimore2,57.5626,71.37762,67156.36666666667,1.2137406790089036,47.42578130198579,55.330078185650095,9617.726891028775,1249.8156960132164,1768.260718,2210000,12020386.028376156,2210000,.,601.542515293268,1063684,5785471.625433152,1063684
Boston,60.28802,74.15427,70336.02333333335,1.188835199103437,50.711839660759004,59.16381293755217,10996.695086273807,876.2031495148894,4496.67409,3940000,9635338.868848018,3940000,.,683.9123624367448,3075331,7520775.715450062,3075331
Buffalo,60.07548,64.28076,70088.06,1.1808396571201218,50.87522225203246,59.35442596070454,11067.667182321264,1174.0141455753533,949.73302,1115000,12993597.830565276,1115000,.,500.80074082293146,475627,5542695.924088135,475627
Charlotte,54.73937,66.78204,63862.598333333335,1.2247359431640967,44.694834266545016,52.14397331096919,8541.971426816232,767.9222461130181,1126.416124,865000,6559569.884313943,865000,.,720.4326915334532,811507,6153915.466023069,811507
Chicago,47.50277,64.12874,55419.89833333334,1.1909479168044974,39.886521761134176,46.53427538798987,6802.9265815355975,1482.3418622036777,5498.056965,8150000,10084262.857308377,8150000,.,762.0490341718386,4189789,5184163.63100113,4189789
Cincinnati,59.70134,70.44758,69651.56333333334,1.2667491733231422,47.12956697132215,54.98449479987584,9497.960319875006,885.1262145409509,1739.864863,1540000,8406893.663791124,1540000,.,537.3710452361724,934953,5103928.864702923,934953
Cleveland,62.77554,69.05309,73238.13,1.1621016171922494,54.01897654326634,63.0221393004774,12477.746417575872,1065.2097286959158,1675.72634,1785000,13291416.87620243,1785000,.,643.1097812784873,1077676,8024560.769455647,1077676
Columbus,60.79675,71.13219,70929.54166666669,1.183542306862122,51.368463676797475,59.92987428959706,11283.31223207167,1106.7339674828359,1030.05784,1140000,12487624.912948292,1140000,.,750.9364716839591,773508,8473050.676460357,773508
Dallas-Fort Worth,56.96404,70.06577,66458.04666666666,1.2193729675148768,46.715846191091664,54.501820556273614,9331.939009375052,1122.3258612680775,3644.217906,4090000,10473476.485998025,4090000,.,713.7561658202335,2601083,6660729.006999805,2601083
Denver,50.87279,67.15208,59351.58833333334,1.3202083793328145,38.533909340667314,44.95622756411187,6349.354778221559,1567.4515055293143,1291.905997,2025000,9952305.706263129,2025000,.,836.3681277965303,1080509,5310397.9685771195,1080509
Detroit,50.51411,65.16321,58933.12833333334,1.1988194858743704,42.13654398781903,49.15930131912221,7592.088750862406,1233.4944074099687,3267.140877,4030000,9364799.014748914,4030000,.,597.8523955763907,1953268,4538948.447131657,1953268
Grand Rapids,56.83914564234036,63.091451662997805,66312.33658273042,1.2359442356366064,45.98843863943734,53.6531784126769,9043.58827271991,832.6530183104809,666.544152,555000,7530171.071637501,555000,.,796.5938916526567,530965,7204067.17667028,530965
Hampton Roads,54.51603,64.32891,63602.03500000001,1.3090934331770356,41.64410928843725,48.58479416984346,7415.673615500347,1114.0347356616915,1364.40988,1520000,8261317.995997309,1520000,.,420.4264483924728,573634,3117745.320602579,573634
Hartford,68.56857,75.42543,79996.665,1.220435517139151,56.18368937732413,65.54763760687815,13497.830203620668,715.700947685785,1215.591516,870000,9660409.868433123,870000,.,467.1972389777686,567921,6306149.003322309,567921
Honolulu,58.40320294694695,68.9157794773974,68137.07010477144,1.4583947115917961,40.04622512872494,46.72059598351243,6857.512706326221,1753.595502073632,399.179856,700000,12025303.437226439,700000,.,802.7985259857402,320461,5505201.092567174,320461
Houston,53.7673,68.82214,62728.51666666667,1.2582598860553782,42.73147431295732,49.85338669845021,7807.989236847569,1082.0570893248787,3354.721332,3630000,8448690.107103262,3630000,.,557.6558571810459,1870780,4354170.930734612,1870780
Indianapolis,53.33619,65.07016,62225.55500000001,1.201210301472189,44.40204178621495,51.80238208391744,8430.422384112624,719.244812499162,1432.0576,1030000,6063537.566949822,1030000,.,568.0393023297387,813465,4788811.249416348,813465
Inland Empire2,57.81975,71.69648,67456.37500000001,1.3290744574755469,43.503770368007245,50.75439876267512,8092.7709303796555,1434.3253447427585,1136.422783,1630000,11607666.454640973,1630000,.,772.155410052176,877495,6248876.856205633,877495
Jacksonville,54.3979,63.64554,63464.216666666674,1.306838911298739,41.62555884255027,48.56315198297532,7409.068435781608,837.0706791340551,1063.231603,890000,6201913.947290402,890000,.,467.6516373262844,497222,3464862.985055762,497222
Kansas City,63.34106,69.04175,73897.90333333334,1.243083879274174,50.95477550314971,59.447238087008,11102.307121346883,941.4472355544217,1513.627048,1425000,10452236.347668191,1425000,.,588.9244653614303,891412,6538420.285717613,891412
Las Vegas,50.76474,64.47121,59225.530000000006,1.3374697435173433,37.95580441804718,44.281771821055045,6160.271486132178,1755.5750317549087,740.498114,1300000,10814818.809885357,1300000,.,934.3372885349443,691875,5755771.356991871,691875
Los Angeles2,47.96656,70.9905,55960.98666666667,1.2292552252506423,39.020830674296896,45.52430245334638,6510.831751757559,2881.990935894984,4319.930311,12450000,18764158.093702544,12450000,.,1226.6024260871461,5298837,7986202.022551045,5298837
Louisville,57.96375,68.97688,67624.375,1.2944463386591094,44.77879713425855,52.241929989968305,8574.095142935368,848.5822084326122,1013.455139,860000,7275824.591703429,860000,.,509.17497987051996,516026,4365714.721812039,516026
Memphis,57.32139,64.77317,66874.955,1.2681540262370201,45.20065292864239,52.73409508341613,8736.407208732131,946.3821075160068,1035.522536,980000,8267979.466317949,980000,.,519.0287814267327,537466,4534446.787595961,537466
Milwaukee,57.25628,65.84471,66798.99333333333,1.1757944886828606,48.69582274036612,56.811793197093806,10139.741133914276,1109.84168212254,1261.441179,1400000,11253507.356350532,1400000,.,619.6594918675951,781664,6283186.838710273,781664
Minneapolis-St.Paul,55.30265,69.68134,64519.758333333346,1.2190258818005368,45.36626401919898,52.92730802239881,8800.543294720113,1049.2157487922923,2316.01556,2430000,9233668.622748751,2430000,.,709.1480853436063,1642398,6240888.427434281,1642398
Nashville,60.80458,70.53332,70938.67666666667,1.3121928723308884,46.33814226714321,54.06116597833375,9181.649058959636,761.8615008051859,1115.688349,850000,6995144.931925511,850000,.,568.9509983401288,634772,5223908.398503789,634772
New Orleans,56.71207,65.21888,66164.08166666667,1.3071078254450557,43.387445852594574,50.61868682802701,8049.550351428427,2137.0329710580395,512.392656,1095000,17202154.503194377,1095000,.,1056.4398097071867,541312,8503865.441491466,541312
New York,51.8687,66.91063,60513.48333333333,1.2183813470006961,42.57181064671237,49.66711242116444,7749.750049648961,1980.8358108488483,8683.203275,17200000,15350982.423472302,15350982.423472302,.,908.0231972342027,7884550,7036952.817848171,7036952.817848171
Oklahoma City,59.51772,65.46949,69437.34000000001,1.2445778552587923,47.821612564064246,55.791881324741624,9778.942335321544,970.1899612180936,834.888045,810000,9487431.685059583,810000,.,528.7128048407975,441416,5170252.030484272,441416
Orlando,45.74069,60.83512,53364.138333333336,1.2721723423067837,35.954790462635025,41.947255539740866,5527.8592456294355,1047.9139885488814,1173.760455,1230000,5792721.030224352,1230000,.,697.0127478012538,818126,3852988.362254739,818126
Philadelphia,52.86588,66.61101,61676.86,1.1752189030826308,44.983857782861875,52.48116741333886,8652.803612504185,1099.6163268490113,4660.716538,5125000,9514764.125327708,5125000,.,547.2707853403464,2550674,4735426.628410952,2550674
Phoenix,52.44265,67.12659,61183.09166666667,1.3000415167328212,40.33921172901879,47.06241368385526,6958.221776597509,1401.3597327768193,2069.418674,2900000,9750971.80945453,2900000,.,677.8860254935537,1402830,4716881.30464038,1402830
Pittsburgh,58.55113,64.40624,68309.65166666667,1.2428095550962583,47.11190846570622,54.963893209990594,9490.844261918153,799.4758065881405,2207.696575,1765000,7587700.371499441,1765000,.,470.4636550881092,1038641,4465097.281334022,1038641
Portland,53.08795,67.95258,61935.94166666667,1.416923050931576,37.46706637674966,43.71157743954128,6002.647373477377,1295.3047985550368,1227.510314,1590000,7775257.946899035,1590000,.,714.7467438713512,877359,4290372.664800874,877359
Providence,62.4824,71.22993,72896.13333333333,1.2357077469651359,50.56405946588507,58.99140271019925,10932.69717581934,927.6286640084529,1304.401262,1210000,10141483.275214281,1210000,.,482.44740198664414,629305,5274451.349180762,629305
Raleigh,61.62895,70.25701,71900.44166666668,1.1984192034035577,51.42520232066656,59.99606937411099,11308.251790410264,954.3449701689278,827.79291,790000,10791973.217581809,790000,.,742.4501860012307,614595,8395813.64513885,614595
Rochester,62.089397559255026,65.81476141281033,72437.63048579755,1.1879150051013052,52.267542115910935,60.97879913522943,11681.741929396632,869.9136924744846,764.443652,665000,10162107.256335434,665000,.,595.4448033012118,455184,6955832.525365096,455184
Sacramento,53.29741,67.68771,62180.31166666667,1.4543258899652016,36.64750133910858,42.75541822896001,5742.912385943904,1538.0035288978304,955.784543,1470000,8832619.515732784,1470000,.,612.258279636146,585187,3516145.657519129,585187
Salt Lake City,52.23418,63.7257,60939.87666666667,1.436470236267482,36.36286967958701,42.423347959518175,5654.051382667998,1539.5789483851775,597.565978,920000,8704858.481843755,920000,.,1022.958171156123,611285,5783858.062036804,611285
San Antonio,59.60624,71.52749,69540.61333333334,1.2836412305500746,46.43528003105442,54.17449336956349,9220.184038375406,1193.6639046698626,1055.573512,1260000,11005800.88102193,1260000,.,601.997864455697,635453,5550531.100990499,635453
San Diego,53.16983,70.71587,62031.46833333334,1.3854840987267374,38.37635527456661,44.772414486994386,6297.5395550165085,1372.086028348845,2026.112024,2780000,8640766.036412355,2780000,.,533.9102612225552,1081762,3362320.988878238,1081762
San Francisco1,53.32521,72.52228,62212.745,1.354285780964453,39.37515312464147,45.937678645415055,6629.6097322939,3692.1786197984,1107.747057,4090000,24477703.311182935,4090000,.,1849.2479732221034,2048499,12259792.360698028,2048499
San Jose1,50.66389,67.88962,59107.87166666667,1.4206037187584837,35.663633236351785,41.60757210907708,5438.69396444843,2486.329968574823,673.683711,1675000,13522387.793715144,1675000,.,1548.2013042170763,1042998,8420193.0889966,1042998
Seattle,58.18665,73.89704,67884.425,1.3832680690468055,42.06462312116824,49.07539364136295,7566.193717477348,1109.3651265048711,2469.881137,2740000,8393671.45054962,2740000,.,599.9134848245129,1481715,4539061.639909172,1481715
South Florida,59.82909,81.36757,69800.60500000001,1.2291219062835725,48.67628645632221,56.78900086570925,10131.606837569068,1717.595801458869,2890.668454,4965000,17402005.3662406,4965000,.,514.0451157391708,1485934,5208103.009441966,1485934
St. Louis,56.50248,66.67293,65919.56,1.3101087912686977,43.1280824741917,50.31609621989032,7953.600088146377,957.1610570629796,2146.974101,2055000,7612876.267826394,2055000,.,568.5308450770176,1220621,4521866.979518501,1220621
Tampa Bay,47.58084,59.95186,55510.98,1.245312501522997,38.207951772594754,44.57594373469388,6242.390972083415,962.522066540267,2077.87444,2000000,6008439.058602035,2000000,.,501.91290672982143,1042912,3133136.5977423824,1042912
Washington2,49.55658,67.39695,57816.01,1.265366248306604,39.16382317476846,45.691127037229876,6558.637291984273,1345.122642374673,2996.00934,4030000,8822171.524570955,4030000,.,760.5570415211055,2278636,4988217.7752015535,2278636
,,,,,,,,,,,,,,,,,
