0.3333333333333333,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],20 Minute Distance,20 Minute Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E",,,,,Accessibility Ratio
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E,,,,,R=A_E/A_P
Atlanta,66.68239716375706,79.77374908056166,26591.249693520553,1.3087124907830403,50.95267114311644,16.984223714372146,906.235928259179,659.0477708935927,6851.428985,4515419,597252.7684228977,597252.7684228977,.,292.35463206074525,2003047,264942.2713664402,264942.2713664402,,,,,0.4436015793883138
Austin,67.1321892285672,79.51902759368085,26506.34253122695,1.3723222910878397,48.91867578377053,16.30622526125684,835.3274397431858,1005.7320851324054,1354.651025,1362416,840115.607741228,840115.607741228,.,472.8620051795259,640563,394994.60813844245,394994.60813844245,,,,,0.4701669680919778
Baltimore2,64.33133072826236,77.15231995448468,25717.439984828226,1.3092658889264803,49.1354210572233,16.3784736857411,842.7460531955478,1186.6066340855928,1857.113332,2203663,1000008.0575712869,1000008.0575712869,.,570.5683017518718,1059610,480844.1843798763,480844.1843798763,,,,,0.48084030997480104
Boston,59.08384417630565,71.20194964854586,23733.983216181954,1.2579493722607327,46.96838003116349,15.656126677054496,770.0492921116801,861.6700182833223,4852.227548,4181019,663528.3876129307,663528.3876129307,.,598.2297761770178,2902747,460666.41566524137,460666.41566524137,,,,,0.6942678327938715
Buffalo,61.52546201403905,70.65055677780813,23550.18559260271,1.224218672913259,50.25692172104157,16.75230724034719,881.6559273089895,951.109255078426,984.015238,935906,838551.112258332,838551.112258332,.,463.10664957405874,455704,408300.72257317597,408300.72257317597,,,,,0.4869121471600779
Charlotte,64.0526815140792,75.74245959811465,25247.486532704883,1.2718268758603823,50.36273625743912,16.787578752479703,885.3724392587189,650.5968834128471,1920.454942,1249442,576020.5496413528,576020.5496413528,.,378.7560874729442,727384,335340.20105000935,335340.20105000935,,,,,0.5821670793842371
Chicago,62.25587188398059,73.23267635618011,24410.8921187267,1.2622043331825756,49.323132750626826,16.44104425020894,849.1974260618907,1360.6187423043561,6326.686332,8608208,1155433.9338164262,1155433.9338164262,.,600.2782184397379,3797772,509754.7180200428,509754.7180200428,,,,,0.4411803246389957
Cincinnati,63.81626979604995,74.14207195492925,24714.023984976415,1.3346635676863023,47.814498980202366,15.938166326734121,798.0435320565836,796.3910638802463,2040.237609,1624827,635554.737517292,635554.737517292,.,428.64958284375984,874547,342081.02710721525,342081.02710721525,,,,,0.5382400710967999
Cleveland,60.599390167439914,69.65395403984837,23217.984679949455,1.2210242271152514,49.62996541895806,16.54332180631935,859.7957784742473,890.6045978114746,1999.397942,1780673,765738.0734880607,765738.0734880607,.,435.21001083435146,870158,374191.7300651068,374191.7300651068,,,,,0.4886680485411976
Columbus,64.04641174171243,74.901794999095,24967.264999698335,1.247954909153181,51.321094433750105,17.1070314779167,919.3887425081662,1034.7499169004755,1322.092399,1368035,951337.4249095576,951337.4249095576,.,567.5314377176145,750329,521782.0148570492,521782.0148570492,,,,,0.5484720785652413
Dallas-Fort Worth,65.99143770414402,78.09733145840165,26032.44381946722,1.3241222203723044,49.83787500038264,16.612625000127544,867.0145709376852,1111.5370303722236,4607.936452,5121892,963718.8014695223,963718.8014695223,.,544.773137856633,2510280,472326.2483771451,472326.2483771451,,,,,0.4901079522957532
Denver,60.70561775485221,72.57646725599626,24192.155751998755,1.382383812463321,43.91372150595327,14.63790716865109,673.1437997320932,1372.380626126141,1729.988718,2374203,923809.5093492595,923809.5093492595,.,600.0883064718345,1038146,403945.7227932475,403945.7227932475,,,,,0.43726084079583766
Detroit,62.14790113348605,71.57962292036937,23859.874306789792,1.246103728819398,49.87377831889416,16.624592772964718,868.2642194384495,1078.2087468947925,3463.23475,3734090,936170.0760143157,936170.0760143157,.,433.40348210585495,1500978,376308.73609254614,376308.73609254614,,,,,0.4019662086345
Grand Rapids,67.78467421688788,73.48493042683263,24494.976808944208,1.276401235569196,53.106086337075745,17.702028779025248,984.4552007175309,784.2973750588556,726.682274,569935,772105.6297857983,569935,.,438.1103150453344,318367,431299.9781343754,318367,,,,,0.5586022967531385
Virginia Beach,64.71536663352344,75.51148714210532,25170.495714035107,1.3392188111212502,48.323221042079766,16.107740347359922,815.1154279517291,1078.4020248075806,1334.999348,1439666,879022.1279550422,879022.1279550422,.,444.7919775313628,593797,362556.80311497266,362556.80311497266,,,,,0.412454694352718
