1.1666666666666667,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],70 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E",,,,,Accessibility Ratio
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E,,,,,R=A_E/A_P
Atlanta,66.68239716375706,79.77374908056166,93069.37392732194,1.1994894097934046,55.59231838090357,64.85770477772084,13215.178200921997,659.0477708935927,6851.428985,4515419,8709433.73527924,4515419,.,292.35463206074525,2003047,3863518.560547732,2003047,,,,,0.4436015793883138
Austin,67.1321892285672,79.51902759368085,92772.19885929432,1.2686558801685661,52.91599580151503,61.735328435100875,11973.397441979467,1005.7320851324054,1354.651025,1362416,12042029.975441018,1362416,.,472.8620051795259,640563,5661764.723225817,640563,,,,,0.4701669680919778
Baltimore2,64.33133072826236,77.15231995448468,90011.0399468988,1.2246097283275779,52.53210818120661,61.28745954474105,11800.301720064972,1186.6066340855928,1857.113332,2203663,14002316.305240726,2203663,.,570.5683017518718,1059610,6732878.112577163,1059610,,,,,0.4808403099748011
Boston,59.08384417630565,71.20194964854586,83068.94125663684,1.1860014644783186,49.817682309772366,58.1206293614011,10612.323725989816,861.6700182833223,4852.227548,4181019,9144321.179002179,4181019,.,598.2297761770178,2902747,6348608.047316943,2902747,,,,,0.6942678327938716
Buffalo,61.52546201403905,70.65055677780813,82425.6495741095,1.1689289949876671,52.63404559032961,61.40638652205122,11846.142609338698,951.109255078426,984.015238,935906,11266975.87272093,935906,.,463.10664957405874,455704,5486027.414187342,455704,,,,,0.48691214716007797
Charlotte,64.0526815140792,75.74245959811465,88366.2028644671,1.2189910044278438,52.545655613056404,61.30326488189914,11806.388831449565,650.5968834128471,1920.454942,1249442,7681199.7781013325,1249442,.,378.7560874729442,727384,4471741.640984103,727384,,,,,0.5821670793842372
Chicago,62.25587188398059,73.23267635618011,85438.12241554346,1.182395855959736,52.652308928677925,61.42769375012425,11854.364954534689,1360.6187423043561,6326.686332,8608208,16129271.135255825,8608208,.,600.2782184397379,3797772,7115917.075642548,3797772,,,,,0.4411803246389957
Cincinnati,63.81626979604995,74.14207195492925,86499.08394741746,1.2682519023005123,50.31829219439143,58.70467422679001,10826.678421428924,796.3910638802463,2040.237609,1624827,8622269.946331086,1624827,.,428.64958284375984,874547,4640851.188929045,874547,,,,,0.5382400710967999
Cleveland,60.599390167439914,69.65395403984837,81262.9463798231,1.1538473690936333,52.51941616423822,61.272652191611265,11794.60038644991,890.6045978114746,1999.397942,1780673,10504325.333521286,1780673,.,435.21001083435146,870158,5133128.161973712,870158,,,,,0.48866804854119766
Columbus,64.04641174171243,74.901794999095,87385.42749894418,1.172494087107976,54.624080791474675,63.72809425672046,12758.85598868421,1034.7499169004755,1322.092399,1368035,13202225.174036121,1368035,.,567.5314377176145,750329,7241051.882889946,750329,,,,,0.5484720785652413
Dallas-Fort Worth,65.99143770414402,78.09733145840165,91113.55336813527,1.2194440762579295,54.116001700258295,63.13533531696802,12522.610005535455,1111.5370303722236,4607.936452,5121892,13919344.738062374,5121892,.,544.773137856633,2510280,6821981.546870417,2510280,,,,,0.49010795229575316
Denver,60.70561775485221,72.57646725599626,84672.54513199565,1.332588071446608,45.554675938943724,53.14712192876768,8873.79466335638,1372.380626126141,1729.988718,2374203,12178223.876211837,2374203,.,600.0883064718345,1038146,5325060.411512333,1038146,,,,,0.43726084079583766
Detroit,62.14790113348605,71.57962292036937,83509.56007376428,1.184359051274878,52.47386851697403,61.21951326980304,11774.151440673793,1078.2087468947925,3463.23475,3734090,12694993.070598407,3734090,.,433.40348210585495,1500978,5102958.23322969,1500978,,,,,0.40196620863449994
Grand Rapids,67.78467421688788,73.48493042683263,85732.41883130473,1.2332093689133028,54.96607139517546,64.12708329437137,12919.117471170313,784.2973750588556,726.682274,569935,10132429.920715876,569935,.,438.1103150453344,318367,5659998.62540211,318367,,,,,0.5586022967531385
Virginia Beach,64.71536663352344,75.51148714210532,88096.73499912288,1.3238381040403082,48.88465321855775,57.032095421650716,10218.532472177762,1078.4020248075806,1334.999348,1439666,11019686.10855851,1439666,.,444.7919775313628,593797,4545121.265768392,593797,,,,,0.412454694352718
Hartford,63.83101673639741,74.74296813468234,87200.12949046274,1.2212395547829722,52.26740035270221,60.97863374481925,11681.678561619745,691.7059567557736,1337.06959,924859,8080286.645978595,924859,.,395.88290987905873,529323,4624576.901245842,529323,,,,,0.5723283224794266
Honolulu,54.71093280537417,67.86037611584707,79170.43880182158,1.4457945737747382,37.841429064526565,44.148333908614326,6123.200916798161,1820.7093992818395,440.739747,802459,11148569.46290559,802459,.,762.2049118252091,335934,4667133.814876182,335934,,,,,0.41863073378203747
