Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),,Total,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
Atlanta,87559.6443883267,383924.99077233503,908006.4331592607,1481781,1481781,1481781,1481781,1481781,1481781,,1481781,87559.6443883267,296365.3463840083,524081.4423869256,573774.5668407393,0,0,0,0,0,,1481780.9999999998,,170110.12754215632,22,Atlanta,44,42,22,11,11,11,Atlanta
Austin,98728.96443065163,404016,404016,404016,404016,404016,404016,404016,404016,,404016,98728.96443065163,305287.0355693484,0,0,0,0,0,0,0,,404016,,105998.17278635266,46,Austin,39,38,48,48,48,48,Austin
Baltimore,137289.95507835154,589992.5940325178,1191813,1191813,1191813,1191813,1191813,1191813,1191813,,1191813,137289.95507835154,452702.6389541662,601820.4059674822,0,0,0,0,0,0,,1191813,,207683.3552680667,11,Baltimore,20,11,10,17,17,17,Baltimore
Boston,174509.00644892405,777655.3153273461,1837964.6055296876,2141717,2141717,2141717,2141717,2141717,2141717,,2141717,174509.00644892405,603146.308878422,1060309.2902023415,303752.3944703124,0,0,0,0,0,,2141717,,308755.7964239251,6,Boston,13,5,3,6,6,6,Boston
Buffalo,216152.3949883226,531122,531122,531122,531122,531122,531122,531122,531122,,531122,216152.3949883226,314969.60501167737,0,0,0,0,0,0,0,,531122,,160714.7982575691,26,Buffalo,4,19,38,38,38,38,Buffalo
Charlotte,202665.57713351652,604856,604856,604856,604856,604856,604856,604856,604856,,604856,202665.57713351652,402190.42286648345,0,0,0,0,0,0,0,,604856,,172264.3597831629,19,Charlotte,7,10,33,33,33,33,Charlotte
Chicago,168813.12277656634,736844.9408679459,1734211.96674505,3193548.138078395,3841337,3841337,3841337,3841337,3841337,,3841337,168813.12277656634,568031.8180913796,997367.025877104,1459336.171333345,647788.8619216052,0,0,0,0,,3841337.0000000005,,352365.7925953283,3,Chicago,14,6,4,2,3,3,Chicago
Cincinnati,126401.7133112927,548967.4153296113,812766,812766,812766,812766,812766,812766,812766,,812766,126401.7133112927,422565.7020183186,263798.5846703887,0,0,0,0,0,0,,812766,,166041.76244821225,25,Cincinnati,24,16,24,24,24,24,Cincinnati
Cleveland,200994.23939738882,879257.2105073766,1242099,1242099,1242099,1242099,1242099,1242099,1242099,,1242099,200994.23939738882,678262.9711099877,362841.7894926234,0,0,0,0,0,0,,1242099,,260167.73004441228,7,Cleveland,8,2,9,15,15,15,Cleveland
Columbus,175541.6910018878,677859,677859,677859,677859,677859,677859,677859,677859,,677859,175541.6910018878,502317.3089981122,0,0,0,0,0,0,0,,677859,,180292.08179242787,18,Columbus,11,7,31,31,31,31,Columbus
Dallas-Fort Worth,107066.35281127057,464244.6879307337,1106232.4991188743,1976606,1976606,1976606,1976606,1976606,1976606,,1976606,107066.35281127057,357178.33511946315,641987.8111881407,870373.5008811257,0,0,0,0,0,,1976606.0000000002,,213939.238012264,10,Dallas-Fort Worth,33,29,12,8,8,8,Dallas-Fort Worth
Denver,156322.64612955024,638432.6300082777,964912,964912,964912,964912,964912,964912,964912,,964912,156322.64612955024,482109.9838787275,326479.3699917223,0,0,0,0,0,0,,964912,,197194.1599258942,13,Denver,16,8,16,20,20,20,Denver
Detroit,132975.97010867984,577362.1604318806,1348568.9272699899,2079880,2079880,2079880,2079880,2079880,2079880,,2079880,132975.97010867984,444386.1903232008,771206.7668381092,731311.0727300101,0,0,0,0,0,,2079880,,249242.1299413371,8,Detroit,21,13,7,7,7,7,Detroit
Grand Rapids,143788.43839776184,337335,337335,337335,337335,337335,337335,337335,337335,,337335,143788.43839776184,193546.56160223816,0,0,0,0,0,0,0,,337335,,103684.68693462921,47,Grand Rapids,18,47,51,51,51,51,Grand Rapids
Hampton Roads,78822.47127154717,339017.02397313435,698999,698999,698999,698999,698999,698999,698999,,698999,78822.47127154717,260194.55270158718,359981.97602686565,0,0,0,0,0,0,,698999,,120606.42164346666,42,Hampton Roads,47,46,29,29,29,29,Hampton Roads
Hartford,231026.1610082562,561969,561969,561969,561969,561969,561969,561969,561969,,561969,231026.1610082562,330942.8389917438,0,0,0,0,0,0,0,,561969,,170622.95245751715,21,Hartford,2,15,35,35,35,35,Hartford
Honolulu,207855.66101103494,437518,437518,437518,437518,437518,437518,437518,437518,,437518,207855.66101103494,229662.33898896506,0,0,0,0,0,0,0,,437518,,139763.5954043689,36,Honolulu,5,32,47,47,47,47,Honolulu
Houston,99802.20629080496,430203.29673756764,1015660.117955127,1759796,1759796,1759796,1759796,1759796,1759796,,1759796,99802.20629080496,330401.0904467627,585456.8212175594,744135.882044873,0,0,0,0,0,,1759796.0000000002,,194994.91484381628,14,Houston,37,34,14,10,10,10,Houston
Indianapolis,114055.55181646344,503276.2265218681,624971,624971,624971,624971,624971,624971,624971,,624971,114055.55181646344,389220.6747054047,121694.77347813192,0,0,0,0,0,0,,624971,,140870.66268001604,35,Indianapolis,30,22,32,32,32,32,Indianapolis
Inland Empire,124250.1927685893,521148.28145969735,766953,766953,766953,766953,766953,766953,766953,,766953,124250.1927685893,396898.08869110805,245804.71854030265,0,0,0,0,0,0,,766953,,158260.45348840032,27,Inland Empire,26,20,26,27,27,27,Inland Empire
Jacksonville,47609.77466319369,196140.74676835604,443882,443882,443882,443882,443882,443882,443882,,443882,47609.77466319369,148530.97210516233,247741.25323164396,0,0,0,0,0,0,,443881.99999999994,,73854.91625218952,51,Jacksonville,51,51,46,46,46,46,Jacksonville
Kansas City,74840.49081712589,327175.6218838957,753234.48846891,771309,771309,771309,771309,771309,771309,,771309,74840.49081712589,252335.13106676983,426058.8665850143,18074.511531090015,0,0,0,0,0,,771309,,123961.5298262284,40,Kansas City,48,48,27,26,26,26,Kansas City
Las Vegas,106673.99967492989,371128,371128,371128,371128,371128,371128,371128,371128,,371128,106673.99967492989,264454.0003250701,0,0,0,0,0,0,0,,371128,,101324.05960756619,48,Las Vegas,34,43,50,50,50,50,Las Vegas
Los Angeles,142592.21638202376,584007.5757586894,1364670.8659690279,2481528.0635975767,3923074.1683693966,5634646.930149189,6042090,6042090,6042090,,6042090,142592.21638202376,441415.35937666567,780663.2902103384,1116857.1976285488,1441546.10477182,1711572.7617797926,407443.0698508108,0,0,,6042089.999999999,,311532.0914525597,5,Los Angeles,19,12,6,4,2,2,Los Angeles
Louisville,99492.53957091978,438620.30367429147,446876,446876,446876,446876,446876,446876,446876,,446876,99492.53957091978,339127.7641033717,8255.69632570853,0,0,0,0,0,0,,446876,,113922.53434422391,43,Louisville,38,31,45,45,45,45,Louisville
Memphis,101024.2158038855,431032.16790527344,448237,448237,448237,448237,448237,448237,448237,,448237,101024.2158038855,330007.95210138796,17204.83209472656,0,0,0,0,0,0,,448237,,113581.34983205335,44,Memphis,36,33,44,44,44,44,Memphis
Milwaukee,132315.0481906356,569615.8724605598,772752,772752,772752,772752,772752,772752,772752,,772752,132315.0481906356,437300.8242699242,203136.12753944017,0,0,0,0,0,0,,772752,,166170.591006424,24,Milwaukee,22,14,25,25,25,25,Milwaukee
Minneapolis-St.Paul,92817.54459213189,399578.48289383267,943146.646614915,1307624,1307624,1307624,1307624,1307624,1307624,,1307624,92817.54459213189,306760.93830170075,543568.1637210823,364477.353385085,0,0,0,0,0,,1307624,,167807.8679736121,23,Minneapolis-St.Paul,42,41,20,14,14,14,Minneapolis-St.Paul
Nashville,71978.01099204794,305437.55702486966,495717,495717,495717,495717,495717,495717,495717,,495717,71978.01099204794,233459.5460328217,190279.44297513034,0,0,0,0,0,0,,495717,,96738.23617466785,49,Nashville,49,49,40,40,40,40,Nashville
New Orleans,130986.8205620407,514726,514726,514726,514726,514726,514726,514726,514726,,514726,130986.8205620407,383739.17943795933,0,0,0,0,0,0,0,,514726,,136331.77654280036,37,New Orleans,23,21,39,39,39,39,New Orleans
New York,194336.2212446231,831896.5231086591,1934342.6809945675,3495320.3365995153,5567242.724164452,8117617.0973970825,8550473,8550473,8550473,,8550473,194336.2212446231,637560.301864036,1102446.1578859084,1560977.6556049478,2071922.3875649371,2550374.37323263,432855.9026029175,0,0,,8550473,,440220.80696373055,1,New York,10,4,2,1,1,1,New York
Oklahoma City,66291.87587736707,274000.6454883342,450122,450122,450122,450122,450122,450122,450122,,450122,66291.87587736707,207708.7696109671,176121.35451166582,0,0,0,0,0,0,,450122,,87699.90607063049,50,Oklahoma City,50,50,43,43,43,43,Oklahoma City
